lhz,lead,n,f1_weighted,mae,r2,config,label
crop_farming,2,536,0.7542027660479594,0.275972909362075,0.6696029436589058,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
crop_farming,3,536,0.7538429706811853,0.27277694373315436,0.6798340877726292,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
crop_farming,4,536,0.7292877620949466,0.31500901255894503,0.5890449286333639,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
crop_farming,8,536,0.6920849455583957,0.381467908880389,0.3499305238228396,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
crop_farming,12,536,0.6442440025627031,0.39441191572979817,0.3274358223863991,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,0,160,0.6459842995169083,0.35495168255194776,0.4646878714213686,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,1,160,0.6495496648668777,0.38919078433357124,0.3893815601655498,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,2,160,0.6228139465904229,0.42375689932630534,0.3229343314393488,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,3,160,0.6597341954022988,0.3793480280004652,0.42730489286857065,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,4,160,0.5923032325968665,0.42421809134114347,0.25697790144845944,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,8,160,0.6046470856102004,0.3988611280870109,0.2822438688662856,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
pastoral,12,160,0.5525835020242915,0.4524358915352525,0.1430016303446061,enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)"
