config,label,lhz,n,f1_weighted,mae,r2
busker_arch,Busker architecture (baseline),pastoral,1120,0.5880447426127036,0.3760827777467119,0.43582655468494247
enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)",pastoral,1120,0.6209973189062279,0.40325178645367094,0.3266474366505985
enriched_level,"Ethiopia-enriched dataset, same architecture",pastoral,1120,0.5597376555672202,0.4469962519065647,0.16934557542335082
busker_arch,Busker architecture (baseline),agropastoral,280,0.7292951991828396,0.4012003700280579,0.25211026605053244
enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)",agropastoral,280,0.6345034595034594,0.3984895116807791,0.2533910443201409
enriched_level,"Ethiopia-enriched dataset, same architecture",agropastoral,280,0.6538298029647702,0.3849742711815367,0.3354569293169176
busker_arch,Busker architecture (baseline),crop_farming,3752,0.7010636999705847,0.3530792888920228,0.4924231235501457
enriched_best,"Ethiopia-enriched dataset, best variant (delta target + no climate)",crop_farming,3752,0.7320448317254116,0.31126544300565134,0.5659539441859522
enriched_level,"Ethiopia-enriched dataset, same architecture",crop_farming,3752,0.7076759305607897,0.33803634550815304,0.4810507164604324
