subset,lead,n,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,mae,r2
Ethiopia (all livelihood zones),0,736,0.7160326086956522,0.7041520737929458,0.5676283448743591,0.7249087607866503,0.7160326086956522,0.3324134628266601,0.6765522741705114
Ethiopia (all livelihood zones),1,736,0.7228260869565217,0.7101361257426817,0.5569222408906606,0.7333860899562245,0.7228260869565217,0.3243893895312783,0.6917896360615516
Ethiopia (all livelihood zones),2,736,0.7269021739130435,0.7159934466909739,0.5884545443179623,0.7368693399679138,0.7269021739130435,0.32118875780466993,0.6879494551811611
Ethiopia (all livelihood zones),3,736,0.6970108695652174,0.6877782403534735,0.5381897099625473,0.729764887633369,0.6970108695652174,0.3640072015507969,0.6537578860143143
Ethiopia (all livelihood zones),4,736,0.6807065217391305,0.6582373109069899,0.4993967079432196,0.6911457524912414,0.6807065217391305,0.38717743456989817,0.5340237222818291
Ethiopia (all livelihood zones),8,736,0.6997282608695652,0.6868842488805194,0.5206976171225406,0.6960408236031638,0.6997282608695652,0.387942704537403,0.5335539924908501
Ethiopia (all livelihood zones),12,736,0.6521739130434783,0.6405726077274302,0.4733063759962494,0.6555349286410518,0.6521739130434783,0.4077483135910365,0.5079602298960377
