subset,lead,n,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,mae,r2
Ethiopia pastoral only,0,160,0.6375,0.6198441994247362,0.4490869617923541,0.6494558457711442,0.6375,0.3507823596538576,0.4999186778843835
Ethiopia pastoral only,1,160,0.625,0.602495104151342,0.40683537648593826,0.6246766975308642,0.625,0.3455649547371725,0.5153729571827488
Ethiopia pastoral only,2,160,0.6625,0.6514103103584494,0.4783247170362228,0.6658834586466165,0.6625,0.33171305983129623,0.5310490295214283
Ethiopia pastoral only,3,160,0.5875,0.5629304919908467,0.38906750572082377,0.5910951747720364,0.5875,0.38573311237995184,0.43846017746121757
Ethiopia pastoral only,4,160,0.53125,0.5089926396090351,0.34969306871684847,0.5399838314005352,0.53125,0.4339864066325756,0.287940473480781
Ethiopia pastoral only,8,160,0.64375,0.611812865497076,0.3678866706997378,0.5956313775510204,0.64375,0.37951878309075215,0.37589989806616486
Ethiopia pastoral only,12,160,0.56875,0.5311371100164204,0.3009031198686371,0.49829763427109974,0.56875,0.4052807679013772,0.4021446691978734
