lhz,lead,county,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,Adan Yabaal,8,0.6036305817598453,0.7067114407355362,0.34185187779098614,0.7252010758570252,0.92414117369671,-0.1254236633625807,0.6565348672358808,0.9054405239559581,-0.08033701981861041
ap,0,Afgooye,8,0.23920807629401544,0.2798165189311042,0.43220487147528763,0.32014047771526105,0.4615763409711579,-0.5450126634830104,0.7025130812705902,0.8191974690824492,-3.8665609506353986
ap,0,Alle,8,0.6554040312767029,0.7648967710017549,-1.3402682811556446,0.625,0.7905694150420949,-1.5,0.6356881759828258,0.8073052955133374,-1.6069673606555082
ap,0,Balcad,8,0.32188045368542473,0.3961063769362836,0.5661966181787355,0.4517880497075235,0.5939857917236483,0.024513241999761015,0.7481818187444008,0.964032284987113,-1.569522481999226
ap,0,Baraawe,8,0.6244577828145847,0.7765675412640735,-0.4214705492158004,0.7423008523448855,0.9847221051527503,-1.2856344445894874,0.7620128801472681,0.8856813917607944,-0.8489894724670977
ap,0,Baringo,8,0.15915521909442198,0.2470155698299529,0.73491301514251,0.18323261302401217,0.24821673904047306,0.7323286557398951,0.3845065566592665,0.5233937413660115,-0.1901365659695209
ap,0,Baydhaba,8,0.45030494034290314,0.5035539136616933,0.5122603299911362,0.6782448124796165,0.8324903851359178,-0.33307499219551273,0.5956731261931127,0.7617919473811234,-0.11626905093268491
ap,0,Buur Hakaba,8,0.4088596402532566,0.46018552066456353,0.553124350288659,0.6528584637200221,0.7902454595287244,-0.31778575710799517,0.583412012021926,0.7257798013144454,-0.11155394873027746
ap,0,Cadale,8,0.5581764524681369,0.7130719811980927,0.3210734063406123,0.7388313015549767,0.9328297267403858,-0.16187880988463155,0.6638122158244961,0.9135852295100142,-0.11443364555473678
ap,0,Ceel Dheer,8,0.3721706122159958,0.49380974785848003,0.571520073424755,0.5170801105803289,0.7324575500192129,0.05729440755858961,0.6468971207844689,0.7951039291962334,-0.11085906346827668
ap,0,Diinsoor,8,0.418056920170784,0.46808766514392713,0.6075827294790113,0.6630913941513921,0.8122948377292084,-0.18173773974785434,0.6353866711280352,0.7982083633249613,-0.14110672941275948
ap,0,Doolow,8,0.4264529377731394,0.4867853324889992,0.3509672417201817,0.4839851596356291,0.5590091371012879,0.1440873153926241,0.7307622372326813,0.9265813997900829,-1.351574842386754
ap,0,East Hararge,8,0.401498148337574,0.5231501703312113,-0.14638001521594424,0.5129072436211294,0.6608179305566053,-0.829108641095301,0.3512952747842144,0.43794488544561905,0.1966315318281857
ap,0,Fafan,8,0.14796074532828343,0.1931279375819319,0.5633459138032328,0.16608048884520576,0.32644330560466117,-0.24756406596586844,0.30700135145110075,0.37849890412295145,-0.6771680329747192
ap,0,Jilib,8,0.23798387790499587,0.31771744179447653,0.7873049880715178,0.4300414134440752,0.48105025988161704,0.5124085313328859,0.6029559226581314,0.8232583052425544,-0.42806321469568265
ap,0,Jowhar,8,0.3163237019362252,0.3506863869496644,0.4901485353815067,0.35540250049642846,0.47678852805480704,0.057551883871600595,0.8058463413465855,0.998694577836107,-3.1349593069437303
ap,0,Laikipia,8,0.26527022316788473,0.30646763561323104,-0.1301404151429939,0.2277263254849845,0.36283636046155254,-0.5841079533719207,0.3805293009220497,0.4145962820616607,-1.0683021189581798
ap,0,Luuq,8,0.2763255317176977,0.40620655489618773,0.49326998684057277,0.4196214037024218,0.4760292311264391,0.3040949033717869,0.6920916288999219,0.8613865216223835,-1.2786567918004224
ap,0,Nuwer,8,0.36262079095866695,0.3943592302364884,-2.3428394402989943,0.12892491409803924,0.2498700808085351,-0.3420231625765806,0.12845775891252686,0.2406310021143687,-0.24461392730399423
ap,0,Qansax Dheere,8,0.3676711171865463,0.4846705643238344,0.65332536038589,0.6275008682232996,0.7906643435775306,0.07740076121515771,0.7451677906785124,0.9098303085863579,-0.22165783388584992
ap,0,Rab Dhuure,8,0.5262470617096736,0.6055967775255047,0.6092239339298693,0.7015339470209352,0.8119924770703578,0.29747002891803664,0.9306630589630585,1.063170580747697,-0.20438890677336463
ap,0,South Omo,8,0.3499205236258067,0.3745140662209419,-0.8341425336549295,0.29509341890596896,0.34023256440297517,-0.5137305351912858,0.5642903960472165,0.6478775863015922,-4.488867228531513
ap,0,Tayeeglow,8,0.40510375800187937,0.4694349956869373,0.648761980716881,0.623816524008815,0.774159595556812,0.04476198661046249,0.7077341593006996,0.8135684746213404,-0.054966860715948807
ap,0,Waajid,8,0.42881089950573315,0.4969889193178598,0.6075904688713909,0.6336829165864579,0.7858265534204734,0.018931041141615257,0.6969604602624964,0.8085805487646631,-0.03870617819922351
ap,0,Xudur,8,0.4971267111763805,0.5704815217090878,0.5914727740211181,0.6935917053453848,0.7947864161708004,0.20706294572619488,0.8150490467794924,0.9375914030379335,-0.10348154533794651
ap,1,Adan Yabaal,8,0.5799542459482303,0.6452638756928037,0.4513263456963914,0.7252010758570252,0.92414117369671,-0.1254236633625807,0.6565348672358808,0.9054405239559581,-0.08033701981861041
ap,1,Afgooye,8,0.22971760123545984,0.27220021101438463,0.4626937673414099,0.32014047771526105,0.4615763409711579,-0.5450126634830104,0.7025130812705902,0.8191974690824492,-3.8665609506353986
ap,1,Alle,8,0.5961064100265503,0.7350951097007735,-1.1614592812239692,0.625,0.7905694150420949,-1.5,0.6356881759828258,0.8073052955133374,-1.6069673606555082
ap,1,Balcad,8,0.27299248619361516,0.39077007618945253,0.5778061875860084,0.4517880497075235,0.5939857917236483,0.024513241999761015,0.7481818187444008,0.964032284987113,-1.569522481999226
ap,1,Baraawe,8,0.7119800362087116,0.8175582624443222,-0.5754942481502241,0.7423008523448855,0.9847221051527503,-1.2856344445894874,0.7620128801472681,0.8856813917607944,-0.8489894724670977
ap,1,Baringo,8,0.24389676592280185,0.32966277562680124,0.5278504607013581,0.18323261302401217,0.24821673904047306,0.7323286557398951,0.3845065566592665,0.5233937413660115,-0.1901365659695209
ap,1,Baydhaba,8,0.5033270120620728,0.6032402793238892,0.30003424454527294,0.6782448124796165,0.8324903851359178,-0.33307499219551273,0.5956731261931127,0.7617919473811234,-0.11626905093268491
ap,1,Buur Hakaba,8,0.5029976813919057,0.5809518596677316,0.2878014529063949,0.6528584637200221,0.7902454595287244,-0.31778575710799517,0.583412012021926,0.7257798013144454,-0.11155394873027746
ap,1,Cadale,8,0.5775255907162159,0.6451565643328201,0.4442412394028551,0.7388313015549767,0.9328297267403858,-0.16187880988463155,0.6638122158244961,0.9135852295100142,-0.11443364555473678
ap,1,Ceel Dheer,8,0.39673881232738495,0.520654669064352,0.5236669692139364,0.5170801105803289,0.7324575500192129,0.05729440755858961,0.6468971207844689,0.7951039291962334,-0.11085906346827668
ap,1,Diinsoor,8,0.42619094252586365,0.5136368736389761,0.5274953284898167,0.6630913941513921,0.8122948377292084,-0.18173773974785434,0.6353866711280352,0.7982083633249613,-0.14110672941275948
ap,1,Doolow,8,0.6094860464843821,0.6455546451649259,-0.14145204500765063,0.4839851596356291,0.5590091371012879,0.1440873153926241,0.7307622372326813,0.9265813997900829,-1.351574842386754
ap,1,East Hararge,8,0.37138871624570846,0.5134686889876365,-0.10434252464109361,0.5129072436211294,0.6608179305566053,-0.829108641095301,0.3512952747842144,0.43794488544561905,0.1966315318281857
ap,1,Fafan,8,0.13258661750731923,0.17367317541445187,0.646887726432369,0.16608048884520576,0.32644330560466117,-0.24756406596586844,0.30700135145110075,0.37849890412295145,-0.6771680329747192
