variant,label,n,mean_f1_weighted,mean_mae,delta_f1_vs_baseline,is_reference
baseline,All clusters (baseline),5796,0.6728157393092543,0.3728442034730451,0.0,False
no_climate,No climate,5796,0.6748065645756645,0.37184208216939746,0.0019908252664101456,False
no_agriculture,No agriculture,5796,0.6641653865095308,0.3780003588570399,-0.008650352799723482,False
no_economic,No economic,5796,0.6376358219177897,0.3947396568236545,-0.035179917391464643,False
no_conflict,No conflict (ACLED+UNHCR),5796,0.671681968741765,0.3724576769707412,-0.0011337705674893117,False
busker_arch,"Busker architecture (reference, test ends 2022-06)",5152,0.6872177392323555,0.36069532348739186,,True
