config,lead_scheme,lead,n,f1_1to5,f1_3plus
RandomForest-delta-noclimate (default),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.7092527974279594,0.7486491619271937
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",0,1380,0.7320375927205853,0.7883068537176083
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",1,1380,0.727760796586468,0.7829380809229387
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",2,1380,0.7330476782117965,0.788020868991818
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",3,1380,0.7214477751872876,0.7771876235122245
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",4,1380,0.7045519199533081,0.7654392814871686
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",8,1380,0.6721115676621631,0.7378163446741265
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",12,1380,0.6654946568790481,0.7231690434886487
RandomForest-delta-noclimate (extended),"RQ2 grid (0,1,2,3,4,8,12)",mean,9660,0.7080645696000938,0.766125442399219
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.44901185770750984,0.44901185770750984
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.40576519535930955,0.40576519535930955
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.2952194297959869,0.2952194297959869
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.2232310848310628,0.2232310848310628
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.3053474395176384,0.33672466634581033
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.3428346707588749,0.3428346707588749
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.3293782884450454,0.32941622655613056
T-GCN-CE (default),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.3358268523450611,0.3403147330506693
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",0,1656,0.424026915167192,0.424026915167192
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",1,1656,0.30170587768818935,0.30170587768818935
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",2,1656,0.2861092463799004,0.2861092463799004
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",3,1656,0.18075289470162426,0.18075289470162426
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",4,1656,0.21842818608654085,0.25344012777212394
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",8,1656,0.38860418278063485,0.4166658491586013
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",12,1656,0.24465048410850954,0.24822465751963949
T-GCN-CE (extended),"RQ2 grid (0,1,2,3,4,8,12)",mean,11592,0.2920396838446559,0.30156079548389586
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.7350406422606552,0.764868848319497
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7421274757214608,0.7713653918579008
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.7385250913899433,0.7676122217501528
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.7377328957301297,0.7664867916134973
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.6989722790773044,0.7413945237261975
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6642164217422485,0.7093562534511719
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6520561323855872,0.6993788259761502
Ensemble 2-way blend (XGB+RF),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.709810134043904,0.7457804080992239
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.7142646537131533,0.7719431613411049
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7204166925418181,0.7783789850173892
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.6672433070670066,0.7396112862499447
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.6925445335308287,0.7648641158413106
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.6728426644005241,0.7322222912738908
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6223389378849233,0.6703845579320427
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6686009110277424,0.7151193464127988
Ensemble 5-way (all),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.6797502428808567,0.7389319634383545
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.7409335402972499,0.765504444872493
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7474262744740078,0.775668258126972
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.7427953232703525,0.7754989275144561
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.7492618356781886,0.7781527603936252
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.7243060751847068,0.7625441642065637
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6754942712635447,0.728314036604836
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6725638850589689,0.7212353169963085
Ensemble 4-way champion (drop T-GCN),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.7218258864610027,0.7581311298164649
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",0,736,0.7041520737929458,0.7525865466807182
Busker architecture,"RQ2 grid (0,1,2,3,4,8,12)",1,736,0.7101361257426817,0.7639145701062369
