combo,size,agg_method,includes_tgcn,mean_f1_all,mean_f1_pastoral,mean_f1_agropastoral,mean_f1_crop_farming
XGB+RF+TabICL,3,median,False,0.713804976447397,0.6248804521923708,0.6523672990946684,0.7311039435866837
XGB+LSTM+TabICL,3,median,False,0.7136612399756164,0.6096954702962446,0.6910851574492606,0.7364089367991647
RF+LSTM+TabICL,3,median,False,0.7133765935813271,0.6063770911824157,0.684202599719487,0.7379146532222938
XGB+RF+LSTM+TGCN,4,median,True,0.7132333483280465,0.6240447120793594,0.6685526658599744,0.730952163563532
XGB+RF,2,median,False,0.709810134043904,0.6264540228043796,0.6391270314461718,0.7251964124727701
RF+LSTM,2,median,False,0.7092792810414262,0.6250873867046788,0.6794487139805826,0.7311140051061376
XGB+LSTM,2,median,False,0.7090817164671869,0.6264261717167167,0.6709381997313031,0.7306334582879567
XGB+RF+TGCN,3,median,True,0.704909585090118,0.6185268578468434,0.6442547443787305,0.7214426045148488
XGB+LSTM+TGCN,3,median,True,0.702168891591065,0.619048139720151,0.6445001227527198,0.7208880673783583
RF+LSTM+TGCN,3,median,True,0.699969963556259,0.6180295579865014,0.65157040063193,0.7177973274744683
XGB+RF+TabICL+TGCN,4,median,True,0.6919195414909126,0.599332256525762,0.6643539076818642,0.7102555410539478
RF+TabICL+TGCN,3,median,True,0.6891008128988495,0.5966191889165733,0.6571419616822954,0.7072560628625804
LSTM+TabICL,2,median,False,0.6887491248972223,0.5761650913728984,0.6754273625708981,0.7203634461523029
RF+TabICL,2,median,False,0.6878669692501995,0.5794550976221008,0.6861807687057048,0.7121361962389522
RF+LSTM+TabICL+TGCN,4,median,True,0.6865209112729923,0.5967856222707015,0.6706636334225679,0.7057207361714736
XGB+TabICL+TGCN,3,median,True,0.6863870767456979,0.5906500599519999,0.6636932566009158,0.7052261132399166
XGB+TabICL,2,median,False,0.6850952423147232,0.5752061126023185,0.6711904397237448,0.710476056757743
XGB+LSTM+TabICL+TGCN,4,median,True,0.6838836182679626,0.5934339788046458,0.6703896898324615,0.7032676025048692
LSTM+TabICL+TGCN,3,median,True,0.6704618854983949,0.5851991235928414,0.657138961610951,0.6901051385447835
LSTM+TGCN,2,median,True,0.4798995427686701,0.4388077841323702,0.5669664781150796,0.4946388624369019
TabICL+TGCN,2,median,True,0.4221642544838298,0.2798843356011182,0.5158988630947324,0.45879265228293675
XGB+TGCN,2,median,True,0.40991161663698134,0.2765833622132697,0.4930857026218853,0.445787166418793
RF+TGCN,2,median,True,0.4077499663575482,0.27218461611279254,0.48719064122645295,0.44560772918471525
