subset,lead,n,accuracy,f1_weighted,mae,r2
all,0,828,0.7367149758454107,0.7350406422606552,0.2929257366300159,0.7467515278312821
all,1,828,0.7451690821256038,0.7421274757214608,0.2985031129131543,0.7403917568069096
all,2,828,0.7391304347826086,0.7385250913899433,0.3058374896398098,0.736571342238469
all,3,828,0.7391304347826086,0.7377328957301297,0.29961663717841447,0.7485211406044439
all,4,828,0.7041062801932367,0.6989722790773044,0.34000347165808587,0.6730167451241826
all,8,828,0.6799516908212561,0.6642164217422485,0.3865119605108997,0.5491582970778882
all,12,828,0.6727053140096618,0.6520561323855872,0.3963038353000808,0.5311216482621332
