model,target_mode,window,lhz,mean_accuracy,mean_f1_weighted,mean_mae,mean_r2
LSTM,delta,default,agropastoral,0.5682539682539682,0.5848452875997908,0.5112009718304589,-0.021930400117406386
LSTM,delta,default,crop_farming,0.6820658611703388,0.6942485071007114,0.422375972803044,0.39758841420450197
LSTM,delta,default,pastoral,0.5952380952380952,0.593213039708216,0.4301723531314305,0.21870948919424066
LSTM,delta,extended,agropastoral,0.540952380952381,0.5671183218228387,0.5456019316400801,-0.17851210204683227
LSTM,delta,extended,crop_farming,0.6535891968727789,0.673731438190879,0.4578604293869333,0.31262624657086047
LSTM,delta,extended,pastoral,0.5423809523809524,0.5472772384840378,0.5062350594997406,0.03595102659803662
LSTM,level,default,agropastoral,0.3174603174603175,0.272522113833192,0.9997552246328384,-2.8669960613315633
LSTM,level,default,crop_farming,0.619047619047619,0.5584038042096363,0.7203754074544992,-0.6634361182861512
LSTM,level,default,pastoral,0.19682539682539682,0.1778116292575635,1.4880671543024835,-6.616591602238595
LSTM,level,extended,agropastoral,0.3523809523809524,0.30415229512783376,0.9946053251766023,-2.782508288790485
LSTM,level,extended,crop_farming,0.5958777540867093,0.5373042341269059,0.7364414747526397,-0.6734476372459267
LSTM,level,extended,pastoral,0.18619047619047618,0.16822144484330695,1.586433084791615,-6.519271040058614
XGBoost,delta,default,agropastoral,0.6857142857142857,0.6569663743303725,0.39722383073254847,0.3353245233662677
XGBoost,delta,default,crop_farming,0.7320540156361052,0.7147966101962026,0.31062843658466016,0.5944906639118369
XGBoost,delta,default,pastoral,0.5873015873015872,0.5742745667410525,0.4283450512816559,0.2501282108002371
XGBoost,delta,extended,agropastoral,0.6704761904761904,0.6482950227850252,0.3847791307765401,0.36347945606900733
XGBoost,delta,extended,crop_farming,0.734186211798152,0.7263147235426548,0.3015631309777332,0.6336642505471687
XGBoost,delta,extended,pastoral,0.5923809523809523,0.5770498607980976,0.4287514840668842,0.3361075705182581
XGBoost,level,default,agropastoral,0.6984126984126985,0.6264000440326906,0.40046380439417145,0.34293286920871713
XGBoost,level,default,crop_farming,0.7275527126273394,0.6936653887834608,0.3465978803935522,0.4872479258808675
XGBoost,level,default,pastoral,0.5896825396825396,0.5523925431231436,0.4538644855590647,0.17088008196648358
XGBoost,level,extended,agropastoral,0.718095238095238,0.6626441079828915,0.3621780060389911,0.45815914897622745
XGBoost,level,extended,crop_farming,0.7309168443496802,0.7018618551965989,0.32952547130571835,0.5496664646415452
XGBoost,level,extended,pastoral,0.5914285714285715,0.5337898052992992,0.4622099652891563,0.23088124434985632
