model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
RandomForest,level,default,pastoral,8,180.0,0.5055555555555555,0.4643851841358658,0.5617320019035745,-0.2092276119939882
RandomForest,level,default,pastoral,12,180.0,0.4166666666666667,0.3614903076068125,0.6085422013635612,-0.38086690596800654
RandomForest,level,extended,agropastoral,0,75.0,0.7333333333333333,0.6964407814407814,0.3256335163349047,0.5889758865882156
RandomForest,level,extended,agropastoral,1,75.0,0.72,0.6840426469292448,0.327418264763101,0.5775244964873534
RandomForest,level,extended,agropastoral,2,75.0,0.72,0.694078529657477,0.3444904984068221,0.5490140952070037
RandomForest,level,extended,agropastoral,3,75.0,0.7333333333333333,0.6655088702147526,0.34370475159901853,0.5674729077103188
RandomForest,level,extended,agropastoral,4,75.0,0.7333333333333333,0.6325805724588687,0.3661433516895372,0.48615487749728037
RandomForest,level,extended,agropastoral,8,75.0,0.7333333333333333,0.6325805724588687,0.37948313662122235,0.4764491097113377
RandomForest,level,extended,agropastoral,12,75.0,0.7066666666666667,0.6088034188034188,0.4014113370492283,0.3643672691679827
RandomForest,level,extended,crop_farming,0,1005.0,0.7502487562189055,0.7324397911869314,0.30357021948399293,0.6418264400573499
RandomForest,level,extended,crop_farming,1,1005.0,0.7412935323383084,0.7112103755036518,0.311657938482329,0.5949510856372255
RandomForest,level,extended,crop_farming,2,1005.0,0.7631840796019901,0.7462732637658012,0.29248483784298573,0.6526218604997247
RandomForest,level,extended,crop_farming,3,1005.0,0.7243781094527363,0.6863303622069278,0.3165986111426733,0.6022295018955824
RandomForest,level,extended,crop_farming,4,1005.0,0.7104477611940299,0.6702796252524614,0.32912560281185493,0.555513072657444
RandomForest,level,extended,crop_farming,8,1005.0,0.7114427860696517,0.6702893046447999,0.34818456208423293,0.5136027494296485
RandomForest,level,extended,crop_farming,12,1005.0,0.7124378109452736,0.669037495890678,0.3725570994113206,0.4193895262622477
RandomForest,level,extended,pastoral,0,300.0,0.6,0.5437737123557558,0.4348149814210038,0.32659254968493245
RandomForest,level,extended,pastoral,1,300.0,0.6133333333333333,0.5538583074207916,0.4543116375575297,0.24837289111550886
RandomForest,level,extended,pastoral,2,300.0,0.6133333333333333,0.5568368080517613,0.4500466467033177,0.25219750352836956
