lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.21739130434782608,0.08333333333333333,0.22222222222222224,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.43478260869565216,0.049019607843137254,0.46511627906976744,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.34782608695652173,0.0392156862745098,0.41025641025641024,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.5217391304347826,0.024509803921568627,0.6,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.21739130434782608,0.0196078431372549,0.3125,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.043478260869565216,0.058823529411764705,0.05555555555555555,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.30434782608695654,0.07352941176470588,0.31111111111111117,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.0,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.006430868167202572,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.07216494845360824,0.10477657935285054,0.0813953488372093,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.08247422680412371,0.07704160246533127,0.1032258064516129,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.09278350515463918,0.06779661016949153,0.12000000000000001,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.1958762886597938,0.0847457627118644,0.22222222222222218,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.16494845360824742,0.04160246533127889,0.2285714285714286,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.030927835051546393,0.06779661016949153,0.04166666666666667,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.24742268041237114,0.05238828967642527,0.3096774193548387,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
