zone_code,completeness_mean,completeness_climate,completeness_agriculture,completeness_economic,completeness_conflict,completeness_target_memory,n_features_scored,zone_name,dominant_livelihood_zone,completeness_min_cluster,n_test_obs,n_unique_true_classes,trivial_constant_target,excluded,f1_weighted,balanced_accuracy
ET0101,0.7170266285020384,0.9868176440763902,0.7632058287795993,0.44939740998577743,0.9363269185079591,0.9651639344262295,315,North Western Tigray,crop_farming,0.44939740998577743,63,3,False,False,0.5537240537240538,0.3523809523809524
ET0102,0.7566657992887501,0.9868176440763902,0.8324225865209471,0.526386705591736,0.9363269185079591,0.9651639344262295,315,Central Tigray,crop_farming,0.526386705591736,63,3,False,False,0.546384479717813,0.5714285714285714
ET0103,0.7340966258999045,0.9868176440763902,0.814207650273224,0.4799386181600419,0.9363269185079591,0.9651639344262295,315,Eastern Tigray,crop_farming,0.4799386181600419,63,4,False,False,0.46710239651416124,0.32857142857142857
ET0104,0.7315638823835545,0.9898597262126078,0.8324225865209471,0.4702073508496145,0.9363269185079591,0.9651639344262295,315,Southern Tigray,crop_farming,0.4702073508496145,63,4,False,False,0.46577444235980825,0.4196428571428572
ET0105,0.6769190736403852,0.9868176440763902,0.7887067395264117,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Western Tigray,crop_farming,0.35972003892506926,63,4,False,False,0.44502164502164504,0.33035714285714285
ET0106,0.667117703183277,0.9868176440763902,0.5701275045537341,0.36552137136013174,0.9363269185079591,0.9651639344262295,315,South Eastern Tigray,crop_farming,0.36552137136013174,63,4,False,False,0.31974637681159424,0.275
ET0107,0.7147714459189869,0.9868176440763902,0.5555555555555556,0.4701324949472266,0.9363269185079591,0.9651639344262295,315,Mekelle Tigray,crop_farming,0.4701324949472266,63,3,False,False,0.57994301994302,0.5634920634920635
ET0201,0.7065487032700147,0.9898597262126078,0.5956284153005464,0.4454300471592186,0.9363269185079591,0.9651639344262295,315,Awsi-Zone 1,pastoral,0.4454300471592186,63,2,False,False,0.6237018068003983,0.6571428571428571
ET0202,0.6525457541850985,0.8867669427074532,0.5628415300546448,0.4014522045063253,0.9363269185079591,0.9651639344262295,315,Kilbati-Zone 2,pastoral,0.4014522045063253,63,3,False,False,0.3664302600472813,0.29523809523809524
ET0203,0.6923930956717843,0.9898597262126078,0.581056466302368,0.4166853806422636,0.9363269185079591,0.9651639344262295,315,Gabi-Zone 3,pastoral,0.4166853806422636,63,3,False,False,0.5692630220932108,0.44126984126984126
ET0204,0.651348772660248,0.8867669427074532,0.5555555555555556,0.39976794670259747,0.9363269185079591,0.9651639344262295,315,Fanti-Zone 4,pastoral,0.39976794670259747,63,3,False,False,0.3985042735042735,0.36904761904761907
ET0205,0.6548356318848122,0.8867669427074532,0.5701275045537341,0.4054944232352721,0.9363269185079591,0.9651639344262295,315,Hari-Zone 5,pastoral,0.4054944232352721,63,2,False,False,0.6285403050108932,0.44387755102040816
ET0301,0.7195073293433949,0.9868176440763902,0.8615664845173041,0.4426229508196721,0.9363269185079591,0.9651639344262295,315,North Gondar,crop_farming,0.4426229508196721,63,3,False,False,0.45037037037037037,0.3333333333333333
ET0302,0.7184144331685315,0.9898597262126078,0.8542805100182149,0.43914215135863466,0.9363269185079591,0.9651639344262295,315,South Gondar,crop_farming,0.43914215135863466,63,2,False,False,0.7069871629189282,0.7261904761904763
ET0303,0.7417989417989419,0.9898597262126078,0.8615664845173041,0.4886967587394266,0.9363269185079591,0.9651639344262295,315,North Wello,crop_farming,0.4886967587394266,63,4,False,False,0.29150838873061097,0.29166666666666663
ET0304,0.725821840575939,0.9898597262126078,0.8615664845173041,0.4542256156897971,0.9363269185079591,0.9651639344262295,315,South Wello,crop_farming,0.4542256156897971,63,3,False,False,0.4564459930313589,0.4365079365079365
ET0305,0.7706826264203314,0.9898597262126078,0.8542805100182149,0.551912568306011,0.9363269185079591,0.9651639344262295,315,North Shewa (AM),crop_farming,0.551912568306011,63,2,False,False,0.6623931623931625,0.7142857142857143
ET0306,0.7035649232370543,0.9898597262126078,0.8542805100182149,0.40710382513661203,0.9363269185079591,0.9651639344262295,315,East Gojam,crop_farming,0.40710382513661203,63,1,True,False,1.0,1.0
ET0307,0.677647671090294,0.9898597262126078,0.785063752276867,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,West Gojam,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
ET0308,0.7339751929915864,0.9898597262126078,0.8615664845173041,0.47181675275095436,0.9363269185079591,0.9651639344262295,315,Wag Hamra,crop_farming,0.47181675275095436,63,3,False,False,0.49643966547192353,0.46428571428571425
ET0309,0.6758782201405152,0.9868176440763902,0.7704918032786885,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Awi,crop_farming,0.35972003892506926,63,1,True,False,1.0,1.0
