zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0104,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.4265828390045687,2.95490937914915
ET0104,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.4265828390045687,2.95490937914915
ET0105,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,1,1,1.004191181696267,1.004450819439484
ET0105,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,1,1,1.004191181696267,1.004450819439484
ET0105,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,1,1,1.004191181696267,1.004450819439484
ET0105,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,1,1,1.004191181696267,1.004450819439484
ET0105,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0105,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,1,2,1.004450819439484,1.8698772901418683
ET0106,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,2.0018216877499047,2.3113572307024604
ET0106,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,2.0018216877499047,2.3113572307024604
ET0106,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,2.0018216877499047,2.3113572307024604
ET0106,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,2.0018216877499047,2.3113572307024604
ET0106,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.412266134352272,2.973700819692214
ET0106,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.412266134352272,2.973700819692214
ET0106,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.412266134352272,2.973700819692214
ET0106,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.4152096055408796,2.973700819692214
ET0106,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.4152096055408796,2.973700819692214
ET0106,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.412266134352272,2.973700819692214
ET0106,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.423418427518141,2.973700819692214
ET0106,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.423418427518141,2.973700819692214
ET0107,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,2,1.9999999999999991,1.9999999999999991
ET0107,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,2,1.9999999999999991,1.9999999999999991
ET0107,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,2,1.9999999999999991,1.9999999999999991
ET0107,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,2,1.9999999999999991,1.9999999999999991
ET0107,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0107,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,2,1.9999999999999991,2.082165933127929
ET0201,pastoral,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,2,2.1902761628209144,2.1626021010863585
ET0201,pastoral,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,2,2.1902761628209144,2.1626021010863585
ET0201,pastoral,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,2,2.1902761628209144,2.1626021010863585
ET0201,pastoral,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,2,2.1902761628209144,2.1626021010863585
ET0201,pastoral,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,2,2.1902761628209144,2.1700921241864357
ET0201,pastoral,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,2,2.1902761628209144,2.1700921241864357
ET0201,pastoral,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,2,2.1902761628209144,2.1700921241864357
ET0201,pastoral,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,2,2.1626021010863585,2.1700921241864357
ET0201,pastoral,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,2,2.1626021010863585,2.1700921241864357
ET0201,pastoral,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,2,2.1902761628209144,2.1700921241864357
ET0201,pastoral,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,2,2.1626021010863585,2.1700921241864357
ET0201,pastoral,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,2,2.1626021010863585,2.1700921241864357
ET0202,pastoral,ML1,2025-12-01,2026-01-31,1,2026-02-01,3,3,2.921009131085303,2.3248443313042753
ET0202,pastoral,ML1,2025-11-01,2026-01-31,2,2026-02-01,3,3,2.921009131085303,2.3248443313042753
ET0202,pastoral,ML1,2025-10-01,2026-01-31,3,2026-02-01,3,3,2.921009131085303,2.3248443313042753
ET0202,pastoral,ML1,2026-01-01,2026-01-31,0,2026-02-01,3,3,2.921009131085303,2.3248443313042753
ET0202,pastoral,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0202,pastoral,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0202,pastoral,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0202,pastoral,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.726845531171515,2.958621022366102
ET0202,pastoral,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.726845531171515,2.958621022366102
ET0202,pastoral,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0202,pastoral,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0202,pastoral,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.949905805168158,2.958621022366102
ET0203,pastoral,ML1,2025-12-01,2026-01-31,1,2026-02-01,3,3,2.2776384296662817,2.2565982506795517
