lhz,lead,county,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,Adan Yabaal,9,0.557135824128005,0.6514066621335954,0.3709398374643508,0.7252201624143968,0.9042161153888061,-0.212082767935446,0.6816725319183979,0.9051037603137317,-0.21446367486689843
ap,0,Afgooye,9,0.335416867725156,0.5150855547224079,-0.6128331449298758,0.48948114317989994,0.75317986939076,-2.44848313749665,0.676693462242642,0.7907566846641392,-2.8011625578622077
ap,0,Alle,9,0.5936979055404663,0.7270815757464918,-1.1410228520495065,0.5623112917863323,0.7456314876021091,-1.2516635769801234,0.5899157555576439,0.7646506455992288,-1.3679969697520358
ap,0,Balcad,9,0.3614843228336327,0.4819516697533763,0.29659026353400497,0.5737228299228728,0.7617652690767848,-0.7572911958496258,0.6696462976774336,0.9085542478844356,-1.4997876804318429
ap,0,Baraawe,9,0.5326482378197446,0.6663214453584699,0.1570693241124056,0.7743559343755047,0.9899473951369826,-0.8605806976393919,0.7142683567280446,0.835225260501807,-0.32443764979309986
ap,0,Baringo,9,0.19246704523284835,0.26528404442843956,0.6642078265165201,0.21036677830714318,0.27398244791637766,0.6418262180232294,0.37371547912231023,0.5050048297383154,-0.2168565180870854
ap,0,Baydhaba,9,0.44484939680364516,0.507611347192507,0.5346447105791918,0.7139953888707703,0.8527290784266965,-0.3132401643462328,0.6020523736583611,0.7608959951010774,-0.04561693260913846
ap,0,Buur Hakaba,9,0.4326994531138821,0.48383584469035334,0.5213464048860764,0.6817498186678439,0.804794948808828,-0.3243285134351275,0.5785465078653191,0.7142625710675252,-0.04313623441771064
ap,0,Cadale,9,0.5025972347477167,0.6271768687473726,0.4091348201175736,0.7326924446574997,0.9085185855248813,-0.23986946515178853,0.7012191839173482,0.9249042374584517,-0.2849962810209501
ap,0,Ceel Dheer,9,0.47033125824398464,0.5649081945875765,0.38754177579872007,0.5707378760714035,0.7668081391674613,-0.12848073511438263,0.5774099913864196,0.7499094854723433,-0.07929065148913117
ap,0,Diinsoor,9,0.47568827456469226,0.592966923953186,0.39034107497097026,0.7005256836901262,0.8352367081128139,-0.20960937569744775,0.6288546205875486,0.7824365345040175,-0.061510367243679864
ap,0,Doolow,9,0.41819364873795783,0.497349056296523,0.23781631451959784,0.4955708768512359,0.5623339821666217,0.02562594804631524,0.6564896216907277,0.8741858601022459,-1.3547489238389332
ap,0,East Hararge,9,0.3385189970161363,0.41470296052158256,0.27010205766154227,0.47659702797487047,0.6261062746760984,-0.6637343381691363,0.3749294914475656,0.4516473910729575,0.13426120445615475
ap,0,Fafan,9,0.2162513363715381,0.2553994250640611,0.1527980723219946,0.1507852564263329,0.3079194959173742,-0.2314633153401735,0.2780836365249264,0.3567040357370536,-0.6525825043547784
ap,0,Jilib,9,0.33208753025776,0.4387327703055673,0.5466763562656223,0.5111475287185452,0.5959927839226796,0.1634532331978108,0.5419067057526996,0.7759918851821501,-0.4181513459750723
ap,0,Jowhar,9,0.38857187268908705,0.5088712191580914,-0.15694308773929633,0.5075884243672688,0.7298786027315007,-1.3801124843130572,0.7391639042261655,0.944132704627349,-2.982559766274531
ap,0,Laikipia,9,0.30278487880998056,0.3372665121248448,-0.5397643588835901,0.25406867793808235,0.3755363284060898,-0.9090255099021831,0.36439456204646603,0.39869326457117543,-1.1517193120756408
ap,0,Luuq,9,0.32860034009664774,0.4438025132991348,0.3245828085918878,0.41303799349649845,0.4646023007850986,0.2597893861011128,0.6448572965019103,0.8178302315095249,-1.293606531576239
ap,0,Nuwer,9,0.3109691341919211,0.3636334550905889,-2.097643413473965,0.11459992364270155,0.23557977140712769,-0.3001089544047246,0.17012014974039288,0.2877115025328937,-0.9391803759292552
ap,0,Qansax Dheere,9,0.4145206799173267,0.5513610200085579,0.5389452809607547,0.668889660642933,0.8165782832200269,-0.011290679461508413,0.7005538191089562,0.8632778191088081,-0.13026822323741194
