window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.02474228974503547,0.24507783882783885,0.06521739130434782
default,1,828,0.3828091339793484,0.28644312195109006,0.39492753623188404
default,2,828,0.32769593384459217,0.24846493148285975,0.3961352657004831
default,3,828,0.3169463826832004,0.2497427870933847,0.3695652173913043
default,4,828,0.17350845446794794,0.09233578506486873,0.10990338164251208
default,8,828,0.14103459546099673,0.25,0.3031400966183575
default,12,828,0.2684887981065396,0.25,0.4396135265700483
extended,0,1656,0.029283342695700054,0.22679897729191736,0.06038647342995169
extended,1,1656,0.407692228722772,0.30454666833100685,0.4420289855072464
extended,2,1656,0.31689393536971183,0.24114996395097332,0.3689613526570048
extended,3,1656,0.33292864433066555,0.25454495036326324,0.40700483091787437
extended,4,1656,0.09648638895976938,0.04775361907925115,0.05555555555555555
extended,8,1656,0.1476596939011649,0.25818965397194676,0.3007246376811594
extended,12,1656,0.270306188079137,0.25,0.44082125603864736
