model,n,f1_weighted
persistence,9660,0.6927559551024773
xgboost,9660,0.7040027217524145
busker_arch,5152,0.6872177392323555
random_forest,9660,0.7099316748112968
lstm,9660,0.6387714846422851
tgcn,9660,0.36898171052983536
