country,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,ap,0,45,0.3489548673585122,0.43867225787967346,0.48075215357219914,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,1,45,0.33289666553911773,0.44146799401596876,0.4741125457611205,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,2,45,0.34496263688668316,0.45842972945382987,0.4329257693513616,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,3,45,0.40230141537669173,0.5301012840566993,0.24175059814367994,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,4,45,0.44257997413187583,0.5696502373644646,0.12438956351684727,0.4205331852465492,0.5891079342661727,0.06355104810984613,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,8,45,0.5365751407575398,0.6982706533034982,-0.3156547681851658,0.41529768478723256,0.596911996986658,0.038575955772759296,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,12,45,0.5005864866304146,0.63969959726828,-0.10419688736533295,0.4647060049979172,0.649856736030114,-0.13954010364063896,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,other,0,614,0.32392550573458556,0.5042374238308063,0.571835043220559,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,1,614,0.3020205279821125,0.48099667789614725,0.6103944609849153,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,2,614,0.32754214114035857,0.4960359813682598,0.5856500128181092,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,3,614,0.32133352926903,0.5364204910351981,0.5154353953193782,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,4,614,0.3579083133168938,0.5979088554085927,0.39797997115103223,0.31517502635846395,0.5653653904440792,0.46173095233720873,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,8,614,0.3927474046282188,0.633433007779145,0.32431799968789365,0.3294892023120082,0.6201767572096929,0.35230291776257106,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,12,614,0.4019166799421367,0.6395477597914933,0.31120984191924517,0.3998758918481287,0.7101885494749317,0.15064685248524912,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,p,0,181,0.34016671246786534,0.4131966627093059,0.5406700117196276,0.31323696174426907,0.46433197862245157,0.4199460626938941,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,1,181,0.3325894031673974,0.4111406372787953,0.5452297994253261,0.31323696174426907,0.46433197862245157,0.4199460626938941,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,2,181,0.33640025429478865,0.4216537938915246,0.521674852159629,0.31323696174426907,0.46433197862245157,0.4199460626938941,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,3,181,0.3810345792231169,0.47516235489678804,0.3925713922083124,0.31323696174426907,0.46433197862245157,0.4199460626938941,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,4,181,0.4092571850702038,0.4999074934086228,0.32765762614632266,0.40460811227756044,0.5563130013167614,0.16737468824416923,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,8,181,0.44536914422304846,0.5590396841740158,0.1591927153800351,0.3999812254039531,0.5741255873194655,0.11320140739591855,0.5198012730032334,0.6536208006993972,-0.14937810307241994
Ethiopia,p,12,181,0.3855757388461276,0.4660706860875962,0.4155938646029096,0.4140746649387114,0.583218634006122,0.08488858541951727,0.5198012730032334,0.6536208006993972,-0.14937810307241994
