country,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,ap,0,45,0.352022997169914,0.44234565671921844,0.47201948077716793,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,1,45,0.3286085161578334,0.4470005398020381,0.46084894527304265,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,2,45,0.34717036149738784,0.47001063665166354,0.40391288147815085,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,3,45,0.38491638763405694,0.5064337711818979,0.30794648124766355,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,4,45,0.4342023797686303,0.5639522857541555,0.1418186218934382,0.4205331852465492,0.5891079342661727,0.06355104810984613,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,8,45,0.5074605817308026,0.6591229267760446,-0.1722687843325097,0.41529768478723256,0.596911996986658,0.038575955772759296,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,12,45,0.548512284349804,0.68703903502692,-0.2736707916751189,0.4647060049979172,0.649856736030114,-0.13954010364063896,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,other,0,614,0.3293255229159193,0.5118292405426542,0.5588450511367278,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,1,614,0.30042421350849935,0.47908694077275565,0.6134820793753923,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,2,614,0.319749284683165,0.4916295130442275,0.5929789584968302,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,3,614,0.3169826895652716,0.5302205873153732,0.5265717798751848,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,4,614,0.358301019682972,0.6079496533572664,0.377590519366646,0.31517502635846395,0.5653653904440792,0.46173095233720873,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,8,614,0.3809072550570125,0.607783541683115,0.37793059804117324,0.3294892023120082,0.6201767572096929,0.35230291776257106,0.33036812112555775,0.6061607219350773,0.38124809092643164
