lhz,lead,county,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,Adan Yabaal,9,0.5334718662142883,0.6043276946048038,0.45858188144296774,0.7252201624143968,0.9042161153888061,-0.212082767935446,0.6816725319183979,0.9051037603137317,-0.21446367486689843
ap,0,Afgooye,9,0.3400746130864841,0.5034696872560036,-0.5409102871464242,0.48948114317989994,0.75317986939076,-2.44848313749665,0.676693462242642,0.7907566846641392,-2.8011625578622077
ap,0,Alle,9,0.5890970230102539,0.7218202857937548,-1.1101493261826807,0.5623112917863323,0.7456314876021091,-1.2516635769801234,0.5899157555576439,0.7646506455992288,-1.3679969697520358
ap,0,Balcad,9,0.3724822155594268,0.49900025080164917,0.24594517236208446,0.5737228299228728,0.7617652690767848,-0.7572911958496258,0.6696462976774336,0.9085542478844356,-1.4997876804318429
ap,0,Baraawe,9,0.5565116063839264,0.6309580056961928,0.24416815309563333,0.7743559343755047,0.9899473951369826,-0.8605806976393919,0.7142683567280446,0.835225260501807,-0.32443764979309986
ap,0,Baringo,9,0.17119984306745664,0.24910957024714658,0.7039063221378472,0.21036677830714318,0.27398244791637766,0.6418262180232294,0.37371547912231023,0.5050048297383154,-0.2168565180870854
ap,0,Baydhaba,9,0.5682140837695875,0.6112888379084701,0.32513805010516594,0.7139953888707703,0.8527290784266965,-0.3132401643462328,0.6020523736583611,0.7608959951010774,-0.04561693260913846
ap,0,Buur Hakaba,9,0.4430852178940519,0.4970111279449042,0.49492314095956025,0.6817498186678439,0.804794948808828,-0.3243285134351275,0.5785465078653191,0.7142625710675252,-0.04313623441771064
ap,0,Cadale,9,0.523925246896256,0.65104215630583,0.3633121616962516,0.7326924446574997,0.9085185855248813,-0.23986946515178853,0.7012191839173482,0.9249042374584517,-0.2849962810209501
ap,0,Ceel Dheer,9,0.4691443708207872,0.5737519416537183,0.36821536746837835,0.5707378760714035,0.7668081391674613,-0.12848073511438263,0.5774099913864196,0.7499094854723433,-0.07929065148913117
ap,0,Diinsoor,9,0.49906859384213775,0.599752052146045,0.37630899069057566,0.7005256836901262,0.8352367081128139,-0.20960937569744775,0.6288546205875486,0.7824365345040175,-0.061510367243679864
ap,0,Doolow,9,0.4949144030434795,0.5756433427641909,-0.02104298287717632,0.4955708768512359,0.5623339821666217,0.02562594804631524,0.6564896216907277,0.8741858601022459,-1.3547489238389332
ap,0,East Hararge,9,0.3837908704902574,0.4328436145739978,0.20484847179761423,0.47659702797487047,0.6261062746760984,-0.6637343381691363,0.3749294914475656,0.4516473910729575,0.13426120445615475
ap,0,Fafan,9,0.19317580875652074,0.21445093849018967,0.4026855694258835,0.1507852564263329,0.3079194959173742,-0.2314633153401735,0.2780836365249264,0.3567040357370536,-0.6525825043547784
ap,0,Jilib,9,0.39943205613074584,0.48912958262613554,0.43654909383070706,0.5111475287185452,0.5959927839226796,0.1634532331978108,0.5419067057526996,0.7759918851821501,-0.4181513459750723
ap,0,Jowhar,9,0.4442389154213258,0.5419443605494365,-0.31221688326516506,0.5075884243672688,0.7298786027315007,-1.3801124843130572,0.7391639042261655,0.944132704627349,-2.982559766274531
ap,0,Laikipia,9,0.3353361674147169,0.3839395047702487,-0.995415864687782,0.25406867793808235,0.3755363284060898,-0.9090255099021831,0.36439456204646603,0.39869326457117543,-1.1517193120756408
ap,0,Luuq,9,0.3539704875897982,0.4733945158366135,0.2315085488606845,0.41303799349649845,0.4646023007850986,0.2597893861011128,0.6448572965019103,0.8178302315095249,-1.293606531576239
ap,0,Nuwer,9,0.2617808779281882,0.30779523279334753,-1.2193588818699372,0.11459992364270155,0.23557977140712769,-0.3001089544047246,0.17012014974039288,0.2877115025328937,-0.9391803759292552
ap,0,Qansax Dheere,9,0.4660936782820932,0.6001632538681629,0.45371515072479474,0.668889660642933,0.8165782832200269,-0.011290679461508413,0.7005538191089562,0.8632778191088081,-0.13026822323741194
ap,0,Rab Dhuure,9,0.5705636805252775,0.6409419828686123,0.5076237090119955,0.6235857306852757,0.7655538490785497,0.29755684942259786,0.9328016105365778,1.057202134292308,-0.33960190284793934
ap,0,South Omo,9,0.3621816819838033,0.40586414912109875,-1.37539871867861,0.3019486184195832,0.34211187907289564,-0.6877629343899434,0.538756362056508,0.618996741075506,-4.525249084636835
ap,0,Tayeeglow,9,0.4271824704684801,0.5082042374137584,0.5618501171689787,0.6040406497187134,0.7448603361575725,0.05876984301405286,0.6338558472101488,0.7663123931257648,0.0037740858803437805
ap,0,Waajid,10,0.47831060883419585,0.5246832293737334,0.48433376706581144,0.6534731666345831,0.7846439701410395,-0.15323977069590078,0.569088370537099,0.7215375401462019,0.024803372233666354
ap,0,Xudur,10,0.5518731917473764,0.6081109610245167,0.4261696718412584,0.6774366821381539,0.7813062082135573,0.05275922320155235,0.7160617218358247,0.8490786595796405,-0.11870012376198513
