window,lead,n,weighted_f1,balanced_accuracy,accuracy
default,0,828,0.18430351106991597,0.2688961271132586,0.31521739130434784
default,1,828,0.16700930521982846,0.2340965807101265,0.2898550724637681
default,2,828,0.23203359326961673,0.2661078795042939,0.33816425120772947
default,3,828,0.31858195098047476,0.29992940326605666,0.39855072463768115
default,4,828,0.2621443637520443,0.2588299151048155,0.2971014492753623
default,8,828,0.2820600873371491,0.2671648570552953,0.35507246376811596
default,12,828,0.2977744040272806,0.3011112891092971,0.33816425120772947
extended,0,1656,0.18832537286541176,0.2773490884584421,0.31823671497584544
extended,1,1656,0.16131806219437841,0.2327824302589984,0.28381642512077293
extended,2,1656,0.18651011278983842,0.2524592930574862,0.3085748792270531
extended,3,1656,0.2482810671985132,0.2785314181132494,0.3526570048309179
extended,4,1656,0.19653046247182523,0.2347221573212186,0.24094202898550723
extended,8,1656,0.22302705964878225,0.2595516055681881,0.32669082125603865
extended,12,1656,0.22991079034897413,0.27141957736214906,0.2807971014492754
