window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,ET0410,9,0.5180892944335938,0.5997772478828635,-0.5421097278594971,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,0,ET0502,9,0.34399449825286865,0.4738867324849853,-2.2796709537506104,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,0,ET0707,9,0.3519671559333801,0.3929367325406523,-0.1810317039489746,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,0,ET0712,9,0.615116536617279,0.7741639549966166,-1.8178279399871826,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,0,ET1201,9,0.2798730731010437,0.3333524894673752,-1.2324211597442627,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,1,ET0410,9,0.84517902135849,0.9602326079533818,-2.952648639678955,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,1,ET0502,9,0.4640434980392456,0.6087262784264289,-4.411594867706299,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,1,ET0707,9,0.30144205689430237,0.4110846049481597,-0.29264330863952637,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,1,ET0712,9,0.6375852227210999,0.7528232444797693,-1.6646158695220947,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,1,ET1201,9,0.5155565142631531,0.5800684147802335,-5.759696006774902,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,2,ET0410,9,0.49304771423339844,0.5813021349342236,-0.44856882095336914,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,2,ET0502,9,0.33021554350852966,0.4799104253318145,-2.3635783195495605,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,2,ET0707,9,0.2513873875141144,0.2847717514739581,0.3796880841255188,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,2,ET0712,9,0.6018259525299072,0.7133241354343379,-1.3923375606536865,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,2,ET1201,9,0.38795289397239685,0.48634667725010866,-3.7518272399902344,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,3,ET0410,9,0.5718886256217957,0.6332169170630793,-0.7188594341278076,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,3,ET0502,9,0.35246187448501587,0.43456035131117754,-1.757918119430542,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,3,ET0707,9,0.3190447986125946,0.3603462280871043,0.006755232810974121,0.28454694151878357,0.324481926238366,0.19462651014328003
