pcode,year,month,ndvi_rangeland,ndvi_rangeland_anomaly,ndvi_rangeland_lag1,ndvi_rangeland_lag3,ndvi_rangeland_lag6,ndvi_rangeland_lag12,ndvi_rangeland_anomaly_lag1,ndvi_rangeland_anomaly_lag3,ndvi_rangeland_anomaly_lag6,ndvi_rangeland_anomaly_lag12
ET0101,2009,1,0.1612440347671508,0.006239588287743625,0.1980481147766113,0.3286613821983337,0.2544555366039276,0.1710741072893142,0.014011747457764373,0.005315070802515143,0.025574459270997524,0.016069660809907016
ET0101,2009,2,0.1385539174079895,0.003105058927427684,0.1612440347671508,0.2574008703231811,0.3360645771026611,0.1517300307750702,0.006239588287743625,0.01723999733274631,0.00796169719912787,0.016281172294508373
ET0101,2009,3,0.128904789686203,0.006820741363547128,0.1385539174079895,0.1980481147766113,0.3753319978713989,0.1422126144170761,0.003105058927427684,0.014011747457764373,0.00018045848066156056,0.020128566094420236
ET0101,2009,4,0.1262543201446533,0.01619023226556325,0.128904789686203,0.1612440347671508,0.3286613821983337,0.1357650756835937,0.006820741363547128,0.006239588287743625,0.005315070802515143,0.025700987804503653
ET0101,2009,5,0.1088496744632721,0.00014691480568480852,0.1262543201446533,0.1385539174079895,0.2574008703231811,0.1355873346328735,0.01619023226556325,0.003105058927427684,0.01723999733274631,0.02688457497528622
ET0101,2009,6,0.1224144473671913,-0.021730586547743166,0.1088496744632721,0.128904789686203,0.1980481147766113,0.1680324673652649,0.00014691480568480852,0.006820741363547128,0.014011747457764373,0.023887433450330425
ET0101,2009,7,0.2241185903549194,-0.004762486978010683,0.1224144473671913,0.1262543201446533,0.1612440347671508,0.2544555366039276,-0.021730586547743166,0.01619023226556325,0.006239588287743625,0.025574459270997524
ET0101,2009,8,0.3433730006217956,0.015270120718262392,0.2241185903549194,0.1088496744632721,0.1385539174079895,0.3360645771026611,-0.004762486978010683,0.00014691480568480852,0.003105058927427684,0.00796169719912787
ET0101,2009,9,0.3594360947608948,-0.01571544462984259,0.3433730006217956,0.1224144473671913,0.128904789686203,0.3753319978713989,0.015270120718262392,-0.021730586547743166,0.006820741363547128,0.00018045848066156056
ET0101,2009,10,0.2904528081417084,-0.03289350325411017,0.3594360947608948,0.2241185903549194,0.1262543201446533,0.3286613821983337,-0.01571544462984259,-0.004762486978010683,0.01619023226556325,0.005315070802515143
ET0101,2009,11,0.2132523208856582,-0.02690855210477658,0.2904528081417084,0.3433730006217956,0.1088496744632721,0.2574008703231811,-0.03289350325411017,0.015270120718262392,0.00014691480568480852,0.01723999733274631
ET0101,2009,12,0.1673633754253387,-0.016672991893508238,0.2132523208856582,0.3594360947608948,0.1224144473671913,0.1980481147766113,-0.02690855210477658,-0.01571544462984259,-0.021730586547743166,0.014011747457764373
ET0101,2010,1,0.1366367042064666,-0.01836774227294058,0.1673633754253387,0.2904528081417084,0.2241185903549194,0.1612440347671508,-0.016672991893508238,-0.03289350325411017,-0.004762486978010683,0.006239588287743625
ET0101,2010,2,0.1188392341136932,-0.016609624366868622,0.1366367042064666,0.2132523208856582,0.3433730006217956,0.1385539174079895,-0.01836774227294058,-0.02690855210477658,0.015270120718262392,0.003105058927427684
ET0101,2010,3,0.1074110493063926,-0.014672999016263275,0.1188392341136932,0.1673633754253387,0.3594360947608948,0.128904789686203,-0.016609624366868622,-0.016672991893508238,-0.01571544462984259,0.006820741363547128
ET0101,2010,4,0.0996343195438385,-0.01042976833525154,0.1074110493063926,0.1366367042064666,0.2904528081417084,0.1262543201446533,-0.014672999016263275,-0.01836774227294058,-0.03289350325411017,0.01619023226556325
ET0101,2010,5,0.094918668270111,-0.013784091387476285,0.0996343195438385,0.1188392341136932,0.2132523208856582,0.1088496744632721,-0.01042976833525154,-0.016609624366868622,-0.02690855210477658,0.00014691480568480852
ET0101,2010,6,0.1272178739309311,-0.016927159984003376,0.094918668270111,0.1074110493063926,0.1673633754253387,0.1224144473671913,-0.013784091387476285,-0.014672999016263275,-0.016672991893508238,-0.021730586547743166
ET0101,2010,7,0.2094599604606628,-0.019421116872267302,0.1272178739309311,0.0996343195438385,0.1366367042064666,0.2241185903549194,-0.016927159984003376,-0.01042976833525154,-0.01836774227294058,-0.004762486978010683
