year,month,gdp_per_capita,gdp_per_capita_yoy_change,gdp_per_capita_undated,gdp_per_capita_yoy_change_undated
2009,1,266.894,0.22071744489724976,373.199,0.0645491627920245
2009,2,266.894,0.22071744489724976,373.199,0.0645491627920245
2009,3,266.894,0.22071744489724976,373.199,0.0645491627920245
2009,4,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,5,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,6,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,7,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,8,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,9,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,10,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,11,350.57,0.31351772613846696,373.199,0.0645491627920245
2009,12,350.57,0.31351772613846696,373.199,0.0645491627920245
2010,1,350.57,0.31351772613846696,341.103,-0.0860023740685264
2010,2,350.57,0.31351772613846696,341.103,-0.0860023740685264
2010,3,350.57,0.31351772613846696,341.103,-0.0860023740685264
2010,4,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,5,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,6,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,7,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,8,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,9,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,10,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,11,373.199,0.0645491627920245,341.103,-0.0860023740685264
2010,12,373.199,0.0645491627920245,341.103,-0.0860023740685264
2011,1,373.199,0.0645491627920245,377.694,0.107272583354588
2011,2,373.199,0.0645491627920245,377.694,0.107272583354588
2011,3,373.199,0.0645491627920245,377.694,0.107272583354588
2011,4,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,5,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,6,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,7,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,8,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,9,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,10,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,11,341.103,-0.0860023740685264,377.694,0.107272583354588
2011,12,341.103,-0.0860023740685264,377.694,0.107272583354588
