zone_id,zone_name,zone_code,time,scenario,ipc_continuous,ipc_continuous_area,ipc_phase_20pct,pct_phase3plus,pop_coverage,pop_total,low_coverage,pct_phase1,pct_phase2,pct_phase3,pct_phase4,pct_phase5,ha_share
1,Afder,ET0508,2011-04-01,CS,3.0195247719478497,3.0100150608905047,3,0.9999999999999998,0.9978942787098174,680918.3788221662,False,0.0,0.0,0.98047522805215,0.019524771947849774,0.0,0.0
2,Agnewak,ET1202,2011-04-01,CS,1.9270504321589073,1.6429979745780732,2,0.022365690011816045,0.9987480319145489,230382.36987470678,False,0.09531525785290848,0.8823190521352754,0.022365690011816045,0.0,0.0,0.0
3,Alle,ET0712,2011-04-01,CS,2.9712342168035897,2.9565050739007375,3,0.97123421680359,1.0,58305.004910187556,False,0.0,0.028765783196409937,0.97123421680359,0.0,0.0,0.0
4,Amaro,ET0721,2011-04-01,CS,2.9887442759267366,2.9811058865337596,3,0.9887442759267363,0.9925992205031157,241980.49351918703,False,0.0,0.011255724073263775,0.9887442759267363,0.0,0.0,0.0
5,Arsi,ET0408,2011-04-01,CS,2.002982529010049,2.0053621850808274,2,0.0029825290100487824,0.9988238755065837,4210136.990821458,False,0.0,0.9970174709899513,0.0029825290100487824,0.0,0.0,0.0
6,Asosa,ET0603,2011-04-01,CS,1.6141842846941614,1.655728964477134,2,0.0,0.9985371256397245,504181.0616138397,False,0.3858157153058384,0.6141842846941615,0.0,0.0,0.0,0.0
7,Awi,ET0309,2011-04-01,CS,1.0000000000000002,1.0000000276799268,1,0.0,1.0,1415460.417511528,False,1.0,0.0,0.0,0.0,0.0,0.0
8,Awsi-Zone 1,ET0201,2011-04-01,CS,2.9916632308604916,2.9982273384467812,3,0.9916632308604915,0.9940833534298206,601500.6130281079,False,0.0,0.00833676913950879,0.9916632308604915,0.0,0.0,0.0
9,Bale,ET0411,2011-04-01,CS,2.4180128904718834,2.752624943498436,3,0.4211171155961245,1.0,1543786.3085614843,False,0.003104225124240729,0.5757786592796348,0.4211171155961245,0.0,0.0,0.0
10,Basketo,ET0716,2011-04-01,CS,1.011222506426311,1.0673149660977936,1,0.001010004172901817,1.0,82208.88451237368,False,0.9897874977465906,0.00920249808050749,0.001010004172901817,0.0,0.0,0.0
11,Bench Sheko,ET1103,2011-04-01,CS,1.001805930784032,1.0062218572568085,1,0.0,1.0,732544.3859843061,False,0.9981940692159683,0.00180593078403175,0.0,0.0,0.0,0.0
12,Borena,ET0412,2011-04-01,CS,3.0,3.000000208849673,3,1.0,0.9897307377108561,615139.3692973542,False,0.0,0.0,1.0,0.0,0.0,0.0
13,Buno Bedele,ET0416,2011-04-01,CS,0.9999999999999999,0.9999999999533756,1,0.0,1.0,944882.7237688008,False,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
14,Burji,ET0722,2011-04-01,CS,3.0000000000000004,3.0000000662448767,3,1.0,1.0,97011.85118671751,False,0.0,0.0,1.0,0.0,0.0,0.0
15,Central Tigray,ET0102,2011-04-01,CS,2.0012308159542376,2.004062239235777,2,0.001230815954237466,0.9991328163180881,1738347.974431763,False,0.0,0.9987691840457624,0.001230815954237466,0.0,0.0,0.0
16,Central Gondar,ET0311,2011-04-01,CS,1.330200659596864,1.3952370696857934,1,0.07247937641742773,0.9977217067048536,2785710.0478665177,False,0.7422787168205636,0.18524190676200872,0.07247937641742773,0.0,0.0,0.0
17,Daawa,ET0511,2011-04-01,CS,2.9999999999999996,3.0000000488292566,3,0.9999999999999998,0.9743508338690308,327517.25981538265,False,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
18,Dawuro,ET1104,2011-04-01,CS,2.008940053262686,2.000349538974147,2,0.014678432899119945,1.0,800305.3285543523,False,0.005738379636433821,0.9795831874644463,0.014678432899119945,0.0,0.0,0.0
19,Derashe,ET0723,2011-04-01,CS,2.9899625310210896,2.9817289876220916,3,0.9899625310210891,0.9988097514164804,120815.75138614127,False,0.0,0.010037468978910821,0.9899625310210891,0.0,0.0,0.0
20,Dire Dawa rural,ET1502,2011-04-01,CS,2.029072194233986,2.082655405124029,2,0.029072194233986246,0.8650893019764254,345695.04949532216,False,0.0,0.9709278057660138,0.029072194233986246,0.0,0.0,0.0
21,Dire Dawa urban,ET1501,2011-04-01,CS,2.010322269527536,2.0696517660144633,2,0.010322269527536046,0.7238473462438701,181035.97489324183,False,0.0,0.989677730472464,0.010322269527536046,0.0,0.0,0.0
22,Doolo,ET0507,2011-04-01,CS,4.0,3.9999998052557166,4,1.0,0.9988260465126301,408404.7855043834,False,0.0,0.0,0.0,1.0,0.0,0.0
23,East Bale,ET0421,2011-04-01,CS,2.7988691821618064,2.913493790161052,3,0.7965941775650541,1.0,769384.832106998,False,0.0,0.20340582243494584,0.7943191729683017,0.0022750045967523985,0.0,0.0
24,East Gojam,ET0306,2011-04-01,CS,1.0503541584288598,1.0744625682456572,1,0.0,1.0,3134639.9001112464,False,0.9496458415711398,0.05035415842886008,0.0,0.0,0.0,0.0
25,East Hararge,ET0410,2011-04-01,CS,2.4558849792056896,2.8014325751765545,3,0.45469725964105445,0.9918819372364177,4483274.682379481,False,0.0,0.5453027403589453,0.45350954007641914,0.0011877195646353364,0.0,0.0
26,East Shewa,ET0407,2011-04-01,CS,1.6677883170492749,1.6843542872307373,2,0.003956333373509707,0.992682722722075,2519473.956333109,False,0.33616801632423493,0.6598756503022553,0.003956333373509707,0.0,0.0,0.0
27,East Wellega,ET0402,2011-04-01,CS,1.0031008875327128,1.00264591388218,1,0.0,1.0,1960298.183289499,False,0.9968991124672869,0.003100887532712947,0.0,0.0,0.0,0.0
28,Eastern Tigray,ET0103,2011-04-01,CS,2.0367614609543345,2.1308461592106465,2,0.036761460954334746,0.994856500541504,1170762.83261326,False,0.0,0.9632385390456651,0.036761460954334746,0.0,0.0,0.0
29,Erer,ET0504,2011-04-01,CS,3.9890424057147853,3.9794401482629844,4,1.0,1.0,392472.3213470652,False,0.0,0.0,0.010957594285214686,0.9890424057147854,0.0,0.0
30,Fafan,ET0502,2011-04-01,CS,3.061610256300519,3.2911060198368607,3,0.9999999999999999,0.9958539235963293,1533687.7401154041,False,0.0,0.0,0.9383897436994811,0.061610256300518744,0.0,0.0
