pcode,year,month,ndvi,ndvi_anomaly,ndvi_lag1,ndvi_lag3,ndvi_lag6,ndvi_lag12,ndvi_anomaly_lag1,ndvi_anomaly_lag3,ndvi_anomaly_lag6,ndvi_anomaly_lag12
ET0101,2009,1,0.16017433503561,0.004980538502168813,0.1952124559643245,0.3219197468761002,0.251157012906405,0.1701976738796375,0.012342703322846094,0.0017888233476599513,0.02606489858688868,0.01500387734619632
ET0101,2009,2,0.1381220007170376,0.002261273876183162,0.16017433503561,0.2521262491777897,0.3290099158693405,0.1507715769270184,0.004980538502168813,0.015047628088580373,0.003529149778374041,0.014910850086163968
ET0101,2009,3,0.1289966111262414,0.006752112177635883,0.1381220007170376,0.1952124559643245,0.3674834670322451,0.1412625244095436,0.002261273876183162,0.012342703322846094,-0.006356196084978338,0.019018025460938087
ET0101,2009,4,0.1270392562198167,0.017123156953624402,0.1289966111262414,0.16017433503561,0.3219197468761002,0.1349893983616856,0.006752112177635883,0.004980538502168813,0.0017888233476599513,0.0250732990954933
ET0101,2009,5,0.1098461858875512,0.0014670033407061384,0.1270392562198167,0.1381220007170376,0.2521262491777897,0.1359002888940348,0.017123156953624402,0.002261273876183162,0.015047628088580373,0.02752110634718974
ET0101,2009,6,0.1231332444065531,-0.01960697679656953,0.1098461858875512,0.1289966111262414,0.1952124559643245,0.1684008560115748,0.0014670033407061384,0.006752112177635883,0.012342703322846094,0.025660634808452182
ET0101,2009,7,0.220348312470751,-0.004743801848765328,0.1231332444065531,0.1270392562198167,0.16017433503561,0.251157012906405,-0.01960697679656953,0.017123156953624402,0.004980538502168813,0.02606489858688868
ET0101,2009,8,0.3399748390980455,0.014494073007079056,0.220348312470751,0.1098461858875512,0.1381220007170376,0.3290099158693405,-0.004743801848765328,0.0014670033407061384,0.002261273876183162,0.003529149778374041
ET0101,2009,9,0.3599519262556645,-0.01388773686155892,0.3399748390980455,0.1231332444065531,0.1289966111262414,0.3674834670322451,0.014494073007079056,-0.01960697679656953,0.006752112177635883,-0.006356196084978338
ET0101,2009,10,0.2884222196765466,-0.03170870385189367,0.3599519262556645,0.220348312470751,0.1270392562198167,0.3219197468761002,-0.01388773686155892,-0.004743801848765328,0.017123156953624402,0.0017888233476599513
ET0101,2009,11,0.2116973228763151,-0.025381298212894227,0.2884222196765466,0.3399748390980455,0.1098461858875512,0.2521262491777897,-0.03170870385189367,0.014494073007079056,0.0014670033407061384,0.015047628088580373
ET0101,2009,12,0.1674289326835555,-0.015440819957922902,0.2116973228763151,0.3599519262556645,0.1231332444065531,0.1952124559643245,-0.025381298212894227,-0.01388773686155892,-0.01960697679656953,0.012342703322846094
ET0101,2010,1,0.136916201514267,-0.01827759501917417,0.1674289326835555,0.2884222196765466,0.220348312470751,0.16017433503561,-0.015440819957922902,-0.03170870385189367,-0.004743801848765328,0.004980538502168813
ET0101,2010,2,0.1189306984158941,-0.01693002842496033,0.136916201514267,0.2116973228763151,0.3399748390980455,0.1381220007170376,-0.01827759501917417,-0.025381298212894227,0.014494073007079056,0.002261273876183162
ET0101,2010,3,0.1073244744608813,-0.014920024487724212,0.1189306984158941,0.1674289326835555,0.3599519262556645,0.1289966111262414,-0.01693002842496033,-0.015440819957922902,-0.01388773686155892,0.006752112177635883
ET0101,2010,4,0.0995070770319651,-0.010409022234227211,0.1073244744608813,0.136916201514267,0.2884222196765466,0.1270392562198167,-0.014920024487724212,-0.01827759501917417,-0.03170870385189367,0.017123156953624402
ET0101,2010,5,0.0950645021883483,-0.013314680358496755,0.0995070770319651,0.1189306984158941,0.2116973228763151,0.1098461858875512,-0.010409022234227211,-0.01693002842496033,-0.025381298212894227,0.0014670033407061384
ET0101,2010,6,0.1246128062937603,-0.01812741490936233,0.0950645021883483,0.1073244744608813,0.1674289326835555,0.1231332444065531,-0.013314680358496755,-0.014920024487724212,-0.015440819957922902,-0.01960697679656953
ET0101,2010,7,0.2043012824684086,-0.02079083185110775,0.1246128062937603,0.0995070770319651,0.136916201514267,0.220348312470751,-0.01812741490936233,-0.010409022234227211,-0.01827759501917417,-0.004743801848765328
ET0101,2010,8,0.305588416428512,-0.019892349662454456,0.2043012824684086,0.0950645021883483,0.1189306984158941,0.3399748390980455,-0.02079083185110775,-0.013314680358496755,-0.01693002842496033,0.014494073007079056
ET0101,2010,9,0.3728426627635618,-0.0009970003536616256,0.305588416428512,0.1246128062937603,0.1073244744608813,0.3599519262556645,-0.019892349662454456,-0.01812741490936233,-0.014920024487724212,-0.01388773686155892
ET0101,2010,10,0.3282535517485509,0.008122628220110673,0.3728426627635618,0.2043012824684086,0.0995070770319651,0.2884222196765466,-0.0009970003536616256,-0.02079083185110775,-0.010409022234227211,-0.03170870385189367
ET0101,2010,11,0.2393417363456823,0.002263115256472964,0.3282535517485509,0.305588416428512,0.0950645021883483,0.2116973228763151,0.008122628220110673,-0.019892349662454456,-0.013314680358496755,-0.025381298212894227
ET0101,2010,12,0.1848359352565216,0.001966182615043194,0.2393417363456823,0.3728426627635618,0.1246128062937603,0.1674289326835555,0.002263115256472964,-0.0009970003536616256,-0.01812741490936233,-0.015440819957922902
ET0101,2011,1,0.1598396114003877,0.004645814866946513,0.1848359352565216,0.3282535517485509,0.2043012824684086,0.136916201514267,0.001966182615043194,0.008122628220110673,-0.02079083185110775,-0.01827759501917417
ET0101,2011,2,0.1432075737178578,0.007346846877003377,0.1598396114003877,0.2393417363456823,0.305588416428512,0.1189306984158941,0.004645814866946513,0.002263115256472964,-0.019892349662454456,-0.01693002842496033
ET0101,2011,3,0.1261336690360282,0.0038891700874227053,0.1432075737178578,0.1848359352565216,0.3728426627635618,0.1073244744608813,0.007346846877003377,0.001966182615043194,-0.0009970003536616256,-0.014920024487724212
ET0101,2011,4,0.1149229190432199,0.005006819777027591,0.1261336690360282,0.1598396114003877,0.3282535517485509,0.0995070770319651,0.0038891700874227053,0.004645814866946513,0.008122628220110673,-0.010409022234227211
ET0101,2011,5,0.1190045316831394,0.010625349136294343,0.1149229190432199,0.1432075737178578,0.2393417363456823,0.0950645021883483,0.005006819777027591,0.007346846877003377,0.002263115256472964,-0.013314680358496755
ET0101,2011,6,0.158115282991988,0.015375061788865357,0.1190045316831394,0.1261336690360282,0.1848359352565216,0.1246128062937603,0.010625349136294343,0.0038891700874227053,0.001966182615043194,-0.01812741490936233
ET0101,2011,7,0.2040774492596972,-0.021014665059819138,0.158115282991988,0.1149229190432199,0.1598396114003877,0.2043012824684086,0.015375061788865357,0.005006819777027591,0.004645814866946513,-0.02079083185110775
ET0101,2011,8,0.2793411731804277,-0.04613959291053871,0.2040774492596972,0.1190045316831394,0.1432075737178578,0.305588416428512,-0.021014665059819138,0.010625349136294343,0.007346846877003377,-0.019892349662454456
ET0101,2011,9,0.3417613319156868,-0.032078331201536636,0.2793411731804277,0.158115282991988,0.1261336690360282,0.3728426627635618,-0.04613959291053871,0.015375061788865357,0.0038891700874227053,-0.0009970003536616256
ET0101,2011,10,0.2928772408520484,-0.027253682676391833,0.3417613319156868,0.2040774492596972,0.1149229190432199,0.3282535517485509,-0.032078331201536636,-0.021014665059819138,0.005006819777027591,0.008122628220110673
ET0101,2011,11,0.2121181144909946,-0.02496050659821472,0.2928772408520484,0.2793411731804277,0.1190045316831394,0.2393417363456823,-0.027253682676391833,-0.04613959291053871,0.010625349136294343,0.002263115256472964
ET0101,2011,12,0.1731499374713722,-0.0097198151701062,0.2121181144909946,0.3417613319156868,0.158115282991988,0.1848359352565216,-0.02496050659821472,-0.032078331201536636,0.015375061788865357,0.001966182615043194
ET0101,2012,1,0.152164363140264,-0.0030294333931771833,0.1731499374713722,0.2928772408520484,0.2040774492596972,0.1598396114003877,-0.0097198151701062,-0.027253682676391833,-0.021014665059819138,0.004645814866946513
ET0101,2012,2,0.1384374180221153,0.0025766911812608595,0.152164363140264,0.2121181144909946,0.2793411731804277,0.1432075737178578,-0.0030294333931771833,-0.02496050659821472,-0.04613959291053871,0.007346846877003377
ET0101,2012,3,0.1233978132378768,0.00115331428927129,0.1384374180221153,0.1731499374713722,0.3417613319156868,0.1261336690360282,0.0025766911812608595,-0.0097198151701062,-0.032078331201536636,0.0038891700874227053
ET0101,2012,4,0.1097519141970969,-0.0001641850690954072,0.1233978132378768,0.152164363140264,0.2928772408520484,0.1149229190432199,0.00115331428927129,-0.0030294333931771833,-0.027253682676391833,0.005006819777027591
ET0101,2012,5,0.0976905986835292,-0.010688583863315865,0.1097519141970969,0.1384374180221153,0.2121181144909946,0.1190045316831394,-0.0001641850690954072,0.0025766911812608595,-0.02496050659821472,0.010625349136294343
ET0101,2012,6,0.1324872761395729,-0.010252945063549734,0.0976905986835292,0.1233978132378768,0.1731499374713722,0.158115282991988,-0.010688583863315865,0.00115331428927129,-0.0097198151701062,0.015375061788865357
ET0101,2012,7,0.2323389077372058,0.007246793417689468,0.1324872761395729,0.1097519141970969,0.152164363140264,0.2040774492596972,-0.010252945063549734,-0.0001641850690954072,-0.0030294333931771833,-0.021014665059819138
ET0101,2012,8,0.3432963387843069,0.017815572693340442,0.2323389077372058,0.0976905986835292,0.1384374180221153,0.2793411731804277,0.007246793417689468,-0.010688583863315865,0.0025766911812608595,-0.04613959291053871
ET0101,2012,9,0.3827807824463284,0.008941119329104963,0.3432963387843069,0.1324872761395729,0.1233978132378768,0.3417613319156868,0.017815572693340442,-0.010252945063549734,0.00115331428927129,-0.032078331201536636
ET0101,2012,10,0.3087889813255555,-0.011341942202884758,0.3827807824463284,0.2323389077372058,0.1097519141970969,0.2928772408520484,0.008941119329104963,0.007246793417689468,-0.0001641850690954072,-0.027253682676391833
ET0101,2012,11,0.2131400375272631,-0.023938583561946225,0.3087889813255555,0.3432963387843069,0.0976905986835292,0.2121181144909946,-0.011341942202884758,0.017815572693340442,-0.010688583863315865,-0.02496050659821472
ET0101,2012,12,0.1659080696198694,-0.016961683021608998,0.2131400375272631,0.3827807824463284,0.1324872761395729,0.1731499374713722,-0.023938583561946225,0.008941119329104963,-0.010252945063549734,-0.0097198151701062
ET0101,2013,1,0.1412114637154332,-0.013982332818007981,0.1659080696198694,0.3087889813255555,0.2323389077372058,0.152164363140264,-0.016961683021608998,-0.011341942202884758,0.007246793417689468,-0.0030294333931771833
ET0101,2013,2,0.1250689590120585,-0.010791767828795928,0.1412114637154332,0.2131400375272631,0.3432963387843069,0.1384374180221153,-0.013982332818007981,-0.023938583561946225,0.017815572693340442,0.0025766911812608595
ET0101,2013,3,0.1129904576963211,-0.009254041252284406,0.1250689590120585,0.1659080696198694,0.3827807824463284,0.1233978132378768,-0.010791767828795928,-0.016961683021608998,0.008941119329104963,0.00115331428927129
ET0101,2013,4,0.1009538943920142,-0.008962204874178106,0.1129904576963211,0.1412114637154332,0.3087889813255555,0.1097519141970969,-0.009254041252284406,-0.013982332818007981,-0.011341942202884758,-0.0001641850690954072
ET0101,2013,5,0.0902284338986013,-0.01815074864824376,0.1009538943920142,0.1250689590120585,0.2131400375272631,0.0976905986835292,-0.008962204874178106,-0.010791767828795928,-0.023938583561946225,-0.010688583863315865
ET0101,2013,6,0.1028900328164727,-0.03985018838664993,0.0902284338986013,0.1129904576963211,0.1659080696198694,0.1324872761395729,-0.01815074864824376,-0.009254041252284406,-0.016961683021608998,-0.010252945063549734
ET0101,2013,7,0.161640177195025,-0.06345193712449135,0.1028900328164727,0.1009538943920142,0.1412114637154332,0.2323389077372058,-0.03985018838664993,-0.008962204874178106,-0.013982332818007981,0.007246793417689468
ET0101,2013,8,0.2824045388499615,-0.04307622724100496,0.161640177195025,0.0902284338986013,0.1250689590120585,0.3432963387843069,-0.06345193712449135,-0.01815074864824376,-0.010791767828795928,0.017815572693340442
ET0101,2013,9,0.3635915301561018,-0.010248132961121648,0.2824045388499615,0.1028900328164727,0.1129904576963211,0.3827807824463284,-0.04307622724100496,-0.03985018838664993,-0.009254041252284406,0.008941119329104963
ET0101,2013,10,0.3214901147418177,0.0013591912133774642,0.3635915301561018,0.161640177195025,0.1009538943920142,0.3087889813255555,-0.010248132961121648,-0.06345193712449135,-0.008962204874178106,-0.011341942202884758
ET0101,2013,11,0.2470438593137045,0.009965238224495188,0.3214901147418177,0.2824045388499615,0.0902284338986013,0.2131400375272631,0.0013591912133774642,-0.04307622724100496,-0.01815074864824376,-0.023938583561946225
ET0101,2013,12,0.1807097684923965,-0.0021599841490818894,0.2470438593137045,0.3635915301561018,0.1028900328164727,0.1659080696198694,0.009965238224495188,-0.010248132961121648,-0.03985018838664993,-0.016961683021608998
ET0101,2014,1,0.1459239811611479,-0.009269815372293266,0.1807097684923965,0.3214901147418177,0.161640177195025,0.1412114637154332,-0.0021599841490818894,0.0013591912133774642,-0.06345193712449135,-0.013982332818007981
ET0101,2014,2,0.1320880539557215,-0.003772672885132916,0.1459239811611479,0.2470438593137045,0.2824045388499615,0.1250689590120585,-0.009269815372293266,0.009965238224495188,-0.04307622724100496,-0.010791767828795928
ET0101,2014,3,0.1193717168657243,-0.002872782082881206,0.1320880539557215,0.1807097684923965,0.3635915301561018,0.1129904576963211,-0.003772672885132916,-0.0021599841490818894,-0.010248132961121648,-0.009254041252284406
ET0101,2014,4,0.1073422964657044,-0.002573802800487912,0.1193717168657243,0.1459239811611479,0.3214901147418177,0.1009538943920142,-0.002872782082881206,-0.009269815372293266,0.0013591912133774642,-0.008962204874178106
ET0101,2014,5,0.104833102277895,-0.0035460802689500637,0.1073422964657044,0.1320880539557215,0.2470438593137045,0.0902284338986013,-0.002573802800487912,-0.003772672885132916,0.009965238224495188,-0.01815074864824376
ET0101,2014,6,0.133367474658528,-0.009372746544594635,0.104833102277895,0.1193717168657243,0.1807097684923965,0.1028900328164727,-0.0035460802689500637,-0.002872782082881206,-0.0021599841490818894,-0.03985018838664993
ET0101,2014,7,0.2192146495153239,-0.005877464804192434,0.133367474658528,0.1073422964657044,0.1459239811611479,0.161640177195025,-0.009372746544594635,-0.002573802800487912,-0.009269815372293266,-0.06345193712449135
ET0101,2014,8,0.3172928004866779,-0.008187965604288527,0.2192146495153239,0.104833102277895,0.1320880539557215,0.2824045388499615,-0.005877464804192434,-0.0035460802689500637,-0.003772672885132916,-0.04307622724100496
ET0101,2014,9,0.3792455620863482,0.005405898969124745,0.3172928004866779,0.133367474658528,0.1193717168657243,0.3635915301561018,-0.008187965604288527,-0.009372746544594635,-0.002872782082881206,-0.010248132961121648
ET0101,2014,10,0.3507705260031294,0.030639602474689165,0.3792455620863482,0.2192146495153239,0.1073422964657044,0.3214901147418177,0.005405898969124745,-0.005877464804192434,-0.002573802800487912,0.0013591912133774642
ET0101,2014,11,0.2723034068077929,0.03522478571858359,0.3507705260031294,0.3172928004866779,0.104833102277895,0.2470438593137045,0.030639602474689165,-0.008187965604288527,-0.0035460802689500637,0.009965238224495188
ET0101,2014,12,0.2014435739631868,0.0185738213217084,0.2723034068077929,0.3792455620863482,0.133367474658528,0.1807097684923965,0.03522478571858359,0.005405898969124745,-0.009372746544594635,-0.0021599841490818894
ET0101,2015,1,0.1617195970540842,0.006525800520643027,0.2014435739631868,0.3507705260031294,0.2192146495153239,0.1459239811611479,0.0185738213217084,0.030639602474689165,-0.005877464804192434,-0.009269815372293266
ET0101,2015,2,0.1395516328334471,0.003690905992592669,0.1617195970540842,0.2723034068077929,0.3172928004866779,0.1320880539557215,0.006525800520643027,0.03522478571858359,-0.008187965604288527,-0.003772672885132916
ET0101,2015,3,0.1205951964437877,-0.001649302504817804,0.1395516328334471,0.2014435739631868,0.3792455620863482,0.1193717168657243,0.003690905992592669,0.0185738213217084,0.005405898969124745,-0.002872782082881206
ET0101,2015,4,0.1083978127155985,-0.0015182865505938142,0.1205951964437877,0.1617195970540842,0.3507705260031294,0.1073422964657044,-0.001649302504817804,0.006525800520643027,0.030639602474689165,-0.002573802800487912
ET0101,2015,5,0.1038451249773128,-0.004534057569532263,0.1083978127155985,0.1395516328334471,0.2723034068077929,0.104833102277895,-0.0015182865505938142,0.003690905992592669,0.03522478571858359,-0.0035460802689500637
ET0101,2015,6,0.1257026928886666,-0.01703752831445604,0.1038451249773128,0.1205951964437877,0.2014435739631868,0.133367474658528,-0.004534057569532263,-0.001649302504817804,0.0185738213217084,-0.009372746544594635
ET0101,2015,7,0.1893037567613317,-0.03578835755818463,0.1257026928886666,0.1083978127155985,0.1617195970540842,0.2192146495153239,-0.01703752831445604,-0.0015182865505938142,0.006525800520643027,-0.005877464804192434
ET0101,2015,8,0.2905185417584348,-0.034962224332531655,0.1893037567613317,0.1038451249773128,0.1395516328334471,0.3172928004866779,-0.03578835755818463,-0.004534057569532263,0.003690905992592669,-0.008187965604288527
ET0101,2015,9,0.3434466215685706,-0.030393041548652855,0.2905185417584348,0.1257026928886666,0.1205951964437877,0.3792455620863482,-0.034962224332531655,-0.01703752831445604,-0.001649302504817804,0.005405898969124745
ET0101,2015,10,0.2922150070398329,-0.027915916488607362,0.3434466215685706,0.1893037567613317,0.1083978127155985,0.3507705260031294,-0.030393041548652855,-0.03578835755818463,-0.0015182865505938142,0.030639602474689165
ET0101,2015,11,0.2132676196359677,-0.023811001453241637,0.2922150070398329,0.2905185417584348,0.1038451249773128,0.2723034068077929,-0.027915916488607362,-0.034962224332531655,-0.004534057569532263,0.03522478571858359
ET0101,2015,12,0.159691661764911,-0.023178090876567387,0.2132676196359677,0.3434466215685706,0.1257026928886666,0.2014435739631868,-0.023811001453241637,-0.030393041548652855,-0.01703752831445604,0.0185738213217084
ET0101,2016,1,0.1366782242160875,-0.01851557231735368,0.159691661764911,0.2922150070398329,0.1893037567613317,0.1617195970540842,-0.023178090876567387,-0.027915916488607362,-0.03578835755818463,0.006525800520643027
ET0101,2016,2,0.12251966602605,-0.013341060814804434,0.1366782242160875,0.2132676196359677,0.2905185417584348,0.1395516328334471,-0.01851557231735368,-0.023811001453241637,-0.034962224332531655,0.003690905992592669
ET0101,2016,3,0.1086990855307525,-0.013545413417853008,0.12251966602605,0.159691661764911,0.3434466215685706,0.1205951964437877,-0.013341060814804434,-0.023178090876567387,-0.030393041548652855,-0.001649302504817804
ET0101,2016,4,0.0934929321118257,-0.016423167154366605,0.1086990855307525,0.1366782242160875,0.2922150070398329,0.1083978127155985,-0.013545413417853008,-0.01851557231735368,-0.027915916488607362,-0.0015182865505938142
ET0101,2016,5,0.0879001453402946,-0.020479037206550463,0.0934929321118257,0.12251966602605,0.2132676196359677,0.1038451249773128,-0.016423167154366605,-0.013341060814804434,-0.023811001453241637,-0.004534057569532263
ET0101,2016,6,0.1090689582125806,-0.03367126299054203,0.0879001453402946,0.1086990855307525,0.159691661764911,0.1257026928886666,-0.020479037206550463,-0.013545413417853008,-0.023178090876567387,-0.01703752831445604
ET0101,2016,7,0.1719483809474502,-0.053143733372066126,0.1090689582125806,0.0934929321118257,0.1366782242160875,0.1893037567613317,-0.03367126299054203,-0.016423167154366605,-0.01851557231735368,-0.03578835755818463
ET0101,2016,8,0.2917261796844056,-0.033754586406560816,0.1719483809474502,0.0879001453402946,0.12251966602605,0.2905185417584348,-0.053143733372066126,-0.020479037206550463,-0.013341060814804434,-0.034962224332531655
ET0101,2016,9,0.3602577953729805,-0.013581867744242915,0.2917261796844056,0.1090689582125806,0.1086990855307525,0.3434466215685706,-0.033754586406560816,-0.03367126299054203,-0.013545413417853008,-0.030393041548652855
ET0101,2016,10,0.3089100564428232,-0.011220867085617037,0.3602577953729805,0.1719483809474502,0.0934929321118257,0.2922150070398329,-0.013581867744242915,-0.053143733372066126,-0.016423167154366605,-0.027915916488607362
ET0101,2016,11,0.2238918066214469,-0.013186814467762431,0.3089100564428232,0.2917261796844056,0.0879001453402946,0.2132676196359677,-0.011220867085617037,-0.033754586406560816,-0.020479037206550463,-0.023811001453241637
