pcode,year,month,pet_mm,sm_root,precip_mm,spei_balance_mm,sm_mean_1m,spei_balance_sum_1m,sm_mean_3m,spei_balance_sum_3m,sm_mean_6m,spei_balance_sum_6m,sm_mean_12m,spei_balance_sum_12m,sm_mean_24m,spei_balance_sum_24m,ssmi_1,ssmi_3,ssmi_6,ssmi_12,ssmi_24,spei_1,spei_3,spei_6,spei_12,spei_24
ET0101,2009,1,131.8135471959268,0.2209551223824101,1.4023658062932813,-130.4111813896335,0.2209551223824101,-130.4111813896335,0.24257430670562596,-375.7307549189131,0.2829350786463868,-239.87067011960266,0.2477648197723332,-627.4230664619726,0.24932900454188064,-1180.4972021890906,-0.17594551157740207,-0.06225253484372556,-0.12296900631773566,0.21490210810616206,0.5202546619649672,0.8294686848557734,0.7511352146920355,1.014290014545765,0.9576986375924789,1.01712782860748
ET0101,2009,2,137.52256202697754,0.2011633308664445,0.8715098226044655,-136.6510522043731,0.2011633308664445,-136.6510522043731,0.22184556710623915,-393.1025025597568,0.260872209444642,-610.4616451091749,0.2471892775326807,-621.9462855934162,0.24877543620745177,-1190.200264942153,-0.3265872334174051,-0.13618357422561964,-0.15153014934988668,0.17811682736578327,0.49067708216303607,0.847655703168781,0.7565981560309342,0.9629469650202951,0.9307062259225105,1.033684859478347
ET0101,2009,3,164.69012155840474,0.1876033295787149,13.186382997499429,-151.5037385609053,0.1876033295787149,-151.5037385609053,0.2032405942758564,-418.5659721549119,0.23475926974287595,-781.2345271955246,0.24705217062665885,-594.7594853765053,0.24830403998093578,-1179.4945799985817,-0.03086383141485054,-0.2451532141380126,-0.1855723081796315,0.17209406340009548,0.45548682361418197,0.8244748066249112,0.9474790751977545,0.8085984416639366,0.9705256088173172,0.945284194500748
ET0101,2009,4,190.67523094915575,0.1720141680730927,13.898513227250612,-176.77671772190513,0.1720141680730927,-176.77671772190513,0.18692694283941727,-464.9315084871835,0.21475062477252171,-840.6622634060968,0.24546154929945863,-640.9454012482342,0.24766592285345476,-1202.3517295957522,-0.41522111788937355,-0.33273602363313665,-0.1879377625952576,0.0847053735189849,0.419667023803531,0.5176855006855566,0.9243738325321968,0.780259806980765,0.8721039972289816,1.009951305787022
ET0101,2009,5,187.7034339289511,0.1532989017545215,14.475408838196913,-173.22802509075422,0.1532989017545215,-173.22802509075422,0.17097213313544293,-501.5084813735646,0.1964088501208411,-894.6109839333216,0.2418214458100978,-705.1203907015409,0.24657529742477,-1240.3960771100756,-1.2875852442278783,-0.6158488412322648,-0.4333096016232278,-0.12157520543620735,0.3554358714411468,-4.59496975580782,-4.446012852790952,-3.9043699670873906,0.8957233909402758,1.0218612269450698
ET0101,2009,6,145.989778887841,0.1560563104407441,98.12302712590854,-47.86675176193246,0.1560563104407441,-47.86675176193246,0.16045646008945266,-397.8714945745918,0.18184852718265465,-816.437466729504,0.23672269284725186,-759.9294079957764,0.2448602425114762,-1357.9272635956352,-1.5211117344261584,-1.1909022819068447,-0.7137558787384947,-0.39312852778416224,0.2511185752927792,0.6966049783695386,0.2337737889426908,-0.0225154811272867,0.8740032669940562,0.9311861334446176
ET0101,2009,7,108.43548885468512,0.2401486524651127,323.55725915334136,215.12177029865626,0.2401486524651127,215.12177029865626,0.1831679548867927,-5.973006554030405,0.18504744886310506,-470.90451504121404,0.2339912637547459,-710.7751851608164,0.24297633371065538,-1392.3735029766235,-0.5192375793840377,-1.1115352059385424,-0.8034305084939677,-0.5199910925069441,-0.02433958732863351,1.3001053017028983,1.0118763737404985,0.8809202896200292,0.8719883452586878,0.9238241321428028
ET0101,2009,8,113.33782983595326,0.3240497814070794,269.6372838993567,156.29945406340346,0.3240497814070794,156.29945406340346,0.24008491477097862,323.55447260012727,0.2055285239532109,-177.95400877343752,0.2332003666989265,-788.4156538826121,0.2415960108691085,-1425.7551762578526,-0.4945675849342441,-0.7775123738027041,-0.7987124071173064,-0.553895755724309,-0.10876476383649296,-0.1331192935745243,0.10412975548427157,0.9694822172546224,0.9009831395671117,0.9716849097180161
ET0101,2009,9,129.52645566386562,0.317111010512998,67.46665974183422,-62.0597959220314,0.317111010512998,-62.0597959220314,0.2937698147950633,309.3614284400283,0.22711313744225806,-88.51006613456364,0.23093620359256697,-869.7445933300878,0.23994468647726278,-1506.058864939195,-1.3615369787620444,-0.8088805247123501,-0.99718292225727,-0.6725578605854956,-0.21207485484714064,-4.635563348286155,-0.06119583808382262,0.8616628438474646,0.7616188408514544,0.8144726910324013
ET0101,2009,10,150.0885509367912,0.2465297464401491,14.195386019625879,-135.8931649171653,0.2465297464401491,-135.8931649171653,0.29589684612007544,-41.65350677579323,0.23953240050343413,-47.62651332982382,0.22714151263797797,-888.2887767359202,0.23763049813988868,-1510.9757894846464,-2.191161219502757,-1.352112362985459,-1.1819051107781746,-0.8537387961714671,-0.3440165444420058,0.6887882568827589,0.784787973029237,0.8729443454090497,0.7934232498913304,0.9869917108734477
ET0101,2009,11,136.93774783226752,0.2145511254427894,6.776099493803525,-130.161648338464,0.2145511254427894,-130.161648338464,0.2593972941319787,-328.11460917766067,0.2497411044514788,-4.560136577533612,0.22307497728615996,-899.1711205108547,0.235550340555448,-1510.824233064543,-2.028226471321485,-1.6992605046726468,-1.3439191144020572,-1.0171814056665451,-0.3551647871774176,0.6904036470424052,-4.253059588977169,0.8071390129103596,0.8463591874602066,0.933709706921025
ET0101,2009,12,116.63702189537788,0.200908494091803,0.9212264330820308,-115.71579546229586,0.200908494091803,-115.71579546229586,0.22066312199158042,-381.77060871792514,0.25721646839332196,-72.40918027789701,0.2195324977879883,-888.8466470074005,0.23379125836635783,-1498.9235980690328,-1.517053258448513,-1.6826955533282946,-1.3934601485829583,-1.1651691629678498,-0.48652700388282055,0.9243416198116216,0.8459385439754826,0.9154808206677217,0.8855344939563835,0.937507604965957
ET0101,2010,1,124.78920936584473,0.1842471416438779,5.614337016613128,-119.1748723492316,0.1842471416438779,-119.1748723492316,0.19990225372615666,-365.0523161499915,0.24789954992311614,-406.7058229257849,0.21647349939311064,-877.6103379669986,0.2321191595827219,-1505.0334044289712,-1.7160248401474245,-1.6149788867671555,-1.5849851809873392,-1.3002183179013165,-0.6124197929424142,0.9844178707588794,0.7800289651684241,0.827683405921266,0.8167157707442776,0.9057198722512849
ET0101,2010,2,139.46543828902705,0.1660500014981915,0.4839002323330864,-138.98153805669395,0.1660500014981915,-138.98153805669395,0.18373521241129068,-373.8722058682214,0.22156625327163484,-701.9868150458823,0.21354738861242284,-879.9408238193193,0.23036833307255178,-1501.8871094127358,-1.9224970204993772,-1.7414063092305188,-1.7728979258654312,-1.3949472272534238,-0.7138348645808038,0.8269024519479131,0.8819490283800733,-4.278347348341078,0.792039400622134,0.9266925353648305
ET0101,2010,3,174.77900935757546,0.1544599937455308,13.369770445138794,-161.40923891243668,0.1544599937455308,-161.40923891243668,0.1682523789625333,-419.5656493183622,0.19445775047705693,-801.3362580362875,0.2107854439596575,-889.8463241708508,0.2289188072931582,-1484.605809547356,-2.2905500779090504,-1.8946411977017648,-1.847510056213992,-1.497105540920717,-0.8103171156012514,0.7339423546466174,0.9419846494875486,0.7270505027804924,0.8200156448522343,0.8531694571836917
ET0101,2010,4,173.18634451589276,0.1542601930878816,33.76005077516543,-139.42629374072732,0.1542601930878816,-139.42629374072732,0.15825672944386787,-439.81707070985794,0.17907949158501238,-804.8693868598497,0.20930594604422326,-852.495900189673,0.2273837476718409,-1493.4413014379072,-1.3117174104137295,-1.781173796968537,-1.8308770069138394,-1.5713836482921826,-0.9101571066499491,0.843650457040383,1.051044461378899,0.9456270210128831,0.7623139607572146,0.9102412165656117
ET0101,2010,5,153.92794043017972,0.1537514864917724,31.143464350030953,-122.78447608014876,0.1537514864917724,-122.78447608014876,0.15415722444172816,-423.6200087333128,0.1689462184265095,-797.4922146015343,0.20934366143899416,-802.0523511790675,0.22558255362454602,-1507.1727418806086,-1.2612502952285247,-1.786962982980506,-1.747642828984819,-1.61237292979222,-1.028216744799389,0.8892885162178706,0.9481258362784558,0.8393205678089986,0.8309567844350249,0.9210730231752761
ET0101,2010,6,139.58984658025926,0.1752802543942966,156.73216108009058,17.142314499831315,0.1752802543942966,17.142314499831315,0.1610973113246501,-245.06845532104478,0.1646748451435918,-664.6341046394072,0.21094565676845686,-737.0432849173038,0.2238341748078544,-1496.9726929130802,-0.697531659836872,-1.1539579750833953,-1.8067787159500253,-1.5518648214500392,-1.156874217850151,0.8077590781095305,0.8811701181512301,0.9814207242630815,0.8970437445620835,0.8791565697128856
ET0101,2010,7,98.4072370221538,0.2526375983030565,260.23431334691224,161.82707632475845,0.2526375983030565,161.82707632475845,0.19388977972970842,56.184914744441016,0.17607325458678824,-383.63215596541716,0.21198640225495216,-790.3379788912016,0.22298883300484906,-1501.1131640520182,-0.1452209420331271,-0.6536050691488042,-1.312432237150738,-1.5033031077049073,-1.1467608922912107,0.32802743722666916,1.082457555411196,0.9718424506214967,0.8084718465694709,0.8862195896338657
ET0101,2010,8,99.86930004242927,0.346115545159386,276.6380271957966,176.76872715336734,0.346115545159386,176.76872715336734,0.2580111326189129,355.73811797795713,0.20608417853032066,-67.88189075535584,0.21382521590097772,-769.8687058012376,0.22351279129995208,-1558.28435968385,0.5632854066378856,-0.22746857844495366,-0.769355827664595,-1.4270241842108398,-1.1191474436706657,0.3080826161762451,0.4566321511262505,1.045021096486723,0.9133957363679688,0.8908870524549477
ET0101,2010,9,117.59719393330236,0.3564375475529701,122.92375319153392,5.326559258231555,0.3564375475529701,5.326559258231555,0.3183968970051374,343.9223627363574,0.23974710416489384,98.85390741531239,0.2171024273209754,-702.4823506209748,0.2240193154567712,-1572.2269439510628,1.0272334165264285,0.22526486442233726,-0.33618351957639414,-1.3024144719622428,-1.093775804079353,0.906368845313731,0.37575972630445886,1.012002439965359,0.9130028731289771,0.7721351770706316
ET0101,2010,10,142.8503184779998,0.3031524542358614,22.621409566047124,-120.22890891195267,0.3031524542358614,-120.22890891195267,0.3352351823160724,61.86637749964622,0.2645624810228905,118.05129224408704,0.22182098630395142,-686.8180946157621,0.22448124947096468,-1575.1068713516825,0.269928900121201,0.5528934220676991,-0.22256775929562247,-1.0960742151686134,-1.0514301399845358,0.811300565477773,0.9863431797576706,0.9959566937172447,0.9511518028319136,0.9418403534160564
ET0101,2010,11,137.08511924743652,0.256125453378885,6.194567602731238,-130.89055164470528,0.256125453378885,-130.89055164470528,0.3052384850559054,-245.7929012984264,0.28162480883740926,109.94521667953052,0.2252855136319594,-687.5469979220034,0.22418024545905968,-1586.7181184328583,-0.22058488729819842,0.129667049824155,-0.10582316125738221,-0.9186619159530316,-1.1478464961899466,0.6596980099976243,0.8727604899723166,0.883934157673092,1.0151889069555375,0.8848301275392562
ET0101,2010,12,121.60678149807838,0.2296761429357913,0.827244806881857,-120.77953669119653,0.2296761429357913,-120.77953669119653,0.2629846835168458,-371.8989972478545,0.2906907902609917,-27.976634511497323,0.22768281770229173,-692.6107391509041,0.22360765774514,-1581.4573861583046,-0.52459777906192,-0.2605328794190776,-0.03456124279350102,-0.8113076015311005,-1.1888740900371748,0.884101717183044,0.8954820153668291,0.953402021906332,1.0184160896735275,0.8877898367105279
ET0101,2011,1,120.7891743567682,0.2074357151023803,2.8964862865969114,-117.89268807017129,0.2074357151023803,-117.89268807017129,0.23107910380568542,-369.5627764060731,0.283157143060879,-307.6963989064271,0.2296151988238336,-691.3285548718437,0.22304434910847207,-1568.9388928388423,-0.8165116287255556,-0.5440002313833,-0.11142842200913505,-0.7399602505986976,-1.232416828280079,0.997921146975247,0.7683853443539346,0.959508632495627,0.9321765372463234,0.8694180391714564
ET0101,2011,2,149.25391960144043,0.186657483058591,0.33448045660558556,-148.91943914483485,0.186657483058591,-148.91943914483485,0.20792311369892078,-387.59166390620265,0.2565807993774132,-633.3845652046292,0.23133248895386693,-701.2664559599847,0.2224399387831449,-1581.2072797793044,-1.0656911425625246,-0.8022936953502399,-0.3686331317511725,-0.6491152679782248,-1.2626081993313218,0.7110541155736431,0.8001530133463014,0.9009330100389592,0.8999839920571288,0.8814499370608836
ET0101,2011,3,160.60802638146183,0.1744939015517311,11.787987841137829,-148.820038540324,0.1744939015517311,-148.820038540324,0.1895290332375674,-415.6321657553301,0.2262568583772067,-787.5311630031848,0.2330019812710503,-688.677255587872,0.22189371261535387,-1578.523579758723,-0.8898135354816338,-0.9780549292121029,-0.6024389855864638,-0.5687283423690037,-1.286713237533796,0.8441414363958438,0.9629029550960353,0.786426755359325,0.9366535956786736,0.8064909894668973
ET0101,2011,4,179.119901903214,0.159406189656546,16.37336398664355,-162.74653791657045,0.159406189656546,-162.74653791657045,0.17351919142228925,-460.48601560172926,0.20229914761398746,-830.0487920078026,0.23343081431843896,-711.997499763715,0.22136838018133112,-1564.4933999533882,-1.071992970140696,-1.0779324425362746,-0.8459491845170496,-0.5548082301795947,-1.319750682624249,0.6976056995308717,0.9522063530037554,0.8433636110805994,0.8437463586387033,0.8712888904152702
ET0101,2011,5,153.74030759257656,0.1605087864783502,75.21403572986759,-78.52627186270897,0.1605087864783502,-78.52627186270897,0.1648029592288757,-390.0928483196034,0.18636303646389832,-777.6845122258062,0.23399392265065377,-667.7392955462753,0.22166879204482395,-1469.7916467253428,-0.87701914122634,-1.0315685887327801,-0.967990606914957,-0.5418680145409389,-1.2956075091394779,1.0341794927872687,1.0271937346143247,0.8742048383086872,0.9148363168902568,0.939791733356602
ET0101,2011,6,140.80071092421008,0.1736244477571979,100.14519242797506,-40.65551849623502,0.1736244477571979,-40.65551849623502,0.1645131412973646,-281.92832827551445,0.1770210872674661,-697.5604940308448,0.23385593876422892,-725.5371285423416,0.2224007977663429,-1462.5804134596456,-0.7648216918445283,-0.9594859356457308,-1.0137202592588326,-0.5422345594809148,-1.2560292231818742,0.7132315197512259,0.8335826023386217,0.9332658159429758,0.9075362790236283,0.8938571895143415
ET0101,2011,7,120.40615463256836,0.205154210929909,268.29813357305835,147.89197894049,0.205154210929909,147.89197894049,0.17976248172181894,28.710188581545992,0.1766408365720542,-431.77582702018344,0.22989898981646661,-739.4722259266101,0.22094269603570937,-1529.8102048178118,-1.6423585394977898,-1.2607543752160308,-1.2797293602727864,-0.7244510164358281,-1.2433981208734863,0.025340726649619446,1.0543237025125656,0.9276180853882069,0.8519617452869586,0.8743861639731071
ET0101,2011,8,101.06796123135474,0.2862252541367084,250.7060011354945,149.63803990413976,0.2862252541367084,149.63803990413976,0.22166797094127166,256.8745003483947,0.19323546508507375,-133.21834797120886,0.22490813223124348,-766.6029131758377,0.21936667406611063,-1536.4716189770757,-1.784796862119523,-1.278344066796689,-1.4622913957319719,-0.9537075784259903,-1.3142519618255974,-0.2887419325313752,-0.6378528774165002,1.004267405928378,0.9154841125478633,0.9072430917719282
ET0101,2011,9,117.60523353084442,0.329128626854189,139.36569108020666,21.760457549362243,0.329128626854189,21.760457549362243,0.2735026973069354,319.290476393992,0.21900791930215005,37.36214811847738,0.2226323888396784,-750.1690148847069,0.2198674080803269,-1452.6513655056817,-0.8001985153539539,-1.4799534320545482,-1.4343373378945907,-1.0636799574272289,-1.2907827220596333,0.9553796028851519,0.06982995926066927,0.9752283107407343,0.882505958807155,0.8413994109079695
ET0101,2011,10,152.96221283943422,0.2820170557787341,18.950261509701704,-134.0119513297325,0.2820170557787341,-134.0119513297325,0.2991236455898771,37.38654612376945,0.2394430636558481,66.0967347053153,0.22087110563491777,-763.9520573024868,0.2213460459694346,-1450.7701519182492,-0.6094271710544604,-1.230706221327683,-1.1849268595344458,-1.1376769890895535,-1.200641558188702,0.7075615786357626,0.953822004743555,0.965842371386094,0.9073615742096903,1.0205591594649694
ET0101,2011,11,124.52973150437876,0.2448858413244447,9.283290811027873,-115.24644069335089,0.2448858413244447,-115.24644069335089,0.2853438413191225,-227.49793447372122,0.25350590613019713,29.376565874673375,0.2199344712970477,-748.3079463511324,0.2226099924645036,-1435.854944273136,-0.6885476361424812,-0.7820523515954635,-1.2176312862846368,-1.1527180471078546,-1.2594204279395125,1.0345739348946288,0.9146765751071031,0.8339411053441029,0.9816504960003597,0.9706538935763367
ET0101,2011,12,130.1348916945919,0.2203879083596891,0.4712680490691508,-129.66362364552273,0.2203879083596891,-129.66362364552273,0.24909693515428918,-378.92201566860615,0.2612998162306124,-59.63153927461434,0.21916045174903923,-757.1920333054586,0.22342163472566548,-1449.8027724563628,-0.8719761715408963,-0.7860145995884364,-1.252705651625876,-1.1805391790949977,-1.2019012779052778,0.7927038469400435,0.8613926142389763,0.9272789055614528,0.9853660418418677,0.9610621153571538
ET0101,2012,1,126.3374622714135,0.2033434632805086,2.0365709760276594,-124.30089129538584,0.2033434632805086,-124.30089129538584,0.22287240432154734,-369.2109556342595,0.26099802495571234,-331.82440951049017,0.21881943076388324,-763.6002365306731,0.22421731479385845,-1454.9287914025172,-0.9905030406382495,-0.8541585422338034,-1.105981675171891,-1.2061922470897528,-1.1513386858009114,0.9233355513625428,0.7693211918549269,0.9351085072390949,0.8969505556196319,0.9291880780197174
ET0101,2012,2,166.8560858080464,0.1898546038616088,0.2772998464802684,-166.57878596156613,0.1898546038616088,-166.57878596156613,0.20452865850060206,-420.5433009024747,0.24493624990986237,-648.041235376196,0.21908585749746803,-781.2595833474045,0.22520917322566747,-1482.5260393073893,-0.9150475763909308,-0.9480415011899697,-0.8975354634392447,-1.1781858359530195,-1.0687405868144166,-4.753424308822899,-4.514881946670614,0.8485757482130407,0.8608291378211035,0.9359977141656882
ET0101,2012,3,178.59151034201346,0.1758898684094029,4.913718985494218,-173.67779135651924,0.1758898684094029,-173.67779135651924,0.18969597851717332,-464.55746861347126,0.21939645683573136,-843.4794842820776,0.21920218806894073,-806.1173361635997,0.22610208466999548,-1494.794591751472,-0.796334252590826,-0.9699645115642651,-0.9068401964238176,-1.1717654266235877,-1.000135358341692,0.5388016623202976,-4.747309902543173,-4.127301433636649,0.8796041718002491,0.8487778189084895
ET0101,2012,4,178.7726531490203,0.163080318680694,15.154144952158177,-163.61850819686214,0.163080318680694,-163.61850819686214,0.17627493031723515,-503.87508551494756,0.19957366731939133,-873.0860411492072,0.21950836548761973,-806.9893064438913,0.22646958990302934,-1518.9868062076066,-0.891802813379587,-0.9366417283662498,-0.975239243716398,-1.174528920356941,-0.9719311373642732,0.6897446879390764,-4.753424308822899,0.043765899260361014,0.7940368531376402,0.8973433183311377
ET0101,2012,5,164.54976334110384,0.1617470399867142,39.70522849554634,-124.84453484555749,0.1617470399867142,-124.84453484555749,0.16690574235893693,-462.140834398939,0.1857172004297696,-882.6841353014138,0.21961155327998338,-853.3075694267399,0.22680273796531858,-1521.0468649730153,-0.8083671971030838,-0.8881462890493955,-0.9998268014759681,-1.203263311715042,-0.9454897066682967,0.8795277264098316,0.793435415570946,0.4290540975445312,0.7811844841281617,0.9135129370212263
ET0101,2012,6,133.60435116675592,0.1967698630065687,177.52037070997332,43.9160195432174,0.1967698630065687,43.9160195432174,0.1738657405579922,-244.54702349920228,0.18178085953758286,-709.1044921126736,0.22154033788409763,-768.7360313872875,0.22769813832416322,-1494.2731599296292,0.12235799013784823,-0.4469987242568318,-0.7179234252561265,-1.1191625630088267,-0.8916855307702304,0.838196526419345,0.8817572354213914,0.9130289303722122,0.8642270413196687,0.8803654358682491
ET0101,2012,7,101.83820472225068,0.3112773167029504,275.27867108235864,173.44046636010796,0.3112773167029504,173.44046636010796,0.22326473989874432,92.51195105776782,0.19976983510798982,-411.3631344571799,0.2303839300318511,-743.1875439676694,0.23014145992415883,-1482.6597698942796,1.463306025109192,0.5197991251792461,-0.0031172336575781842,-0.7008395083190175,-0.7862806284026825,0.5666393167418275,1.1143410724090828,0.947767469216947,0.8491675495756279,0.893342106170518
ET0101,2012,8,107.04588250190982,0.3587467160917097,313.0713741830822,206.02549168117235,0.3587467160917097,206.02549168117235,0.2889312986004095,423.3819775844977,0.22791852047967334,-38.75885681444137,0.23642738519476783,-686.8000921906369,0.23066775871300563,-1453.4030053664746,1.3457674634109975,0.9367654125134847,0.34457490102051164,-0.3850007189748908,-0.7545319871943799,0.8341010541955102,1.1308763296465596,1.06045842778858,0.9594394282809677,0.9578258068778934
ET0101,2012,9,121.77573450150028,0.3550505344906161,131.2430374982805,9.46730299678022,0.3550505344906161,9.46730299678022,0.3416915224284253,388.93326103806044,0.25777863149320884,144.3862375388581,0.23858754416447012,-699.093246743219,0.23060996650207424,-1449.2622616279261,0.9063514776282088,1.5782706544372107,0.5680610623818213,-0.2686588793065091,-0.7562378283313632,0.9198151197428754,0.8596995286044373,1.0349578181241168,0.914958840994527,0.842948750105561
ET0101,2012,10,151.8104929770193,0.2998855301449376,23.616784484546077,-128.1937084924732,0.2998855301449376,-128.1937084924732,0.33789426024242103,87.2990861854793,0.2805795000705828,179.81103724324703,0.24007658369498705,-693.2750039059597,0.23047384466495244,-1457.2270612084467,0.13673750618085667,0.7301507963186306,0.5563701223650812,-0.183544937373869,-0.7471275732704916,0.7573329879296501,1.015239585239395,1.0260025774975814,0.9479203067911793,1.0172661453700464
ET0101,2012,11,115.3911535201534,0.2683616460811707,21.95509589902783,-93.43605762112557,0.2683616460811707,-93.43605762112557,0.3077659035722413,-212.16246311681863,0.2983486010863255,211.21951446767898,0.2420329007580476,-671.4646208337343,0.23098368602754762,-1419.7725671848668,0.27352713710233095,0.26479322709074166,0.7671000368305215,-0.06662220532612953,-0.6703903760489456,1.2494040604335792,0.9440733264252931,0.930404208504816,1.023019801176723,0.9775679457682812
