year,month,exchange_rate,exchange_rate_lag1,exchange_rate_lag3,exchange_rate_lag6,exchange_rate_lag12,exchange_rate_yoy_change,exchange_rate_yoy_change_lag1,exchange_rate_yoy_change_lag3,exchange_rate_yoy_change_lag6,exchange_rate_yoy_change_lag12
2023,3,54.4027,53.7445,53.3387,52.5893,50.9867,0.06699786414888598,0.04839700761750576,0.08426096077538547,0.14074840512183107,0.23405177108419162
2023,4,54.1696,54.4027,53.4716,53.364,51.8573,0.04458967204231623,0.06699786414888598,0.07376356220995506,0.13015265235586115,0.2363932440680554
2023,5,54.3041,54.1696,53.7445,53.4421,51.5678,0.05306218221448278,0.04458967204231623,0.04839700761750576,0.11618848307507879,0.18269887940406138
2023,6,55.0038,54.3041,54.4027,53.3387,51.9938,0.05789151783481872,0.05306218221448278,0.06699786414888598,0.08426096077538547,0.19003456089354787
2023,7,54.7611,55.0038,54.1696,53.4716,52.6182,0.04072545241000247,0.05789151783481872,0.04458967204231623,0.07376356220995506,0.18764642949039145
2023,8,55.0944,54.7611,54.3041,53.7445,52.4617,0.05018327656175847,0.04072545241000247,0.05306218221448278,0.04839700761750576,0.15344295743216652
2023,9,55.7224,55.0944,55.0038,54.4027,52.5893,0.059576758009709074,0.05018327656175847,0.05789151783481872,0.06699786414888598,0.14074840512183107
2023,10,55.4947,55.7224,54.7611,54.1696,53.364,0.039927666591709876,0.059576758009709074,0.04072545241000247,0.04458967204231623,0.13015265235586115
2023,11,56.1709,55.4947,55.0944,54.3041,53.4421,0.051060867742847016,0.039927666591709876,0.05018327656175847,0.05306218221448278,0.11618848307507879
2023,12,55.9969,56.1709,55.7224,55.0038,53.3387,0.04983623522882996,0.051060867742847016,0.059576758009709074,0.05789151783481872,0.08426096077538547
2024,1,56.5959,55.9969,55.4947,54.7611,53.4716,0.058429147435274054,0.04983623522882996,0.039927666591709876,0.04072545241000247,0.07376356220995506
2024,2,56.4624,56.5959,56.1709,55.0944,53.7445,0.05057075607736605,0.058429147435274054,0.051060867742847016,0.05018327656175847,0.04839700761750576
2024,3,56.6236,56.4624,55.9969,55.7224,54.4027,0.04082334148856592,0.05057075607736605,0.04983623522882996,0.059576758009709074,0.06699786414888598
2024,4,57.4048,56.6236,56.5959,55.4947,54.1696,0.05972353497164451,0.04082334148856592,0.058429147435274054,0.039927666591709876,0.04458967204231623
2024,5,57.0504,57.4048,56.4624,56.1709,54.3041,0.050572608698054244,0.05972353497164451,0.05057075607736605,0.051060867742847016,0.05306218221448278
2024,6,57.3265,57.0504,56.6236,55.9969,55.0038,0.04222799152058587,0.050572608698054244,0.04082334148856592,0.04983623522882996,0.05789151783481872
2024,7,79.7596,57.3265,57.4048,56.5959,54.7611,0.45650105640682903,0.04222799152058587,0.05972353497164451,0.058429147435274054,0.04072545241000247
2024,8,111.0682,79.7596,57.0504,56.4624,55.0944,1.015961694836499,0.45650105640682903,0.050572608698054244,0.05057075607736605,0.05018327656175847
2024,9,115.9662,111.0682,57.3265,56.6236,55.7224,1.0811415157997502,1.015961694836499,0.04222799152058587,0.04082334148856592,0.059576758009709074
2024,10,120.1004,115.9662,79.7596,57.4048,55.4947,1.164177840406381,1.0811415157997502,0.45650105640682903,0.05972353497164451,0.039927666591709876
2024,11,124.1839,120.1004,111.0682,57.0504,56.1709,1.2108226857678974,1.164177840406381,1.015961694836499,0.050572608698054244,0.051060867742847016
2024,12,125.0975,124.1839,115.9662,57.3265,55.9969,1.2340075968491115,1.2108226857678974,1.0811415157997502,0.04222799152058587,0.04983623522882996
2025,1,127.9169,125.0975,120.1004,79.7596,56.5959,1.260179624319076,1.2340075968491115,1.164177840406381,0.45650105640682903,0.058429147435274054
2025,2,128.7308,127.9169,124.1839,111.0682,56.4624,1.2799385077502903,1.260179624319076,1.2108226857678974,1.015961694836499,0.05057075607736605
