pcode,year,month,ndvi_cropland,ndvi_cropland_anomaly,ndvi_cropland_lag1,ndvi_cropland_lag3,ndvi_cropland_lag6,ndvi_cropland_lag12,ndvi_cropland_anomaly_lag1,ndvi_cropland_anomaly_lag3,ndvi_cropland_anomaly_lag6,ndvi_cropland_anomaly_lag12
ET0101,2009,1,0.1743471473455429,0.005199878730557217,0.2107007056474685,0.3388989269733429,0.246486634016037,0.1824132949113845,0.014421675692905062,0.008332400159402342,0.026223843070593778,0.013266026296398808
ET0101,2009,2,0.1492065191268921,0.0012463571673090312,0.1743471473455429,0.267606258392334,0.3355259895324707,0.1624026596546173,0.005199878730557217,0.017994562333280423,0.01465112106366595,0.014442497695034251
ET0101,2009,3,0.1392391324043274,0.007684452289884791,0.1492065191268921,0.2107007056474685,0.3825789093971252,0.1505241841077804,0.0012463571673090312,0.014421675692905062,0.005673894828016057,0.0189695039933378
ET0101,2009,4,0.1365494579076767,0.019921262704190798,0.1392391324043274,0.1743471473455429,0.3388989269733429,0.1373661458492279,0.007684452289884791,0.005199878730557217,0.008332400159402342,0.020737950645742007
ET0101,2009,5,0.1183444857597351,0.005089851717154217,0.1365494579076767,0.1492065191268921,0.267606258392334,0.1315628588199615,0.019921262704190798,0.0012463571673090312,0.017994562333280423,0.018308224777380616
ET0101,2009,6,0.1271392405033111,-0.016377055509523925,0.1183444857597351,0.1392391324043274,0.2107007056474685,0.1616204977035522,0.005089851717154217,0.007684452289884791,0.014421675692905062,0.018104201690717164
ET0101,2009,7,0.2138771265745163,-0.006385664370926913,0.1271392405033111,0.1365494579076767,0.1743471473455429,0.246486634016037,-0.016377055509523925,0.019921262704190798,0.005199878730557217,0.026223843070593778
ET0101,2009,8,0.3317802250385284,0.010905356569723634,0.2138771265745163,0.1183444857597351,0.1492065191268921,0.3355259895324707,-0.006385664370926913,0.005089851717154217,0.0012463571673090312,0.01465112106366595
ET0101,2009,9,0.3597244620323181,-0.017180552536791016,0.3317802250385284,0.1271392405033111,0.1392391324043274,0.3825789093971252,0.010905356569723634,-0.016377055509523925,0.007684452289884791,0.005673894828016057
ET0101,2009,10,0.2948150336742401,-0.03575149313970044,0.3597244620323181,0.2138771265745163,0.1365494579076767,0.3388989269733429,-0.017180552536791016,-0.006385664370926913,0.019921262704190798,0.008332400159402342
ET0101,2009,11,0.2185827642679214,-0.03102893179113217,0.2948150336742401,0.3317802250385284,0.1183444857597351,0.267606258392334,-0.03575149313970044,0.010905356569723634,0.005089851717154217,0.017994562333280423
ET0101,2009,12,0.1745070964097976,-0.021771933544765837,0.2185827642679214,0.3597244620323181,0.1271392405033111,0.2107007056474685,-0.03102893179113217,-0.017180552536791016,-0.016377055509523925,0.014421675692905062
ET0101,2010,1,0.1433678269386291,-0.025779441676356596,0.1745070964097976,0.2948150336742401,0.2138771265745163,0.1743471473455429,-0.021771933544765837,-0.03575149313970044,-0.006385664370926913,0.005199878730557217
ET0101,2010,2,0.1236843988299369,-0.02427576312964616,0.1433678269386291,0.2185827642679214,0.3317802250385284,0.1492065191268921,-0.025779441676356596,-0.03102893179113217,0.010905356569723634,0.0012463571673090312
ET0101,2010,3,0.1101862043142318,-0.0213684758002108,0.1236843988299369,0.1745070964097976,0.3597244620323181,0.1392391324043274,-0.02427576312964616,-0.021771933544765837,-0.017180552536791016,0.007684452289884791
ET0101,2010,4,0.1010597050189971,-0.015568490184488804,0.1101862043142318,0.1433678269386291,0.2948150336742401,0.1365494579076767,-0.0213684758002108,-0.025779441676356596,-0.03575149313970044,0.019921262704190798
ET0101,2010,5,0.0974244326353073,-0.015830201407273578,0.1010597050189971,0.1236843988299369,0.2185827642679214,0.1183444857597351,-0.015568490184488804,-0.02427576312964616,-0.03102893179113217,0.005089851717154217
ET0101,2010,6,0.1223064810037612,-0.021209815009073832,0.0974244326353073,0.1101862043142318,0.1745070964097976,0.1271392405033111,-0.015830201407273578,-0.0213684758002108,-0.021771933544765837,-0.016377055509523925
ET0101,2010,7,0.1920048594474792,-0.028257931497964017,0.1223064810037612,0.1010597050189971,0.1433678269386291,0.2138771265745163,-0.021209815009073832,-0.015568490184488804,-0.025779441676356596,-0.006385664370926913
ET0101,2010,8,0.2947913408279419,-0.026083527640862858,0.1920048594474792,0.0974244326353073,0.1236843988299369,0.3317802250385284,-0.028257931497964017,-0.015830201407273578,-0.02427576312964616,0.010905356569723634
ET0101,2010,9,0.3735764026641845,-0.0033286119049246166,0.2947913408279419,0.1223064810037612,0.1101862043142318,0.3597244620323181,-0.026083527640862858,-0.021209815009073832,-0.0213684758002108,-0.017180552536791016
ET0101,2010,10,0.3366797566413879,0.006113229827447331,0.3735764026641845,0.1920048594474792,0.1010597050189971,0.2948150336742401,-0.0033286119049246166,-0.028257931497964017,-0.015568490184488804,-0.03575149313970044
ET0101,2010,11,0.2494305968284607,-0.00018109923059286825,0.3366797566413879,0.2947913408279419,0.0974244326353073,0.2185827642679214,0.006113229827447331,-0.026083527640862858,-0.015830201407273578,-0.03102893179113217
ET0101,2010,12,0.1956157684326172,-0.0006632615219462623,0.2494305968284607,0.3735764026641845,0.1223064810037612,0.1745070964097976,-0.00018109923059286825,-0.0033286119049246166,-0.021209815009073832,-0.021771933544765837
ET0101,2011,1,0.1712720990180969,0.0021248304031112053,0.1956157684326172,0.3366797566413879,0.1920048594474792,0.1433678269386291,-0.0006632615219462623,0.006113229827447331,-0.028257931497964017,-0.025779441676356596
ET0101,2011,2,0.1538744121789932,0.005914250219410139,0.1712720990180969,0.2494305968284607,0.2947913408279419,0.1236843988299369,0.0021248304031112053,-0.00018109923059286825,-0.026083527640862858,-0.02427576312964616
ET0101,2011,3,0.1338666975498199,0.0023120174353772893,0.1538744121789932,0.1956157684326172,0.3735764026641845,0.1101862043142318,0.005914250219410139,-0.0006632615219462623,-0.0033286119049246166,-0.0213684758002108
ET0101,2011,4,0.1220128163695335,0.0053846211660475984,0.1338666975498199,0.1712720990180969,0.3366797566413879,0.1010597050189971,0.0023120174353772893,0.0021248304031112053,0.006113229827447331,-0.015568490184488804
ET0101,2011,5,0.1229812279343605,0.009726593891779628,0.1220128163695335,0.1538744121789932,0.2494305968284607,0.0974244326353073,0.0053846211660475984,0.005914250219410139,-0.00018109923059286825,-0.015830201407273578
ET0101,2011,6,0.1545411646366119,0.011024868623776884,0.1229812279343605,0.1338666975498199,0.1956157684326172,0.1223064810037612,0.009726593891779628,0.0023120174353772893,-0.0006632615219462623,-0.021209815009073832
ET0101,2011,7,0.1936933398246765,-0.026569451120766696,0.1545411646366119,0.1220128163695335,0.1712720990180969,0.1920048594474792,0.011024868623776884,0.0053846211660475984,0.0021248304031112053,-0.028257931497964017
ET0101,2011,8,0.2630735039710998,-0.057801364497704955,0.1936933398246765,0.1229812279343605,0.1538744121789932,0.2947913408279419,-0.026569451120766696,0.009726593891779628,0.005914250219410139,-0.026083527640862858
ET0101,2011,9,0.3362039625644684,-0.04070105200464075,0.2630735039710998,0.1545411646366119,0.1338666975498199,0.3735764026641845,-0.057801364497704955,0.011024868623776884,0.0023120174353772893,-0.0033286119049246166
ET0101,2011,10,0.2990363240242004,-0.03153020278974017,0.3362039625644684,0.1936933398246765,0.1220128163695335,0.3366797566413879,-0.04070105200464075,-0.026569451120766696,0.0053846211660475984,0.006113229827447331
ET0101,2011,11,0.2216350436210632,-0.027976652437990357,0.2990363240242004,0.2630735039710998,0.1229812279343605,0.2494305968284607,-0.03153020278974017,-0.057801364497704955,0.009726593891779628,-0.00018109923059286825
ET0101,2011,12,0.183800458908081,-0.01247857104648245,0.2216350436210632,0.3362039625644684,0.1545411646366119,0.1956157684326172,-0.027976652437990357,-0.04070105200464075,0.011024868623776884,-0.0006632615219462623
ET0101,2012,1,0.1622800827026367,-0.006867185912349,0.183800458908081,0.2990363240242004,0.1936933398246765,0.1712720990180969,-0.01247857104648245,-0.03153020278974017,-0.026569451120766696,0.0021248304031112053
ET0101,2012,2,0.1469635218381881,-0.0009966401213949705,0.1622800827026367,0.2216350436210632,0.2630735039710998,0.1538744121789932,-0.006867185912349,-0.027976652437990357,-0.057801364497704955,0.005914250219410139
ET0101,2012,3,0.129995658993721,-0.0015590211207215932,0.1469635218381881,0.183800458908081,0.3362039625644684,0.1338666975498199,-0.0009966401213949705,-0.01247857104648245,-0.04070105200464075,0.0023120174353772893
ET0101,2012,4,0.1139221265912056,-0.002706068612280302,0.129995658993721,0.1622800827026367,0.2990363240242004,0.1220128163695335,-0.0015590211207215932,-0.006867185912349,-0.03153020278974017,0.0053846211660475984
ET0101,2012,5,0.0985984355211258,-0.014656198521455083,0.1139221265912056,0.1469635218381881,0.2216350436210632,0.1229812279343605,-0.002706068612280302,-0.0009966401213949705,-0.027976652437990357,0.009726593891779628
ET0101,2012,6,0.1229806393384933,-0.02053565667434172,0.0985984355211258,0.129995658993721,0.183800458908081,0.1545411646366119,-0.014656198521455083,-0.0015590211207215932,-0.01247857104648245,0.011024868623776884
ET0101,2012,7,0.2136179357767105,-0.0066448551687326995,0.1229806393384933,0.1139221265912056,0.1622800827026367,0.1936933398246765,-0.02053565667434172,-0.002706068612280302,-0.006867185912349,-0.026569451120766696
ET0101,2012,8,0.328649491071701,0.007774622602896242,0.2136179357767105,0.0985984355211258,0.1469635218381881,0.2630735039710998,-0.0066448551687326995,-0.014656198521455083,-0.0009966401213949705,-0.057801364497704955
ET0101,2012,9,0.3798539340496063,0.002948919480497192,0.328649491071701,0.1229806393384933,0.129995658993721,0.3362039625644684,0.007774622602896242,-0.02053565667434172,-0.0015590211207215932,-0.04070105200464075
ET0101,2012,10,0.3171741068363189,-0.013392419977621639,0.3798539340496063,0.2136179357767105,0.1139221265912056,0.2990363240242004,0.002948919480497192,-0.0066448551687326995,-0.002706068612280302,-0.03153020278974017
ET0101,2012,11,0.2263715863227844,-0.023240109736269166,0.3171741068363189,0.328649491071701,0.0985984355211258,0.2216350436210632,-0.013392419977621639,0.007774622602896242,-0.014656198521455083,-0.027976652437990357
ET0101,2012,12,0.1817803829908371,-0.014498646963726353,0.2263715863227844,0.3798539340496063,0.1229806393384933,0.183800458908081,-0.023240109736269166,0.002948919480497192,-0.02053565667434172,-0.01247857104648245
ET0101,2013,1,0.1524373739957809,-0.0167098946192048,0.1817803829908371,0.3171741068363189,0.2136179357767105,0.1622800827026367,-0.014498646963726353,-0.013392419977621639,-0.0066448551687326995,-0.006867185912349
ET0101,2013,2,0.1354271173477172,-0.012533044611865857,0.1524373739957809,0.2263715863227844,0.328649491071701,0.1469635218381881,-0.0167098946192048,-0.023240109736269166,0.007774622602896242,-0.0009966401213949705
ET0101,2013,3,0.1208047717809677,-0.010749908333474903,0.1354271173477172,0.1817803829908371,0.3798539340496063,0.129995658993721,-0.012533044611865857,-0.014498646963726353,0.002948919480497192,-0.0015590211207215932
ET0101,2013,4,0.1077756434679031,-0.008852551735582803,0.1208047717809677,0.1524373739957809,0.3171741068363189,0.1139221265912056,-0.010749908333474903,-0.0167098946192048,-0.013392419977621639,-0.002706068612280302
ET0101,2013,5,0.0971787795424461,-0.01607585450013478,0.1077756434679031,0.1354271173477172,0.2263715863227844,0.0985984355211258,-0.008852551735582803,-0.012533044611865857,-0.023240109736269166,-0.014656198521455083
ET0101,2013,6,0.1096572875976562,-0.03385900841517883,0.0971787795424461,0.1208047717809677,0.1817803829908371,0.1229806393384933,-0.01607585450013478,-0.010749908333474903,-0.014498646963726353,-0.02053565667434172
ET0101,2013,7,0.1722674518823623,-0.0479953390630809,0.1096572875976562,0.1077756434679031,0.1524373739957809,0.2136179357767105,-0.03385900841517883,-0.008852551735582803,-0.0167098946192048,-0.0066448551687326995
ET0101,2013,8,0.2892458140850067,-0.03162905438379804,0.1722674518823623,0.0971787795424461,0.1354271173477172,0.328649491071701,-0.0479953390630809,-0.01607585450013478,-0.012533044611865857,0.007774622602896242
ET0101,2013,9,0.3668519854545593,-0.010053029114549805,0.2892458140850067,0.1096572875976562,0.1208047717809677,0.3798539340496063,-0.03162905438379804,-0.03385900841517883,-0.010749908333474903,0.002948919480497192
ET0101,2013,10,0.3276193737983703,-0.0029471530155702474,0.3668519854545593,0.1722674518823623,0.1077756434679031,0.3171741068363189,-0.010053029114549805,-0.0479953390630809,-0.008852551735582803,-0.013392419977621639
ET0101,2013,11,0.2542713582515716,0.004659662192518038,0.3276193737983703,0.2892458140850067,0.0971787795424461,0.2263715863227844,-0.0029471530155702474,-0.03162905438379804,-0.01607585450013478,-0.023240109736269166
ET0101,2013,12,0.1910912096500396,-0.00518782030452386,0.2542713582515716,0.3668519854545593,0.1096572875976562,0.1817803829908371,0.004659662192518038,-0.010053029114549805,-0.03385900841517883,-0.014498646963726353
ET0101,2014,1,0.157933160662651,-0.011214107952334684,0.1910912096500396,0.3276193737983703,0.1722674518823623,0.1524373739957809,-0.00518782030452386,-0.0029471530155702474,-0.0479953390630809,-0.0167098946192048
ET0101,2014,2,0.1432434767484665,-0.004716685211116567,0.157933160662651,0.2542713582515716,0.2892458140850067,0.1354271173477172,-0.011214107952334684,0.004659662192518038,-0.03162905438379804,-0.012533044611865857
ET0101,2014,3,0.1279983222484588,-0.0035563578659837947,0.1432434767484665,0.1910912096500396,0.3668519854545593,0.1208047717809677,-0.004716685211116567,-0.00518782030452386,-0.010053029114549805,-0.010749908333474903
ET0101,2014,4,0.1152856349945068,-0.0013425602089791044,0.1279983222484588,0.157933160662651,0.3276193737983703,0.1077756434679031,-0.0035563578659837947,-0.011214107952334684,-0.0029471530155702474,-0.008852551735582803
ET0101,2014,5,0.1138009577989578,0.0005463237563769208,0.1152856349945068,0.1432434767484665,0.2542713582515716,0.0971787795424461,-0.0013425602089791044,-0.004716685211116567,0.004659662192518038,-0.01607585450013478
ET0101,2014,6,0.1418357491493225,-0.0016805468635125165,0.1138009577989578,0.1279983222484588,0.1910912096500396,0.1096572875976562,0.0005463237563769208,-0.0035563578659837947,-0.00518782030452386,-0.03385900841517883
ET0101,2014,7,0.2230664193630218,0.0028036284175785853,0.1418357491493225,0.1152856349945068,0.157933160662651,0.1722674518823623,-0.0016805468635125165,-0.0013425602089791044,-0.011214107952334684,-0.0479953390630809
ET0101,2014,8,0.3147185742855072,-0.00615629418329755,0.2230664193630218,0.1138009577989578,0.1432434767484665,0.2892458140850067,0.0028036284175785853,0.0005463237563769208,-0.004716685211116567,-0.03162905438379804
ET0101,2014,9,0.3796085715293884,0.0027035569602792964,0.3147185742855072,0.1418357491493225,0.1279983222484588,0.3668519854545593,-0.00615629418329755,-0.0016805468635125165,-0.0035563578659837947,-0.010053029114549805
ET0101,2014,10,0.3555869460105896,0.025020419196649046,0.3796085715293884,0.2230664193630218,0.1152856349945068,0.3276193737983703,0.0027035569602792964,0.0028036284175785853,-0.0013425602089791044,-0.0029471530155702474
ET0101,2014,11,0.2783288359642029,0.02871713990514932,0.3555869460105896,0.3147185742855072,0.1138009577989578,0.2542713582515716,0.025020419196649046,-0.00615629418329755,0.0005463237563769208,0.004659662192518038
ET0101,2014,12,0.2086256444454193,0.012346614490855862,0.2783288359642029,0.3796085715293884,0.1418357491493225,0.1910912096500396,0.02871713990514932,0.0027035569602792964,-0.0016805468635125165,-0.00518782030452386
ET0101,2015,1,0.1710500568151474,0.0019027882001617091,0.2086256444454193,0.3555869460105896,0.2230664193630218,0.157933160662651,0.012346614490855862,0.025020419196649046,0.0028036284175785853,-0.011214107952334684
ET0101,2015,2,0.1506330072879791,0.0026728453283960396,0.1710500568151474,0.2783288359642029,0.3147185742855072,0.1432434767484665,0.0019027882001617091,0.02871713990514932,-0.00615629418329755,-0.004716685211116567
ET0101,2015,3,0.1295283138751983,-0.0020263662392442927,0.1506330072879791,0.2086256444454193,0.3796085715293884,0.1279983222484588,0.0026728453283960396,0.012346614490855862,0.0027035569602792964,-0.0035563578659837947
ET0101,2015,4,0.1158979684114456,-0.000730226792040295,0.1295283138751983,0.1710500568151474,0.3555869460105896,0.1152856349945068,-0.0020263662392442927,0.0019027882001617091,0.025020419196649046,-0.0013425602089791044
ET0101,2015,5,0.1123227700591087,-0.0009318639834721698,0.1158979684114456,0.1506330072879791,0.2783288359642029,0.1138009577989578,-0.000730226792040295,0.0026728453283960396,0.02871713990514932,0.0005463237563769208
ET0101,2015,6,0.1356270611286163,-0.007889234884218721,0.1123227700591087,0.1295283138751983,0.2086256444454193,0.1418357491493225,-0.0009318639834721698,-0.0020263662392442927,0.012346614490855862,-0.0016805468635125165
ET0101,2015,7,0.1989492028951645,-0.02131358805027872,0.1356270611286163,0.1158979684114456,0.1710500568151474,0.2230664193630218,-0.007889234884218721,-0.000730226792040295,0.0019027882001617091,0.0028036284175785853
ET0101,2015,8,0.2971841096878052,-0.023690758780999577,0.1989492028951645,0.1123227700591087,0.1506330072879791,0.3147185742855072,-0.02131358805027872,-0.0009318639834721698,0.0026728453283960396,-0.00615629418329755
ET0101,2015,9,0.3508016467094421,-0.026103367859667048,0.2971841096878052,0.1356270611286163,0.1295283138751983,0.3796085715293884,-0.023690758780999577,-0.007889234884218721,-0.0020263662392442927,0.0027035569602792964
ET0101,2015,10,0.3014163672924042,-0.02915015952153638,0.3508016467094421,0.1989492028951645,0.1158979684114456,0.3555869460105896,-0.026103367859667048,-0.02131358805027872,-0.000730226792040295,0.025020419196649046
ET0101,2015,11,0.2213075757026672,-0.028304120356386353,0.3014163672924042,0.2971841096878052,0.1123227700591087,0.2783288359642029,-0.02915015952153638,-0.023690758780999577,-0.0009318639834721698,0.02871713990514932
ET0101,2015,12,0.1690684109926223,-0.027210618961941158,0.2213075757026672,0.3508016467094421,0.1356270611286163,0.2086256444454193,-0.028304120356386353,-0.026103367859667048,-0.007889234884218721,0.012346614490855862
ET0101,2016,1,0.1471146345138549,-0.022032634101130794,0.1690684109926223,0.3014163672924042,0.1989492028951645,0.1710500568151474,-0.027210618961941158,-0.02915015952153638,-0.02131358805027872,0.0019027882001617091
ET0101,2016,2,0.1321412175893783,-0.015818944370204757,0.1471146345138549,0.2213075757026672,0.2971841096878052,0.1506330072879791,-0.022032634101130794,-0.028304120356386353,-0.023690758780999577,0.0026728453283960396
ET0101,2016,3,0.1154745742678642,-0.016080105846578402,0.1321412175893783,0.1690684109926223,0.3508016467094421,0.1295283138751983,-0.015818944370204757,-0.027210618961941158,-0.026103367859667048,-0.0020263662392442927
ET0101,2016,4,0.0994758605957031,-0.0171523346077828,0.1154745742678642,0.1471146345138549,0.3014163672924042,0.1158979684114456,-0.016080105846578402,-0.022032634101130794,-0.02915015952153638,-0.000730226792040295
ET0101,2016,5,0.095358058810234,-0.017896575232346876,0.0994758605957031,0.1321412175893783,0.2213075757026672,0.1123227700591087,-0.0171523346077828,-0.015818944370204757,-0.028304120356386353,-0.0009318639834721698
ET0101,2016,6,0.115588366985321,-0.027927929027514023,0.095358058810234,0.1154745742678642,0.1690684109926223,0.1356270611286163,-0.017896575232346876,-0.016080105846578402,-0.027210618961941158,-0.007889234884218721
ET0101,2016,7,0.1707520633935928,-0.0495107275518504,0.115588366985321,0.0994758605957031,0.1471146345138549,0.1989492028951645,-0.027927929027514023,-0.0171523346077828,-0.022032634101130794,-0.02131358805027872
ET0101,2016,8,0.2878924608230591,-0.03298240764574567,0.1707520633935928,0.095358058810234,0.1321412175893783,0.2971841096878052,-0.0495107275518504,-0.017896575232346876,-0.015818944370204757,-0.023690758780999577
ET0101,2016,9,0.3609302639961242,-0.01597475057298492,0.2878924608230591,0.115588366985321,0.1154745742678642,0.3508016467094421,-0.03298240764574567,-0.027927929027514023,-0.016080105846578402,-0.026103367859667048
ET0101,2016,10,0.3175652623176574,-0.013001264496283138,0.3609302639961242,0.1707520633935928,0.0994758605957031,0.3014163672924042,-0.01597475057298492,-0.0495107275518504,-0.0171523346077828,-0.02915015952153638
ET0101,2016,11,0.2363556325435638,-0.013256063515489774,0.3175652623176574,0.2878924608230591,0.095358058810234,0.2213075757026672,-0.013001264496283138,-0.03298240764574567,-0.017896575232346876,-0.028304120356386353
ET0101,2016,12,0.1852655112743377,-0.011013518680225737,0.2363556325435638,0.3609302639961242,0.115588366985321,0.1690684109926223,-0.013256063515489774,-0.01597475057298492,-0.027927929027514023,-0.027210618961941158
ET0101,2017,1,0.1545192897319793,-0.014627978883006404,0.1852655112743377,0.3175652623176574,0.1707520633935928,0.1471146345138549,-0.011013518680225737,-0.013001264496283138,-0.0495107275518504,-0.022032634101130794
ET0101,2017,2,0.1353181302547454,-0.012642031704837658,0.1545192897319793,0.2363556325435638,0.2878924608230591,0.1321412175893783,-0.014627978883006404,-0.013256063515489774,-0.03298240764574567,-0.015818944370204757
ET0101,2017,3,0.1195084452629089,-0.012046234851533708,0.1353181302547454,0.1852655112743377,0.3609302639961242,0.1154745742678642,-0.012642031704837658,-0.011013518680225737,-0.01597475057298492,-0.016080105846578402
ET0101,2017,4,0.1078585982322692,-0.008769596971216695,0.1195084452629089,0.1545192897319793,0.3175652623176574,0.0994758605957031,-0.012046234851533708,-0.014627978883006404,-0.013001264496283138,-0.0171523346077828
ET0101,2017,5,0.1171855106949806,0.003930876652399717,0.1078585982322692,0.1353181302547454,0.2363556325435638,0.095358058810234,-0.008769596971216695,-0.012642031704837658,-0.013256063515489774,-0.017896575232346876
ET0101,2017,6,0.1610449999570846,0.017528703944249574,0.1171855106949806,0.1195084452629089,0.1852655112743377,0.115588366985321,0.003930876652399717,-0.012046234851533708,-0.011013518680225737,-0.027927929027514023
ET0101,2017,7,0.2317419350147247,0.011479144069281494,0.1610449999570846,0.1078585982322692,0.1545192897319793,0.1707520633935928,0.017528703944249574,-0.008769596971216695,-0.014627978883006404,-0.0495107275518504
