subject,k_pct,k_n,baseline_f1,top_f1,top_degradation,bottom_f1,bottom_degradation
Ensemble,10,33,0.7104418047118146,0.7083399068697381,0.0021018978420764833,0.7101457060781201,0.0002960986336945399
Ensemble,25,82,0.7104418047118146,0.6928923312819945,0.017549473429820113,0.7129138357994381,-0.002472031087623553
Ensemble,50,163,0.7104418047118146,0.6878387659581169,0.022603038753697718,0.7084576491746873,0.0019841555371273223
RandomForest,10,22,0.7080645696000938,0.6955849851237216,0.012479584476372254,0.7080645696000938,0.0
RandomForest,25,54,0.7080645696000938,0.6951643366528566,0.012900232947237205,0.7080645696000938,0.0
RandomForest,50,108,0.7080645696000938,0.6948605703739898,0.013203999226104015,0.7074195094750028,0.0006450601250910079
XGBoost,10,22,0.7022231461276903,0.5454534400535962,0.15676970607409416,0.7022231461276903,0.0
XGBoost,25,54,0.7022231461276903,0.5569418216909111,0.14528132443677919,0.7022231461276903,0.0
XGBoost,50,108,0.7022231461276903,0.5643950685555871,0.13782807757210316,0.7008256772206432,0.0013974689070471089
