country,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,0,840,0.32495385190261256,0.46674408190345396,0.7030287223977747,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,1,840,0.3106716193897296,0.4640783535769543,0.7064112358832022,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,2,840,0.31409141878381924,0.4818366058557656,0.6835126257718107,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,3,840,0.3578048236436659,0.514311954017565,0.6394130172148594,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,4,840,0.374196246814571,0.5822579365851647,0.5378450155992911,0.34008991409813094,0.564728702697583,0.565253063341284,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,8,840,0.40995366980521175,0.6212891601280126,0.47380785566499317,0.34927543789656423,0.6093039807374865,0.4939134000272799,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,12,840,0.3827832201187355,0.5876007750911437,0.5293245707810006,0.4064084311590049,0.6816052427299416,0.3666808038656916,0.3744003635031203,0.6127281002890081,0.48820928422147336
Kenya,0,431,0.18433466758611727,0.3128578594514099,0.7720762735039712,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,1,431,0.19638393744214913,0.32459295665185045,0.7546570508499031,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,2,431,0.16825114007889747,0.3056188571475041,0.7825017872988329,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,3,431,0.1845395522019902,0.32381773021761884,0.7558275581727903,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,4,431,0.2142501662708918,0.3547678608048109,0.7069215160934023,0.21420119081364214,0.4179937030167103,0.593149479160962,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,8,431,0.23207699935908516,0.37924124534183007,0.6650912256876058,0.24367502065790586,0.4469299233407327,0.5348700940767845,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,12,431,0.21377117085303257,0.35311160682616505,0.7096516355365072,0.2534926665131604,0.48687012591086387,0.44802214770505744,0.2212525354249407,0.3711684761071764,0.6791976319549726
Somalia,0,672,0.42348613048917116,0.5118443900194518,0.40148644843841363,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,1,672,0.3869994817663572,0.47644692579172915,0.4814064021388892,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,2,672,0.38935852146361566,0.495621684057907,0.4388245145126294,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,3,672,0.36673052469233386,0.45879717554174043,0.5191168452003634,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,4,672,0.36935675741872903,0.4721530083248685,0.49071179848148694,0.5558307100825854,0.7639899715223955,-0.3334397845808901,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,8,672,0.44468134119023944,0.562552197101772,0.2770242286512177,0.5828591957140674,0.7873610357620282,-0.41626959246289896,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,12,672,0.49276934753878604,0.6041904884272541,0.166038770481845,0.6159188336667581,0.8755186927186707,-0.7511725408414831,0.5788729660874339,0.7461410451204163,-0.2718618923365965
