subject,n_cases,agreement_rate,cohens_kappa,chance_baseline_p_value,n_conflict_gt_missed
ensemble,14,0.2857142857142857,0.1954022988505747,0.022969770302296976,5
randomforest,14,0.2857142857142857,0.17647058823529405,0.05321946780532195,5
xgboost,14,0.2857142857142857,0.16666666666666652,0.1028289717102829,5
