case_id,subject,candidate_taxonomy_cause,n_zone_months,majority_vote_label,summed_shap_label,summed_shap_margin,within_case_consistency,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,zone_month_distribution
C09_afar_zone2_zone4_conflict_2021Q4,xgboost,CONFLICT,2,MARKET_SHOCK,MARKET_SHOCK,1.0,1.0,0.0,0.0,0.0,0.0018040190589089,{'MARKET_SHOCK': 2}
C10_southern_afar_flooding_2020Q3,ensemble,FLOODING,2,MARKET_SHOCK,MARKET_SHOCK,0.9435881247129703,1.0,0.0,0.0001308477040291,0.0,0.0023195063692411,{'MARKET_SHOCK': 2}
C10_southern_afar_flooding_2020Q3,randomforest,FLOODING,2,MARKET_SHOCK,MARKET_SHOCK,0.2670475712471149,1.0,0.0,0.0017661183679923,0.0,0.0024095948095804003,{'MARKET_SHOCK': 2}
C10_southern_afar_flooding_2020Q3,xgboost,FLOODING,2,MARKET_SHOCK,MARKET_SHOCK,1.0,1.0,0.0,0.0,0.0,0.0023200391769932,{'MARKET_SHOCK': 2}
C11_metekel_conflict_2021Q1,ensemble,CONFLICT,1,CONFLICT,CONFLICT,0.8702707549749356,1.0,0.0018313605292152,0.0,0.0395944786404776,0.0051365618211902,{'CONFLICT': 1}
C11_metekel_conflict_2021Q1,randomforest,CONFLICT,1,CONFLICT,CONFLICT,0.9134894929049036,1.0,0.0037114473243894,0.0,0.0429016942451811,0.0026423242110266,{'CONFLICT': 1}
C11_metekel_conflict_2021Q1,xgboost,CONFLICT,1,CONFLICT,CONFLICT,0.7892256320827638,1.0,0.0,0.0,0.0362872630357742,0.0076484249298118,{'CONFLICT': 1}
C12_snnp_sidama_hararge_compound_2022Q2,ensemble,COMPOUND (DROUGHT + MARKET_SHOCK),3,MARKET_SHOCK,MARKET_SHOCK,0.7860969158751236,1.0,0.0108538670100509,0.0,0.0013166318527681878,0.0507419846443842,{'MARKET_SHOCK': 3}
C12_snnp_sidama_hararge_compound_2022Q2,randomforest,COMPOUND (DROUGHT + MARKET_SHOCK),3,MARKET_SHOCK,MARKET_SHOCK,0.42089547656257204,0.6666666666666666,0.0286453861915749,0.0,0.0010941218345013,0.0494649670866714,"{'MARKET_SHOCK': 2, 'COMPOUND': 1}"
C12_snnp_sidama_hararge_compound_2022Q2,xgboost,COMPOUND (DROUGHT + MARKET_SHOCK),3,MARKET_SHOCK,MARKET_SHOCK,0.9708013349516693,1.0,0.0013905799860366712,0.0,0.001539141871035,0.052712747945406396,{'MARKET_SHOCK': 3}
C13_western_oromia_southomo_conflict_2022Q4,ensemble,CONFLICT,5,COMPOUND,DROUGHT,0.700985972262683,0.4,0.1489307278981759,0.0,0.0008677565294162,0.044532376802683994,"{'COMPOUND': 2, 'DROUGHT': 2, 'MARKET_SHOCK': 1}"
C13_western_oromia_southomo_conflict_2022Q4,randomforest,CONFLICT,5,DROUGHT,DROUGHT,0.4167392747222264,1.0,0.0676024190671363,0.0,0.0001963711877973,0.03942983597562991,{'DROUGHT': 5}
C13_western_oromia_southomo_conflict_2022Q4,xgboost,CONFLICT,5,MARKET_SHOCK,DROUGHT,0.7818201432658815,0.6,0.23576868431700837,0.0,0.001539141871035,0.051439977766676505,"{'MARKET_SHOCK': 3, 'DROUGHT': 2}"
C14_wagHimra_hararghe_covid_market_2020Q2,ensemble,COMPOUND (MARKET_SHOCK + DROUGHT),3,MARKET_SHOCK,MARKET_SHOCK,0.9307587778738219,1.0,0.0003718018211273,0.0012798236907251,0.0024001048622865,0.034662947715059,{'MARKET_SHOCK': 3}
C14_wagHimra_hararghe_covid_market_2020Q2,randomforest,COMPOUND (MARKET_SHOCK + DROUGHT),3,MARKET_SHOCK,MARKET_SHOCK,0.9170104840533185,1.0,0.0,0.0016654111777015,0.0015263933335839999,0.0200677297451823,{'MARKET_SHOCK': 3}
C14_wagHimra_hararghe_covid_market_2020Q2,xgboost,COMPOUND (MARKET_SHOCK + DROUGHT),3,MARKET_SHOCK,MARKET_SHOCK,0.924281224528129,1.0,0.0019732382206711,0.0008942362037487,0.0038142432458698,0.0503738104862349,{'MARKET_SHOCK': 3}
