subject,case_id,zone_names,time_period,predicted_cause,ground_truth_cause,match,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,within_case_consistency,n_zone_months
randomforest,C13_western_oromia_southomo_conflict_2022Q4,"South Omo, Guji, West Guji, Derashe, Konso",2022-10 to 2022-12,DROUGHT,COMPOUND (DROUGHT + CONFLICT),False,0.0676024190671363,0.0,0.0001963711877973,0.0394298359756299,1.0,5
randomforest,C14_wagHimra_hararghe_covid_market_2020Q2,"Wag Hamra, East Hararge, West Hararge",2020-06 to 2020-08,MARKET_SHOCK,COMPOUND (CONFLICT + MARKET_SHOCK),False,0.0,0.0016654111777015,0.0015263933335839,0.0200677297451823,1.0,3
xgboost,C01_borena_drought_2021Q4,Borena,2021-10 to 2021-12,DROUGHT,DROUGHT,True,0.0313191345194354,0.0,0.0,0.0005953337677055,1.0,1
xgboost,C02_somali_pastoral_drought_2021Q4,"Daawa, Liban, Afder",2021-10 to 2021-12,DROUGHT,DROUGHT,True,0.1318066625099161,0.0,0.0,0.0019002863361188,1.0,3
xgboost,C03_ssepastoral_drought_2022Q2,"Borena, Afder, Daawa, Liban, Shabelle",2022-06 to 2022-08,DROUGHT,DROUGHT,True,0.2009501692664341,0.0,0.0,0.0023415302566716,1.0,5
xgboost,C04_ssepastoral_drought_2022Q4,"Borena, Dawa, Liban, Afder, Shabelle, Erer, Jarar, Doolo, Korahe",2022-10 to 2022-12,COMPOUND,DROUGHT,False,0.0055953317205418,0.0,0.0,0.0064225099085884,0.6666666666666666,9
xgboost,C05_tigray_conflict_2021Q1,all 7 Tigray admin2 zones,2021-02 to 2021-04,MARKET_SHOCK,CONFLICT,False,0.0003234025134587,0.0,0.0492062401026485,0.1214903264622076,0.7142857142857143,7
xgboost,C06_tigray_conflict_2022Q2,all 7 Tigray admin2 zones,2022-06 to 2022-08,MARKET_SHOCK,CONFLICT,False,0.0100366690894585,0.0,0.0,0.0525127052981131,1.0,7
xgboost,C07_amhara_border_conflict_2021Q4,"Wag Hamra, North Wello",2021-10 to 2021-12,MARKET_SHOCK,CONFLICT,False,0.0,0.0134999608271754,0.0135534759610891,0.0489197979313757,0.5,2
xgboost,C08_amhara_border_conflict_2022Q4,"Wag Hamra, North Wello",2022-10 to 2022-12,COMPOUND,CONFLICT,False,0.0,0.0271243291208519,0.0,0.0296600888586907,1.0,2
xgboost,C09_afar_zone2_zone4_conflict_2021Q4,"Kilbati-Zone 2, Fanti-Zone 4",2021-10 to 2021-12,MARKET_SHOCK,CONFLICT,False,0.0,0.0,0.0,0.0018040190589089,1.0,2
xgboost,C10_southern_afar_flooding_2020Q3,"Awsi-Zone 1, Gabi-Zone 3 (woredas Amibara/Asayita/Afambo/Dupty/Mille/Gewane/Awash Fentale span both)",2020-08 to 2020-10,MARKET_SHOCK,FLOODING,False,0.0,0.0,0.0,0.0023200391769932,1.0,2
xgboost,C11_metekel_conflict_2021Q1,Metekel,2021-02 to 2021-04,CONFLICT,CONFLICT,True,0.0,0.0,0.0362872630357742,0.0076484249298118,1.0,1
xgboost,C12_snnp_sidama_hararge_compound_2022Q2,"Sidama, East Hararge, West Hararge",2022-06 to 2022-08,MARKET_SHOCK,COMPOUND (DROUGHT + MARKET_SHOCK + CONFLICT),False,0.0013905799860366,0.0,0.001539141871035,0.0527127479454063,1.0,3
xgboost,C13_western_oromia_southomo_conflict_2022Q4,"South Omo, Guji, West Guji, Derashe, Konso",2022-10 to 2022-12,DROUGHT,COMPOUND (DROUGHT + CONFLICT),False,0.2357686843170083,0.0,0.001539141871035,0.0514399777666765,0.6,5
xgboost,C14_wagHimra_hararghe_covid_market_2020Q2,"Wag Hamra, East Hararge, West Hararge",2020-06 to 2020-08,MARKET_SHOCK,COMPOUND (CONFLICT + MARKET_SHOCK),False,0.0019732382206711,0.0008942362037487,0.0038142432458698,0.0503738104862349,1.0,3
