lhz,lead,county,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,3,Laikipia,9,0.28850159069557246,0.32006003713232684,-0.386662345719772,0.25406867793808235,0.3755363284060898,-0.9090255099021831,0.36439456204646603,0.39869326457117543,-1.1517193120756408
ap,3,Luuq,9,0.39112435414575386,0.49801819638361217,0.1494829619442699,0.41303799349649845,0.4646023007850986,0.2597893861011128,0.6448572965019103,0.8178302315095249,-1.293606531576239
ap,3,Nuwer,9,0.34748875475543395,0.39543468154258005,-2.6631379172647485,0.11459992364270155,0.23557977140712769,-0.3001089544047246,0.17012014974039288,0.2877115025328937,-0.9391803759292552
ap,3,Qansax Dheere,9,0.4147012952364728,0.5257291220088727,0.5808162652570155,0.668889660642933,0.8165782832200269,-0.011290679461508413,0.7005538191089562,0.8632778191088081,-0.13026822323741194
ap,3,Rab Dhuure,9,0.4070235158956593,0.4631480575651296,0.7429015920941985,0.6235857306852757,0.7655538490785497,0.29755684942259786,0.9328016105365778,1.057202134292308,-0.33960190284793934
ap,3,South Omo,9,0.3815816825560079,0.460254371645458,-2.0547169924826574,0.3019486184195832,0.34211187907289564,-0.6877629343899434,0.538756362056508,0.618996741075506,-4.525249084636835
ap,3,Tayeeglow,9,0.3680445830435873,0.4276681170846605,0.6897156400967808,0.6040406497187134,0.7448603361575725,0.05876984301405286,0.6338558472101488,0.7663123931257648,0.0037740858803437805
ap,3,Waajid,10,0.4147975206078775,0.47326701157458123,0.5804470345347889,0.6534731666345831,0.7846439701410395,-0.15323977069590078,0.569088370537099,0.7215375401462019,0.024803372233666354
ap,3,Xudur,10,0.4660836423966378,0.5308856689090307,0.5626593575478996,0.6774366821381539,0.7813062082135573,0.05275922320155235,0.7160617218358247,0.8490786595796405,-0.11870012376198513
ap,4,Adan Yabaal,9,0.4385032913163372,0.45810649571007167,0.6888851860993901,0.6076222148955408,0.8001762577124091,0.05079697569050279,0.6816725319183979,0.9051037603137317,-0.21446367486689843
ap,4,Afgooye,9,0.44256309750198974,0.5806185244445478,-1.049332721221488,0.5942251096073192,0.8199797153233214,-3.087303778687729,0.676693462242642,0.7907566846641392,-2.8011625578622077
ap,4,Alle,9,0.6631800863477919,0.8212461112616163,-1.7315029598124245,0.5623112917863323,0.7546375207775502,-1.306385040449415,0.5899157555576439,0.7646506455992288,-1.3679969697520358
ap,4,Balcad,9,0.3457972095689825,0.4532415204837221,0.37789918179182636,0.6170512609812268,0.7800981938915775,-0.8428922418426779,0.6696462976774336,0.9085542478844356,-1.4997876804318429
ap,4,Baraawe,9,0.5195712562103074,0.6613940741793234,0.1694899816427935,0.8752015152797965,1.0381405135971706,-1.0461457044403257,0.7142683567280446,0.835225260501807,-0.32443764979309986
ap,4,Baringo,9,0.26551036894902846,0.32457275274496283,0.49734219876817953,0.4006211638112444,0.45470561557027084,0.013473070135114784,0.37371547912231023,0.5050048297383154,-0.2168565180870854
ap,4,Baydhaba,9,0.586803285786844,0.69819853807897,0.11960030925038634,0.8251064999818813,0.9756052540594468,-0.7189778163455931,0.6020523736583611,0.7608959951010774,-0.04561693260913846
ap,4,Buur Hakaba,9,0.47993385217273205,0.5618752181900268,0.3544869875734379,0.7735010760568258,0.8986843018520214,-0.651351620410729,0.5785465078653191,0.7142625710675252,-0.04313623441771064
