window,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,45,0.9586236476898193,1.21682998832602,-2.8105311393737793,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,1,45,1.1285687685012817,1.3485981179207402,-3.6804842948913574,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,2,45,1.0667215585708618,1.3220592884354192,-3.4980835914611816,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,3,45,0.9026728272438049,1.084908526207923,-2.029088020324707,0.3396526277065277,0.4959526462080906,0.3669964671134949
default,agropastoral,4,45,1.1125074625015259,1.3984146968751223,-4.032660484313965,0.3648470938205719,0.5070155712930473,0.3384414315223694
default,agropastoral,8,45,0.8942891359329224,1.039456629756164,-1.780599594116211,0.42871177196502686,0.5984142458309449,0.07842743396759033
default,agropastoral,12,45,0.9349027872085571,1.121615192220378,-2.23752760887146,0.4723512530326843,0.6556412961914629,-0.10626280307769775
default,crop_farming,0,603,0.8179082870483398,1.1121540989138308,-0.8785310983657837,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,1,603,0.8133218288421631,1.1352805251415554,-0.9574687480926514,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,2,603,0.7679382562637329,1.0992468444660937,-0.8351809978485107,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,3,603,0.5993788838386536,0.9501492684196744,-0.3711094856262207,0.2634561359882355,0.4843416202487758,0.6437195539474487
default,crop_farming,4,603,0.8879538178443909,1.208898340963323,-1.2195656299591064,0.2944584786891937,0.5393069721875395,0.558266282081604
default,crop_farming,8,603,0.5600375533103943,0.8466222054967489,-0.08859848976135254,0.3355291783809662,0.621046676291354,0.4142167568206787
default,crop_farming,12,603,0.5960891842842102,0.9229014549695267,-0.29359734058380127,0.39991724491119385,0.6997555425083017,0.2563284635543823
default,pastoral,0,180,1.6187255382537842,1.843917709740375,-7.573934555053711,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,1,180,1.703154444694519,1.9176590119718624,-8.273418426513672,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,2,180,1.6293355226516724,1.867706290600481,-7.796587944030762,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,3,180,1.4524074792861938,1.6760808503490332,-6.084137916564941,0.33828866481781006,0.48635530204365357,0.4035083055496216
default,pastoral,4,180,1.751978874206543,1.9989496095383166,-9.076292991638184,0.4063642621040344,0.5519713942088592,0.2317010760307312
default,pastoral,8,180,1.0910789966583252,1.3266537314811535,-3.4382548332214355,0.4223296642303467,0.5890271426651705,0.12508130073547363
default,pastoral,12,180,1.1697893142700195,1.4184230780682492,-4.073511600494385,0.45675310492515564,0.6170332993651819,0.039904773235321045
extended,agropastoral,0,75,0.9527301788330078,1.222132902903491,-2.738414764404297,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,1,75,1.1632299423217773,1.3746552902232552,-3.729750633239746,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,2,75,1.0748107433319092,1.3253206602788439,-3.396352767944336,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,3,75,0.8689389228820801,1.0748582081100297,-1.8916981220245361,0.35714834928512573,0.5183690775212608,0.3274434208869934
extended,agropastoral,4,75,1.1287959814071655,1.4127730502312308,-3.9956893920898438,0.36229828000068665,0.5127643066486015,0.34190863370895386
extended,agropastoral,8,75,0.8352616429328918,1.0104804985622178,-1.555680274963379,0.3710152804851532,0.546550927189599,0.2523266673088074
extended,agropastoral,12,75,0.9384698271751404,1.1253879196203327,-2.1699697971343994,0.4796401858329773,0.649377371533114,-0.05546772480010986
extended,crop_farming,0,1005,0.8139765858650208,1.0876617464820748,-0.8535499572753906,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,1,1005,0.8354400992393494,1.1272406517042193,-0.9909020662307739,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,2,1005,0.7992767095565796,1.098539221273954,-0.8908092975616455,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,3,1005,0.6030108332633972,0.9316267416377431,-0.35987961292266846,0.2795063257217407,0.4944420147939105,0.6169571876525879
extended,crop_farming,4,1005,0.9154154658317566,1.1992109963231627,-1.253241777420044,0.29396504163742065,0.5237405383728037,0.5702172517776489
