window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,agropastoral,0,ET0410,9,0.517835259437561,0.6382619959939985,-0.7463580369949341,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,0,ET0502,9,0.48842620849609375,0.6060658125942732,-4.3643951416015625,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,0,ET0707,9,1.5389199256896973,1.6288092787898014,-19.29349136352539,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,0,ET0712,9,1.8695757389068604,1.9316880207784954,-16.54375457763672,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,0,ET1201,9,0.3783618211746216,0.49421064159725947,-3.90673828125,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,1,ET0410,9,1.060598373413086,1.2738100688722647,-5.955761432647705,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,1,ET0502,9,0.9305355548858643,1.0311552061960103,-14.528491020202637,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,1,ET0707,9,1.5221691131591797,1.6413363413242157,-19.606843948364258,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,1,ET0712,9,1.7185449600219727,1.8653778500324603,-15.35995864868164,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,1,ET1201,9,0.41099610924720764,0.4838289289869727,-3.7027554512023926,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,2,ET0410,9,0.7799152731895447,0.9294389344358812,-2.7031989097595215,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,2,ET0502,9,0.7144619822502136,0.9167858862655149,-11.274873733520508,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,2,ET0707,9,1.7325509786605835,1.7939025840592238,-23.61580467224121,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,2,ET0712,9,1.8326363563537598,1.913758545700119,-16.219593048095703,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,2,ET1201,9,0.2740432322025299,0.39280128778617523,-2.099663257598877,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,3,ET0410,9,0.7977715730667114,0.9144195772101118,-2.5844814777374268,0.4707859754562378,0.6178881374400217,-0.6366469860076904
default,agropastoral,3,ET0502,9,0.7143014669418335,0.8286379898694316,-9.02791976928711,0.23186196386814117,0.40580415102173745,-1.4049949645996094
default,agropastoral,3,ET0707,9,1.2831220626831055,1.3463703157008577,-12.865813255310059,0.28454694151878357,0.324481926238366,0.19462651014328003
default,agropastoral,3,ET0712,9,1.466322898864746,1.5699313635917846,-10.588038444519043,0.5533507466316223,0.7095363349455123,-1.3669979572296143
default,agropastoral,3,ET1201,9,0.2518458068370819,0.291429596443838,-0.7062239646911621,0.1577175110578537,0.2732253750474862,-0.4997220039367676
default,agropastoral,4,ET0410,9,0.8203760981559753,1.0107676037527527,-3.3796353340148926,0.543802797794342,0.6679881801344708,-0.9128146171569824
default,agropastoral,4,ET0502,9,0.5884763598442078,0.9047855844512107,-10.955631256103516,0.1720876544713974,0.29226875603290414,-0.24751555919647217
default,agropastoral,4,ET0707,9,1.757008671760559,1.8518104870026386,-25.230670928955078,0.35993683338165283,0.4426034878014595,-0.4984627962112427
default,agropastoral,4,ET0712,9,1.956299901008606,2.0507123081789773,-18.7723388671875,0.48697736859321594,0.6593487332070451,-1.0439908504486084
default,agropastoral,4,ET1201,9,0.440376341342926,0.5503702727129304,-5.0852532386779785,0.2614307999610901,0.35079355919189964,-1.4721336364746094
default,agropastoral,8,ET0410,9,0.8605952262878418,0.970967247258327,-3.041517734527588,0.5131563544273376,0.6026205938194372,-0.5567656755447388
default,agropastoral,8,ET0502,9,0.7580201029777527,0.9066060123303992,-11.003789901733398,0.29148611426353455,0.4338327384990572,-1.7486903667449951
default,agropastoral,8,ET0707,9,1.330780267715454,1.4710367946366694,-15.552492141723633,0.42466241121292114,0.5565204423695433,-1.3690736293792725
default,agropastoral,8,ET0712,9,1.01796293258667,1.079136084095009,-4.475213050842285,0.6528235077857971,0.8979779270513647,-2.7912280559539795
default,agropastoral,8,ET1201,9,0.504088282585144,0.556016967480234,-5.210760593414307,0.2614307999610901,0.35079355919189964,-1.4721336364746094
default,agropastoral,12,ET0410,9,0.9394698739051819,0.9926898015238235,-3.224374771118164,0.7367069721221924,0.828625401872994,-1.9434170722961426
default,agropastoral,12,ET0502,9,0.8637874722480774,1.0529015006777198,-15.190366744995117,0.3056110739707947,0.4463393936323886,-1.9094548225402832
default,agropastoral,12,ET0707,9,1.37662672996521,1.5642134617407533,-17.715797424316406,0.4677940905094147,0.5906270112906629,-1.6683506965637207
default,agropastoral,12,ET0712,9,1.1697872877120972,1.2435337664625434,-6.270491123199463,0.590213418006897,0.8897148635134635,-2.7217764854431152
default,agropastoral,12,ET1201,9,0.32484257221221924,0.4504766681463483,-3.0767431259155273,0.2614307999610901,0.35079355919189964,-1.4721336364746094
default,crop_farming,0,ET0101,9,1.9421582221984863,2.2216621951577857,-2.0268139839172363,0.4225214719772339,0.7902979102547169,0.6169888973236084
default,crop_farming,0,ET0102,9,2.086777687072754,2.3881332276718465,-2.6384801864624023,0.5292166471481323,0.9185656291189143,0.46170133352279663
default,crop_farming,0,ET0103,9,2.1408514976501465,2.490161323223845,-4.134374618530273,0.6204403638839722,0.9139340302263808,0.30838847160339355
default,crop_farming,0,ET0104,9,1.937153935432434,2.227049871275987,-4.277212142944336,0.5836002826690674,0.760148449629372,0.3851892352104187
