feature,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ipc_lag1,0.020745066914855555,0.02088998983864124,0.0211339821175294,0.020063363199236316,0.02165888154602527,0.021199235960430357,0.020661601196947956,0.02122628399777939,0.020486305889683445,0.020958128841014743,0.020593858575611985,0.02080099271172137,0.02091161265594793,0.020057173184537428,0.020725243567707555,0.020472664448489244,0.020779227214427543,0.02064369660839316,0.0216197258158628,0.020465566773284854,0.0206631786167929,0.0205927828007275,0.020751390055240942,0.021613119530235685,0.02094140730865207,0.021308230640063715,0.02016316476736163,0.021070973021613888,0.02161910667201073,0.020632891258816444,0.02123669822177457,0.021343107886409942,0.021038051708056043,0.020875189066961973,0.021717656554103428,0.02042060668876177,0.020570960232069686,0.020498038321759598,0.020582608341445457,0.02038336061416737,0.020757296411021916,0.020819679755465097,0.02067317809556623,0.0204458027302139,0.020670859786401756,0.0213645673548113,0.021417017218617367,0.020563430187420486,0.020803024894622543,0.020657809073762697,0.019649450062169813,0.02052952176722313,0.021256122998307654,0.021101864937878485,0.02071287545637703,0.019917359167924774,0.0201201893218071,0.020006921446591486,0.0212586919091312,0.021170188907724614,0.021055613323368572,0.020993673652884143,0.020665175305922427,0.020769924249777586,0.020900698662871673,0.021221469248876742,0.020742382454358246,0.02151326064853243,0.021126159181686244,0.021344817367944875,0.0207370418074019,0.02098764080568983,0.02009239853352627,0.020158533890798913,0.02013124253216263,0.020838155000401343,0.020918421757940113,0.020843697186022282,0.020659109963356414,0.02026012881760023,0.020500393532352813,0.019963822744753244,0.021103092733919804,0.02076602037103864,0.02067032092274704,0.019861083172403975,0.020389347789718428,0.020803805232401874,0.0206996740345252,0.02095095690601387,0.02110508993080203,0.020527055794451403,0.0209716052779579,0.020647056405893514,0.020593575837616,0.020801035622772673,0.020659642634942115,0.020499457760904557,0.020782343364210747,0.020705721185922944
ipc_lag4,0.012913018109464913,0.013249505640608445,0.013783472817261598,0.012730467505307971,0.01325241654034487,0.013475541325495841,0.013072373541913615,0.013494662689166373,0.013152710553067798,0.01329460050413493,0.012908357024058284,0.013380534650503985,0.01325085277161823,0.013073497135710271,0.0129314242371167,0.013007537292810687,0.013093578223963228,0.01308714829064477,0.013856161567056116,0.013135818371811487,0.012990934659924699,0.012947386428336429,0.013406756570781315,0.013793759301121988,0.01314269478323193,0.013549736693415443,0.012955461484538928,0.013420684210713229,0.013419932756805327,0.013345120589893386,0.01364182161404263,0.013340871777192372,0.013189507486736285,0.013215877565758356,0.013878776334333284,0.013274903484940015,0.013019993082005512,0.012826696081953113,0.012774383610808028,0.012995481409216244,0.013416604064874068,0.013283388389164843,0.0130341041213966,0.012955918858933229,0.013187657708481671,0.013470750312973857,0.013434065738598455,0.013047748697308157,0.0133129470181534,0.013009826165914827,0.012674920778165715,0.012989033270698244,0.013362226496752299,0.013459699250903085,0.013188608896862386,0.0126983871806952,0.012942140826257886,0.012813610311012715,0.013497919105067499,0.013533523463643884,0.013446163339042971,0.013349822254149445,0.013210958168549572,0.013146362592349315,0.013186540920553286,0.013484390910085643,0.013182168128253199,0.013760337788909855,0.013365037275499187,0.013622838617205013,0.013161074782802443,0.013272490735530714,0.012625682871637586,0.012761648566273745,0.012948187846302,0.013268146291050527,0.012911068298929244,0.01352336563363833,0.013014425213897257,0.012968393730284201,0.013011966011178057,0.012806966044225586,0.01352272257868427,0.013234270417699584,0.013519397334523899,0.012734677837781613,0.013014705457212686,0.013232519384798216,0.013226537182019714,0.013174284125263799,0.01347091960576113,0.013166514439332085,0.013398820479837386,0.013115658804197957,0.012955980894946385,0.013381635847533201,0.013235813979535386,0.0129906023386217,0.0131803650446148,0.01300606278715843
ipc_lag8,0.004824810539279143,0.0049293098733168,0.004990735744803929,0.004864806089945957,0.005012998295766314,0.0050035332196697434,0.004931219589390842,0.004945057783524658,0.0049440988764161715,0.0049799268488904995,0.004889061590020899,0.0049610353664631,0.004965586095944258,0.004789446464705129,0.004859509034549986,0.0048879456687915,0.004935985874427386,0.005000292650191543,0.005129427670364143,0.004902506222985629,0.004880304594793628,0.004856456203557186,0.004982787640396558,0.005036831823883515,0.004898156433448643,0.0050127336553638996,0.004949783274664071,0.004966950702829856,0.005004861028085985,0.004968284233752257,0.005084528638909386,0.005160029401143129,0.005001614836785286,0.004918327815071772,0.005162187841909686,0.004934519199614428,0.004883639103908728,0.004908237193196985,0.004891451336496029,0.004850219896023715,0.005042830262771529,0.004943277246490301,0.0049023052804546,0.004951434868424499,0.004994215549405657,0.005021240387485171,0.005011203083429471,0.004883716336822543,0.004996300815465657,0.004898596256802971,0.004798848621788115,0.005004821120660657,0.0050137513747968,0.005010855258126028,0.004983242353417486,0.004870314991635115,0.004757309637844457,0.0048466999904255,0.004981386887318642,0.005151497829119757,0.004995504139902186,0.004979471176932815,0.004949367225055972,0.005024922081399115,0.004969720861012057,0.004982601704689686,0.004960458095835729,0.0051053138724757715,0.0050057805413611855,0.005062346225318386,0.004944863292865728,0.004972211092589357,0.004737032560630743,0.004873133956994328,0.004898306804098043,0.005008918728611314,0.0049975962442264,0.004944366096096129,0.004862050465095343,0.004918817724211857,0.004976991284251672,0.0048559791117941285,0.004969856796459672,0.004914077864568671,0.004985945682922557,0.004852909721540829,0.004780024412250957,0.005009233550579142,0.004948610219096271,0.004845735883719386,0.0049299109135206,0.004959389744241429,0.004983067358297214,0.004874834406529071,0.004863404764721029,0.004930297248448486,0.004919630555425771,0.004916642560351385,0.004984815079143757,0.005005677841034585
ipc_mean12,0.012697503939624901,0.012844076889905829,0.013256335247383871,0.012332863001491728,0.012983743111950627,0.013227087251358799,0.012671392512896559,0.012811776991593098,0.012652848247303398,0.012993912029303013,0.01250772099073487,0.013138171002380985,0.012927359391776302,0.0124818248129597,0.012676022427363,0.012658062685052185,0.0127073291386926,0.012857598072053143,0.013174832293791358,0.012703033212937087,0.012624721423660428,0.012685574157484671,0.012903254838297086,0.0132884461285229,0.012790707688572128,0.012923325340437056,0.0125312869847899,0.013047749198236928,0.01317326967817517,0.013046990633355059,0.013152987568363186,0.0131101981045384,0.013010275676727601,0.012863053133474486,0.01363027583576277,0.012837156040495314,0.012820473325959014,0.012441508297415757,0.012789802704860371,0.012746364790251655,0.012815966838086086,0.01281738430255073,0.012690034155172098,0.0125842037335271,0.012675400891153658,0.01298802099433877,0.013111507120953087,0.01258432030630884,0.012678068925277772,0.012704071340465585,0.012280143842060958,0.012604083009453973,0.012836531885025643,0.012943860776607684,0.012763231251058512,0.01245158781726753,0.012588433517176185,0.012594834799041528,0.012924077907693102,0.012930344244937128,0.012986018743867858,0.012941075659260313,0.012716824603839228,0.012745408793246928,0.012855659575551728,0.013061346595081999,0.012764177977119557,0.013210280025099542,0.01298500825543226,0.013285849350180543,0.01286539795619657,0.013043910849075385,0.012363942790715898,0.012324961294155801,0.0125874735540981,0.012889384687876343,0.012716778918025985,0.012997685327546202,0.012649381755155942,0.012701209850312969,0.012805439058790714,0.012466019309975743,0.01301512977779773,0.012814649926532728,0.0129800824227636,0.012400087249630985,0.012626854719086684,0.012904421918030056,0.012940830086567686,0.012789205052449274,0.012955104134927915,0.012650294738814542,0.013026366924221728,0.012740186369460515,0.012690436984328314,0.012749152517632284,0.012791424371609642,0.012798092152448343,0.012791715984571341,0.012770172849814413
ha_share_lag1,0.003574346777106686,0.003652747864472672,0.0036580448405962858,0.003587679302339071,0.0036081541634254144,0.003599166711252214,0.0034587894228977,0.0036651450037363856,0.0034725060495401144,0.0035750219931113716,0.0034672194432122283,0.003649297952537257,0.0035733142823615857,0.003486489289102072,0.0036331517676388143,0.0035013912998968855,0.0035362187303748715,0.0035609877701007144,0.003737582703604986,0.0036089435377803713,0.003591255535338,0.0035827533002597716,0.0035573652065535428,0.0035938399749767002,0.0035003804379626713,0.0036129991313684,0.0036068626270452436,0.003592008572976086,0.0035423931406160856,0.003646926993604186,0.003639419105054343,0.0037312382037071284,0.0035795808819497287,0.0035738259494105143,0.0036561801075306855,0.0034965440059863714,0.0036027731992642575,0.0036120892825443856,0.003645843845835371,0.0034789152497122144,0.003646856531823443,0.0035154045366817426,0.0035338686670226996,0.003556893679538329,0.0035878009095746143,0.003574417380801557,0.0037371833444178,0.0035459310444705427,0.0035986982538811,0.003657345994230143,0.003477874806492586,0.0036212928918927427,0.0036941431409394285,0.0035961276432004284,0.0036652721110119572,0.0034805468820232996,0.003443181799746586,0.0036198605019139574,0.0036221638674477853,0.003632549433782286,0.0035114013117973145,0.0036349841946432004,0.0035166884021343428,0.003538615371211858,0.0035614054474360428,0.0036557506297876857,0.0035300339059114003,0.0037056114795015432,0.0035651346272070716,0.0034824849594608715,0.0036163779864742574,0.0035887041807584857,0.003489615293157814,0.0036113240489057574,0.003432624186655457,0.0036034291812685713,0.0035883900335004,0.003505188780565657,0.003521996367524443,0.0035281573885705855,0.0035133738270769427,0.0034985510191131142,0.0035059443279045715,0.003574014340418,0.003662591026409743,0.0035821618680241855,0.003504050735084614,0.0035860124536998004,0.0035408802799276285,0.0036050997502405716,0.003489609319609,0.0035428576045668284,0.003668178458933414,0.0035104077329394,0.003577836050296928,0.0035806546572384715,0.003590518286664029,0.0035540151682862857,0.003599256573816643,0.003499887104141714
ha_share_lag4,0.002904913473873171,0.0029718564352322857,0.0030018612454550003,0.002846568904425614,0.0029958755921670284,0.0030092982670277997,0.002842980770427886,0.0030649089429982145,0.0029363626828164146,0.0029143240265089286,0.002930261728977486,0.0030043490976706427,0.0029718344864823145,0.0028577609308505286,0.0030842776387975286,0.0030314675015078144,0.003032356709931686,0.003041601397523886,0.003050339710813986,0.002876088869523557,0.002946396323217728,0.0029581472819661288,0.002920464032044514,0.0029889605794350287,0.002894994190383772,0.0030037650627098853,0.0029189376751073714,0.0028788020291059574,0.0029798620120647717,0.0029279113500099143,0.0030449672912447713,0.0031976541279819287,0.002954167452802543,0.0028833998012271858,0.0030065543506121715,0.0029202686266106143,0.0030030509713486714,0.0029566205859972855,0.002936808283941957,0.0028553055464493856,0.002924120711233729,0.0029664213274591287,0.0028019200507788285,0.0029674218230840146,0.003004689330856029,0.0030887051956401857,0.003020635649581186,0.0030205475120288717,0.0029260905695975142,0.002999472407573443,0.002859432795794043,0.002990180789239857,0.0029791329298059993,0.0030250051228301145,0.0030385136644695285,0.0028895815997246857,0.0029318616150918572,0.002958422013015557,0.0029414521104691002,0.002999705178075643,0.002961202174182543,0.0030481444277200426,0.002907521698803,0.002933370292866229,0.0029229336120151,0.0028494795055042286,0.0028806293181378,0.0030247925785629854,0.0029860362514617,0.0029317483745678143,0.0030893207772319142,0.0029148373859597715,0.0028666564463361716,0.0030164475012476287,0.0028343824428613143,0.0030879796534554714,0.002979760534876057,0.0028929781619945138,0.002961260242424786,0.002967758472159157,0.0030403479374166006,0.0029484186104843566,0.0029614181457871427,0.002904417879567371,0.003066789127051957,0.002905003075917243,0.0028357942304261144,0.0030181309685630856,0.003005231636983615,0.0028841085187673,0.0030491067707139716,0.0029604334707346,0.003028497258390086,0.0029020488656529854,0.0029811617981974,0.0029028807017434,0.0029560407201883712,0.0029185101238970714,0.003004302130437971,0.0030287907310016715
ha_share_lag8,0.003421895237388628,0.003547071400014686,0.0035519950039376714,0.0033889400123773283,0.0035696611671197573,0.0036042575388803713,0.003441391632336243,0.0036912420833977145,0.003463030027439514,0.003389331327545914,0.003554682484026014,0.0036611734912958284,0.0035024787281926146,0.003442794533129928,0.003686153413371186,0.003639480692818143,0.0036076126706857284,0.0036143769592670285,0.0037310072879418,0.0034001889500468144,0.0035359692826415286,0.0035643260236290285,0.003474046254818057,0.0035839721415337,0.003529316491739386,0.003683197740864743,0.003461058668487443,0.0035694847392496,0.003569821193908414,0.003534560860688943,0.003640988328985915,0.0038546520665923567,0.0034756077286927428,0.0035053523491789715,0.0037288544715864858,0.003431015285332971,0.003534183912281829,0.003534061855223514,0.0035546431326456142,0.0034069167535569285,0.0036035280957180714,0.003577526064661514,0.0035484590573090996,0.003634053523216843,0.0035244005745342574,0.0036844715867923425,0.003602288738967157,0.003524630539935343,0.003463457035166657,0.003640398568154371,0.0034132875557869283,0.003575158623399557,0.0035786848739108,0.0036208611173654853,0.0035954340117636714,0.0034083814214057573,0.003474020928367857,0.0035703911876327,0.0034752371593068,0.003595565508577914,0.0035968474740718714,0.003556719077869329,0.0034759891066517,0.0034438448225094,0.0037543098667944855,0.0033847609776386143,0.0034687732670596856,0.003623980422503757,0.0035284103006032147,0.0036103941746449286,0.0037434386495129716,0.003548395126142529,0.0033945779536442714,0.0035750479829405,0.003330997941601414,0.0036932973725729715,0.003652561905693443,0.0034553302698434713,0.003459355541961643,0.003445615331674557,0.0036447435798657576,0.0035423352681554143,0.003474847493979443,0.0035633747738435142,0.003571608308967914,0.003360737359161471,0.0033695614609746288,0.0036870714765226283,0.0036286944186836143,0.0035272599094146287,0.0036342869614782143,0.003496502077289428,0.003653314593073543,0.0034347067736060855,0.003490612576524471,0.0035701752704085,0.0034334865502128145,0.0034927507815560002,0.0035830334630856425,0.003599968951355329
ha_share_mean12,0.0027666838461863426,0.002738636879957628,0.0027193840826131854,0.002673019651018357,0.0027459951436723143,0.002819119255664943,0.002627577464917543,0.0027913330826060145,0.0027442675157854715,0.0026992143230105715,0.0027631744957080573,0.0027361031192882287,0.002762545785319186,0.0026566591072003714,0.0028477915009409854,0.002726343177649857,0.002772694440843843,0.0028592939461837283,0.0028645729345731,0.0027528864622998147,0.0027518266180996858,0.002696317141176486,0.0027573559766609287,0.002730414553993757,0.002742009981270343,0.0028573830702200856,0.0027417226937395288,0.0027433471556601143,0.0027816800934063004,0.0027257047658199285,0.002791053822672343,0.0028825695328760855,0.0026702538552734576,0.002747912925515114,0.002804111202394871,0.002692699764861143,0.002801717415831414,0.0027714072303977287,0.0027491230337318997,0.0027178292814544996,0.0027728921600494575,0.0028009709538812286,0.002732931933690543,0.002830582849653014,0.0027339797572581287,0.0027534963494339,0.0027773232178367716,0.0027462570500304856,0.0027069556183797,0.0027962501955476862,0.0026805944516032285,0.0027342733136508854,0.0028061201144502284,0.002783201447282986,0.002732170404517357,0.002706976565729343,0.002659289790978043,0.002729480592388514,0.0027230769020735574,0.0027743023323397284,0.0027958601276308137,0.0028351748633245713,0.0027061329132005425,0.002704260638118285,0.0028165063378988997,0.0027139996407244574,0.002736709575178286,0.0028317208478274287,0.002782817866068643,0.0028285540630226856,0.0027904337985797853,0.0027381369664227144,0.0026791334467025714,0.0027462595451546,0.002681620823962971,0.002745615000745671,0.002776641470547614,0.002731253934127129,0.0027081624649748855,0.0027412515225767853,0.0027524551401880287,0.0026984396283569567,0.0027566445796904002,0.0028890625273842,0.0027682884678715855,0.0026810455677042716,0.0026072154645236426,0.0027932654401452285,0.0027512819085892854,0.002730257573483314,0.0028075371229190284,0.0027650377092070287,0.002726997088301072,0.0027042531539602857,0.002760281510849286,0.002676545396301972,0.002677990837674057,0.0027572229978194284,0.0027515057736681716,0.0028025500900985857
total_rainfall_mm,0.005901601696352685,0.005957043584170729,0.0060454812294311,0.005754212986436742,0.005963412322056057,0.006034638555659401,0.005854327030905143,0.005907286418490471,0.005960202719215186,0.006020228910721871,0.005904873387723229,0.005913935527363244,0.005925207664564815,0.005722191586760614,0.005785227467801371,0.005993382669627243,0.005962904001726186,0.005942277196825057,0.006117044604329428,0.005940433472204671,0.005967495502200029,0.005872238592021242,0.0061247775302375575,0.0061206473030829,0.005950933421877543,0.006007068819837972,0.005903199096414071,0.005984801307046586,0.006020855285690915,0.0060013209209712716,0.0059559203852266865,0.006057358057790128,0.005832740651893514,0.0059443129730117,0.006096084544151385,0.006027330569944986,0.005906736394087114,0.005848376906545243,0.005953939680193286,0.006117918618693215,0.006016958195950243,0.005886698669761358,0.0059867648874956285,0.005926406522995156,0.005812369643573315,0.005940710981947728,0.006038755096814201,0.0058467077205765425,0.005932514524904328,0.0059906493707064575,0.0058261740040547,0.005876415612708414,0.006082504152582771,0.005974774977991443,0.005971686865153414,0.0059246892905873,0.005829082171081958,0.005910418138393457,0.005961242831388556,0.006006162678464958,0.005902859706102814,0.005878641246988629,0.005806889736926187,0.0060409781980403,0.005951188525799843,0.006074891096786142,0.0058424188739841,0.006106741413103729,0.006002206114107471,0.006051373988230072,0.0059890292751840855,0.005944897649840957,0.005785320856395314,0.005901147809456971,0.005885179606584715,0.006078240592970372,0.006040695189215557,0.006083906320785072,0.006008024179985057,0.006006905133455843,0.006046985929702414,0.005826295786863257,0.005940288445890986,0.005856232636925285,0.0059809831195157,0.005904591043145943,0.0058499698326194,0.006065608152485171,0.005864295482906957,0.0060292729714022135,0.005958749898125728,0.006030706095484157,0.006012371573530672,0.005960100774200428,0.005997039903442186,0.005784058825758657,0.005947883349945815,0.0059200846943255,0.005877517915478801,0.005915842285902314
wet_days,0.008355941550764587,0.008672638590131242,0.008852811143199999,0.0084397097230895,0.008686887544474229,0.0086990066125929,0.008495892944330828,0.008670382716342058,0.008551349992150615,0.00873128271804383,0.008583082718129815,0.008745769477115943,0.008605412717522357,0.008428614618061615,0.008319476739948758,0.008669200088037657,0.008857644994263628,0.008746156506340214,0.008960046682991158,0.008813484358942414,0.008633310180943729,0.008646926807435656,0.008935331941252627,0.008778241103483301,0.008541864716352387,0.008578714543746929,0.008529648190631471,0.008692309240015543,0.008798193292962572,0.008688434752832786,0.008771711954946857,0.008826914172993115,0.008564138674600772,0.008564397066910485,0.008615476292763671,0.008811921752376658,0.008498530149322144,0.00858664208072307,0.008711478335168714,0.008749782725284358,0.008957960861630615,0.008655902906550215,0.00851908408331917,0.00880233704947737,0.008804383095582957,0.008604545596053743,0.008836307128778557,0.008498578775657442,0.008690533249234028,0.008773228525028315,0.008433148295290028,0.0087796566825632,0.008857640601196615,0.008937928913515084,0.008803207958063585,0.008550165562029715,0.00843574891029463,0.008508274825283643,0.008797218208351143,0.008857837930849785,0.008614186095901841,0.008487932659649058,0.008423495444032486,0.008789801126199471,0.0087857061679843,0.008813957168298801,0.008645280566228515,0.008791743542504872,0.008693732591381315,0.008700979077604571,0.008868895983661543,0.008639610280198386,0.008399110363581229,0.008649950862458558,0.008499054192439185,0.008718435727854214,0.008953839820898942,0.008887452346956043,0.008611949848321929,0.008714102632948787,0.008544211146828328,0.0084787271088885,0.0084313874872687,0.008458429942217,0.008912035846899757,0.00826533338809043,0.008541851756761459,0.008829487898145,0.008461188877212486,0.008646717060582588,0.008471801474505929,0.008678240081961372,0.00878080707944163,0.008681260705764443,0.008681520283596356,0.008687162312795042,0.008579249897615543,0.008581839511783628,0.008778526937123086,0.008635958265472544
