,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
acled_event_count,0.0004400350224773277,0.0004417834875351227,0.00044644487410527405,0.0004378159097027692,0.00043823873415482735,0.0004315292964049104,0.00044350804985406875,0.0004458145888404783,0.0004525011918730948,0.00042475418522557187,0.00044468306060012125,0.00041719452189009545,0.000443567000523358,0.00043232317014123896,0.0004404290575341095,0.0004448464676627721,0.000414778390401005,0.00044894958374077764,0.0004189864889553948,0.0004496666944156925,0.0004367595461742342,0.0004281187597771908,0.0004359758778921302,0.00043354141149549194,0.00045665883920282754,0.0004449605304999594,0.00044374924557321314,0.00045012252012696554,0.00043411371935519046,0.00044209054360864916,0.0004463145541493291,0.00043984799351267105,0.00043773336178637575,0.00042927500974843157,0.00043360812269584647,0.0004402317064640942,0.00044956757516107204,0.0004499488514461538,0.00044132635300734603,0.00044672071307597284,0.00043685963611176206,0.00042792988066417783,0.0004304275047646997,0.00043187046920243,0.0004299815238249673,0.0004481337771177865,0.00042864843433008433,0.0004503790388248862,0.00043091777188099706,0.0004413352024772838,0.00043030198781829755,0.0004422568193061026,0.0004388853146998833,0.0004382993994897756,0.00044322270207094517,0.0004449556134321514,0.0004665961013137189,0.0004266860843914088,0.00044429512278510423,0.0004248195086350648,0.0004487566721410385,0.000453037033292982,0.00044524467816027936,0.00046858684927260786,0.00045438409822186874,0.0004349733962606601,0.0004460016501036175,0.0004621231895874033,0.0004408337642690092,0.000449614839287933,0.00043544560142299004,0.00043967644427535913,0.00044465283817700065,0.0004338777974095657,0.0004325898845096645,0.0004446475890313049,0.00043967688186599983,0.0004554328863409491,0.00044032508557477257,0.00045467541342459624,0.0004441444649085479,0.0004457715299105263,0.00045869263964542535,0.0004490204881327271,0.0004502255890057609,0.00044655517404049313,0.00043989288211867785,0.0004479329960929097,0.0004518222198258485,0.00044890622139114934,0.00042175633214245603,0.0004466798834787518,0.0004572259956709771,0.00044399673733450004,0.0004396375898302973,0.0004282905227094289,0.00044355468123067634,0.000434894124045326,0.0004421936657881657,0.00045182829308386977
acled_event_count_demonstrations,0.00016491546748676264,0.00016550256887443626,0.00016998363241521795,0.00017135245574212733,0.00017155461473018318,0.00017659215874312977,0.00017408485106560807,0.0001757603712071555,0.00017989111240918317,0.00017717988122353234,0.0001858049037520529,0.00018226844977971664,0.00017690860313774407,0.00017024757452130526,0.00017630529665203939,0.0001755874709108763,0.00017129382843523452,0.000168988629242489,0.00018063896461372324,0.00018595308515625302,0.00017957843057932738,0.00016986084723599073,0.00017226929657193868,0.00016498487846362204,0.0001812197592610551,0.00017251953225661893,0.00016321494955561587,0.0001761218482269062,0.00016533002733108433,0.00017143343610545196,0.000178753096153745,0.00017092124925186813,0.00016966324621282754,0.00016883918829298795,0.00017455062810588253,0.00017639766142136599,0.00017355596024931552,0.00017660329960918436,0.0001765190324861738,0.00017657816709968545,0.0001771275265043058,0.00017422780830130102,0.000171525211074271,0.00017664151777965214,0.00017029995867056487,0.00016891029012188993,0.00016895934279618,0.0001815933621542089,0.00017357792469312907,0.00017035000293063454,0.0001809966451500593,0.00016619378143078252,0.000177167884543325,0.00017090442226467756,0.0001784548432540069,0.00018015049188628007,0.0001756592848751156,0.0001767421707671368,0.00017816128412490416,0.00018113460198709036,0.0001648865303258338,0.00017327922963059208,0.00017211595606832043,0.0001717710320766203,0.00017096219623266275,0.0001711582092628093,0.00018093916538551352,0.00017599052344690973,0.00017652664488145093,0.00016823232673349113,0.00017748139525350105,0.00016658577906351497,0.00018251170924806393,0.00017254840381098423,0.00017293829498966706,0.00017990947213358544,0.0001708388487586256,0.00016264448935344512,0.00017203566605335447,0.00018154459737601493,0.00017630285181725641,0.00017775644323764762,0.00017768842295088242,0.00017208242978346692,0.00017603020990064687,0.0001740306524753274,0.0001718951757299867,0.00017909475905857793,0.00017648766001655223,0.0001846928734966574,0.00017474728939344844,0.0001734434169214018,0.000166718265183368,0.00018092643392700954,0.0001815325877502813,0.00017037919912504262,0.00017100279321885932,0.00017410146985313217,0.000180020493624092,0.00017735786318307754
acled_event_count_demonstrations_lag1,0.00021981097825375645,0.00021284200384243164,0.00022780390439040032,0.00022071242701441663,0.00022364456279959954,0.0002165182278939622,0.0002238272997570935,0.00021849026152195476,0.00022385876374056787,0.00022026727111243912,0.00021538879421265563,0.00023322870234057931,0.00022453079128086767,0.00022097444310992153,0.00020981948024560284,0.00022544136332668056,0.0002243104554990461,0.0002047010753050231,0.00021356957826394003,0.0002263969497054635,0.00022627808450218488,0.00022504472127178168,0.00020907209568022316,0.00022979320633666526,0.00022011931442572372,0.00022133765236937263,0.00023604910442139205,0.00021396846201753052,0.00021444213954347684,0.00023712197736713373,0.00022320856652387625,0.000212705705416159,0.00022811342568821144,0.00022144139598961597,0.00021243737214098803,0.00020995503743533088,0.00022969233377452005,0.000220198561481427,0.00022304173207256847,0.00022115535304089478,0.00021747791390097147,0.00022865071260568562,0.00023325066551079294,0.00021904459072313463,0.0002343455916230027,0.00021698487777545576,0.00020575624479335827,0.0002041555756904115,0.0002216220406013515,0.0002096809515231433,0.0002285812043851359,0.00023054391525771884,0.00022630887640740657,0.00022348125613938616,0.00021392917594323174,0.0002376412723527438,0.00023068512332606256,0.0002206295195380756,0.00022229174727248174,0.00022211316120110362,0.0002231614731308428,0.0002148831174623407,0.00022959257360000677,0.00021340240977709855,0.00021951627019583842,0.00020969998438835426,0.00022959660910626363,0.00021366490682216705,0.0002252368801915535,0.00021567891202265243,0.00021361581437782278,0.00021016181027292801,0.00021160609330429805,0.00021350913107681717,0.0002277405361431126,0.00021571020383966995,0.0002153929525678508,0.00021182523587167968,0.00022209386149699893,0.00022904026630174586,0.00022226655578983979,0.00022517536809900596,0.00021729905415150816,0.0002296385337806789,0.00022033488122480535,0.00022236037314250578,0.0002093153438565567,0.0002228404459644312,0.00023655972143521464,0.00021801059949214934,0.00022138217003981204,0.00022791622849268987,0.00021150295309101867,0.0002101144138454465,0.00022045106535501516,0.00023457470067399203,0.00021432266837084204,0.00021509091835956686,0.00021726457685362558,0.00022026342126853636
acled_event_count_demonstrations_lag12,0.00010709349812373737,0.00011489326868971555,0.00011868928809443188,0.00010846142054357601,0.00010180176243133894,0.00011582968791805845,0.00011337158977823521,0.0001089369111763284,0.00012592754213008615,0.00012337850284775104,0.00010468400233999607,0.0001151623063441929,0.00011975758322748298,0.00011018870990431224,0.00011425666633918297,0.0001234376298015834,0.00011279351978895842,0.00010961108452771473,0.00011718825565993599,0.00011918921758331518,0.00011839090153728509,0.00011387053005670605,0.00011492313122902803,0.0001076496948985108,0.00011339740200379959,0.00011880010811674108,0.00011141673482483343,0.0001220584076808722,0.00010236088498521059,0.00010784524799232258,0.00011102326741881597,0.00011018653656417054,0.00011104414014925775,0.00011426485050197805,0.0001212028124584992,0.00010583646065198602,0.0001057734634199884,0.00011239992901107444,0.0001125320767701656,0.00011148520903745814,0.00011379222693050666,0.0001058272714367385,0.00012174528837228751,0.00010850126878402151,0.00011273722634556412,0.00010595197481763528,0.00011267285952173378,0.00011941680800188415,0.00012199578153264374,0.00010551687854560136,0.00011166267990967877,0.00011457184565084042,0.00011214158813845598,0.00011389598849721744,0.00011264371057583354,0.00012410935736424772,0.000122753945266395,0.0001083162746854163,0.00010948320198087047,0.00011293957678162955,0.00010617978942417779,0.00010669433206908087,0.00011602492405279645,0.00011236804982456249,0.00011795595338559511,0.0001197329010088069,0.00011386780584661075,0.00011299599529058015,0.00010790579680524749,0.00010782598546997944,0.0001131093529223997,0.00010969894048806477,0.00011203985310522397,0.00010707985862896098,0.00010762579024608435,0.00011055220119297017,0.00011197700287809062,0.00011253026675537099,0.00011450145285990795,0.00010977261832428193,0.00011109009058893927,0.00011250928665061381,0.00011575943051031553,0.0001063505164235493,0.0001281248328640721,0.00010388380170842566,0.00011657203540185827,0.00011532336698495931,0.00011520745451343285,0.00011817744869708886,0.00010589433404526535,0.00010932265809114052,0.00010621538261016592,0.00011573852063478334,0.00011723685021920617,0.00011401269638835922,0.00011278532879283302,0.00011552618322477935,0.00011070167568144203,0.00011473365105049386
acled_event_count_demonstrations_lag3,0.00011245468124675422,0.00011753833935558722,0.00011055586205808782,0.00011705721285801787,0.0001125948631015425,0.00012243619688304423,0.00011849234525776497,0.00011175013102579974,0.00011847386649670024,0.00012562059357958724,0.00011665584356854951,0.0001226881163858789,0.00011878728023268314,0.00011525629019312616,0.00012023343930371644,0.0001117495598157222,0.0001173018594884934,0.00011599440557470764,0.00011995414658825909,0.0001210881900192009,0.00011442746889415588,0.00011214980129246836,0.0001138373764700107,0.00011788596324879996,0.0001117646175124585,0.00011545818229759863,0.00011770553035169359,0.00011081289060006845,0.00011660676906241377,0.00011221935847185954,0.00011573563960619762,0.00011414219639660123,0.00011662496378635114,0.00011187285044711189,0.00010962446124764933,0.00011634008018427763,0.00010931823625419736,0.00011635558393605082,0.0001189479610828353,0.00011603191444133656,0.00011714566166658078,0.00011280852649314308,0.00011600907092709855,0.00011886527585282745,0.00011914344295294709,0.00011930502476561135,0.00011400435770558167,0.00011541768354685395,0.0001063216830620394,0.00012146728394584077,0.00011359621879786794,0.000113459856507376,0.00012180757363016231,0.00011416884894003568,0.0001214362434684328,0.0001286735933168012,0.0001139486926824897,0.00011770670502935296,0.00011922092350980296,0.00011686362024726561,0.00011890806157721529,0.00010501051975174357,0.00011949947710076734,0.0001119162668006456,0.00011758036044978136,0.00010819157583111316,0.00012083585058530822,0.00011212258359986091,0.00010964589808272258,0.00011922792472929112,0.0001229706711597756,0.00012312390478349218,0.00011101675505432157,0.00011597099695026247,0.00011419315675917179,0.00012440941140278323,0.00011629510984042115,0.00011535861603063354,0.00010928841111695233,0.00011444055915953997,0.00011766772813671169,0.0001229942225473788,0.00011348584434230155,0.00012158137303911586,0.0001166153236445869,0.00011828633216602293,0.00012050997797489117,0.00010833300683141867,0.00011737313970262472,0.00010986787689631016,0.00012900077237034695,0.00011750412479006894,0.00011346703709461714,0.0001173307642993704,0.00012163488691368167,0.00012368892092353987,0.00011340664116873167,0.00011122123757532175,0.00011987730270538283,0.0001205628539830503
acled_event_count_demonstrations_lag6,0.0002842655587990505,0.00028764258549848586,0.0003036919519561646,0.0002868145127032913,0.00027560575778978833,0.0002786909804463471,0.0003043708176315096,0.00030230586420763124,0.0003141931527975467,0.00028954462808617484,0.0003060050372427664,0.0003041539044901403,0.0002999157559809967,0.000283734508443736,0.00028415660765359366,0.00030211572555840523,0.0003004716364581155,0.0003022140153692292,0.00030766210680794676,0.00029948192736080885,0.0002780952131353383,0.00030321137129628957,0.00029045320494174265,0.0002928018385650896,0.0002952804435153368,0.0002891943902825897,0.00027503492311024266,0.00029833923056455275,0.000291280396407086,0.0003003274401832885,0.0003021183837031741,0.0002924042786108246,0.0003100850316281252,0.0003103128194184094,0.00029064285184444944,0.00031103921275760135,0.0003117086736555697,0.0002753557668744619,0.0002952393686102118,0.0002990315514681269,0.0003107036189436317,0.0003100518960550174,0.00027388415378356705,0.0002672996182945285,0.00030263886190577395,0.0003004148457138861,0.00032200628412074023,0.000291011213946742,0.0002949806292019075,0.00029304326894839436,0.0002841824900976043,0.0002858451694217987,0.00030239130802843956,0.0002879981095449596,0.0003031148731580042,0.0003149378086584359,0.00029266507798673686,0.000301290224792607,0.0002939790104191908,0.00030074448747946904,0.00030106489590422394,0.0002940263874629977,0.0002825945334759051,0.0003007005032154481,0.0003029000739358061,0.0002865840740377589,0.00029519139348325194,0.00027348494535617556,0.00029839796544244403,0.0002804403503605074,0.00029924446982624903,0.00029692689792080063,0.0003082034057308977,0.00029859504416228155,0.0002805598061060878,0.0003116886947552663,0.00029830691063980887,0.0002860476177235214,0.00029347477397621255,0.0003094569093302959,0.00030099526627076447,0.00030646437865836443,0.00027442850165687957,0.0002951116918186976,0.000289989139098829,0.00028829325306481163,0.0003067551754284564,0.00029344481263113823,0.00030893561859277567,0.00030296457051729115,0.00029607766847523546,0.000301812680834332,0.0002820048127872371,0.0003149515263005821,0.0002965362149949296,0.00030804493883090537,0.00029005458305343825,0.0003053060814192849,0.0002833699317713528,0.00029273116241124554
acled_event_count_lag1,0.0004013688998355436,0.0004091888525778367,0.0004134913264225861,0.0004225247792263964,0.000424480680478872,0.000409967424342436,0.0004184468414142742,0.0004112511754413118,0.00042888251923576816,0.000402707610242033,0.000419848049235441,0.0004045722331977528,0.0004134518443255348,0.0004156376358583998,0.00041226333697673325,0.0004169844833962342,0.0004055184530321,0.00042262541477600243,0.00040640612025367827,0.000427715114111198,0.000410238623649117,0.0004080326547151853,0.00042285921658079414,0.0004109182758974146,0.0004259825425513027,0.00041648634106932446,0.00042049171271489686,0.00041574968875752094,0.0004049601279901258,0.0004143045887648952,0.0004221801785383709,0.00041219296172024264,0.0004317439144284051,0.0004195159937637959,0.00042677349535521185,0.0004135526031506599,0.0004132834941158299,0.00041164831241731394,0.00042418790918063954,0.0004280312633186481,0.00041246911287361865,0.0004311498179344347,0.0004208139576900513,0.00043039079928952547,0.00041682489291048133,0.00042984343051763056,0.00041851071323006364,0.0004161492500253015,0.00042081082236408664,0.00039552876621101485,0.0004222076103878737,0.0004310966303424909,0.000430319637302589,0.0004216034667130959,0.00042137729318701044,0.0004029495186985306,0.0004112013537641507,0.0004114455669891257,0.0004129269253084421,0.0004073876828614242,0.0004249139414363518,0.0004216729553108184,0.00041503571077323455,0.0004282958206548106,0.0004404356637034633,0.00040802496242937474,0.0004152347268081416,0.00039930274544685467,0.000407905046444652,0.0004241988571959983,0.0004174481743148585,0.00040649182879992624,0.0004037388845392236,0.00039654315613425897,0.00043288598011709825,0.0004084778597646448,0.0004206934963308561,0.00042067715178758396,0.00040953567978964004,0.0004171690772735292,0.00043962135755547856,0.0004129178332893885,0.00041602495882968126,0.00040932610158742695,0.0004116416784971406,0.00041244504375433246,0.0004057953021822935,0.00042179432489714464,0.00042735480844526864,0.00042777617965260767,0.00040112685040087957,0.00043303906165989016,0.0004351514952218209,0.00043188109629890484,0.0004221470610571852,0.0004179818262846923,0.0004081162838465254,0.00041710580684453365,0.0004242245576889334,0.000434292448189971
acled_event_count_lag12,0.0003304944514332182,0.0003366667566610744,0.0003488895811149751,0.0003361937217702194,0.00033380264541230315,0.0003434926627863936,0.0003199468632722012,0.0003225019271909359,0.00035417168272062696,0.00034722497848124214,0.00033450944505087135,0.0003514989049088389,0.0003441140220481689,0.00034818828669722725,0.0003394235996949342,0.00035172874545060266,0.0003500939720377423,0.000341106870226776,0.0003357529447552343,0.00034728502248329785,0.0003463925445095629,0.000356619249426837,0.0003327394651091383,0.000341458044507051,0.000350712287853947,0.0003440717794813548,0.0003375522359308376,0.00034123636294203886,0.0003295046598129568,0.00033898162132417296,0.00033731575957147856,0.0003435197536676767,0.00035295207016962507,0.0003348177275053825,0.00033605927191612383,0.0003385173922632194,0.00034657281029522145,0.0003456189209095165,0.0003469753578329069,0.00034765908647234046,0.00034771562967312404,0.0003388212178239457,0.00035369476737268947,0.00032622405673421787,0.0003384890876631175,0.00032288263618726197,0.0003306952800940875,0.0003362924984066367,0.00032588924324537875,0.0003351251958484586,0.0003442593052038599,0.0003373760654566072,0.0003290142938616141,0.0003417258776715812,0.00033860026220368367,0.0003465725216367792,0.0003308093665241557,0.000345009392218169,0.00033845996916600585,0.00033887785799322954,0.00034064723743979305,0.00034771878115554634,0.0003321993174997226,0.00034150364082541096,0.0003474366005631583,0.0003315306066895675,0.00034546822591622906,0.00032297384459635563,0.0003491813887633808,0.0003174890347235558,0.00033450561655980703,0.00033193023135624165,0.00033151774049538417,0.0003267808169133303,0.000332980164629438,0.000341593305344913,0.0003417798009784435,0.000333722220702591,0.00032927255970967404,0.0003387155296220727,0.00034530091092305567,0.0003441812170153062,0.000342451700532968,0.0003391867142032567,0.0003537541341640341,0.0003311574067156247,0.0003402410198280295,0.0003421320386832191,0.0003535633061033687,0.00035394525412442494,0.00032978863964032093,0.00034401788069564354,0.00033100105297981296,0.00034242386672957766,0.0003578852418658388,0.00034540087306801377,0.00033809557758019315,0.00034468506540860004,0.00035306719465509005,0.00035062414893971083
acled_event_count_lag3,0.0003782527957920317,0.0003993223829550478,0.0003939024949903956,0.00040410668250599724,0.00038834555933320064,0.00038699035612275144,0.0003826697972182574,0.0003830514783198801,0.0003957631923144766,0.0003999749652794243,0.00039576033562479,0.0004023240284919501,0.0003893001717067575,0.00039791410506723093,0.0003871119597802292,0.00039939433187134374,0.00039842197064214146,0.00040260514730967585,0.0003825296510967109,0.0003950943906721734,0.0003922797273142713,0.0003736630344642034,0.0003866908672446849,0.00038795767248061283,0.00039197905362905913,0.0003816880033305145,0.000389235916149304,0.00040308114780381597,0.0003811101177334819,0.00038247779877941494,0.00038859106984327746,0.00039600630101136033,0.0004006495764465708,0.00038326418574980244,0.00039832526291761134,0.00038712527205798984,0.00040202645399696935,0.00039931078643150114,0.00039575727721273784,0.000397645610319284,0.00038319907341054,0.0004054428785143231,0.00038717275025082915,0.00039841333778817424,0.0003870124862498701,0.0003917803169961536,0.00039082076173180513,0.00038459827913997865,0.00038752472247416815,0.00040171170645102405,0.0003852127900127378,0.0003926235680354771,0.00038558691979102366,0.000395093039324693,0.00038070666052715383,0.00038763361374048955,0.0004103643154746196,0.00039617793775889267,0.0004066721169790254,0.00037707633810216986,0.0003861873675339132,0.0003826782198916083,0.0003974453058293921,0.000395633012057974,0.00038639869225994764,0.00039398131536979387,0.0003972021149926573,0.00039159541127309816,0.00038820495063687934,0.0003979195616313626,0.0003968604556464412,0.0003988678542649462,0.0003802118521926663,0.0003893358537975477,0.00038541637311456255,0.00039778349620920895,0.00038555172145771793,0.0003842141783895135,0.00037942089687515145,0.000377733635472376,0.0003903060187341765,0.0004192734108503445,0.00038204089281768626,0.00040068243385980986,0.00037561389468615417,0.000405232694480726,0.000396803891366739,0.0003865273231220567,0.00039691121382066946,0.00040721073557821403,0.00038847466956548583,0.00040004659089996956,0.0003941089821984425,0.00038610834474720124,0.00040502891926691735,0.00039479824487391295,0.0003889886054374242,0.0003990269369052021,0.00039899643264098124,0.0003916941338836305
acled_event_count_lag6,0.0004015997290259037,0.00041596419757264434,0.000431020192814354,0.00042567182635775357,0.0004204054353192333,0.0004246570769633962,0.0003958414919586654,0.0004251143505577662,0.0004290147284366985,0.00042311749927219627,0.0004172524283472264,0.00040725538778029326,0.00041880674621124587,0.0004074964570311267,0.0004230533018744726,0.00043611835058347825,0.00042483043447453936,0.0004266117816557831,0.0004131466305819499,0.0004343132219704933,0.00042062738498884703,0.00041942042414727383,0.00042104136210664055,0.00041450512408568093,0.0004302211333131032,0.00041343749790416745,0.0004056364550997612,0.00042794810614488736,0.0003970212468823701,0.00043009622274891684,0.0004268014566783589,0.00040520385814846627,0.0004236970280718559,0.0004227917545279563,0.0004025896125029909,0.0004345559036507763,0.00041386588785527256,0.0004107478596059149,0.00040364945206874025,0.0004347013606618385,0.00041217187517683055,0.00041975556018782035,0.00041551409828688077,0.00040063620763435064,0.00042000031015157035,0.00041885018876226094,0.0004053018763194339,0.00040956436184096085,0.000425990742307025,0.0004100196127938328,0.0004075758417680823,0.00040846103617695547,0.0004175905544852442,0.0004095547569182387,0.00041576295943594917,0.0004272845646750142,0.0004137362140523095,0.00041586516925234843,0.00042621900615874125,0.0004188350197150579,0.00043139783393514065,0.0004193271754936904,0.00040575502379299014,0.0004130786209903881,0.0004115744790684959,0.0004213007927957682,0.00041227145453550366,0.0004213810059877384,0.00042023779701724285,0.00040432810889382546,0.0004396342376455236,0.0004086215799132329,0.00041066024953310206,0.00040982703401397933,0.000419890432888187,0.00042551785999733136,0.0004038054731032863,0.00041652709344729534,0.00041547033229438936,0.0004331290693049113,0.00041145192279211997,0.00040629214083922027,0.00040112195104545723,0.0003976842997473011,0.00041169404720063695,0.00040928775048932735,0.00040275753358069315,0.0004155857195498084,0.00042220145453087017,0.0004188887330721951,0.00041445284005210654,0.00044782247377009,0.00042046095874694235,0.0004103648628727254,0.0004230520544952675,0.00041702470977790116,0.0004152751013393556,0.00042384243224747453,0.0004299727627291125,0.0004401279945568011
