livelihood_zone,n,weighted_f1,balanced_accuracy,accuracy,window,lead
agropastoral,45,0.42213836477987426,0.4212962962962963,0.4888888888888889,default,0
crop_farming,603,0.5383708412259749,0.3518282905744562,0.5638474295190713,default,0
pastoral,180,0.19770802192326858,0.2421875,0.34444444444444444,default,0
agropastoral,45,0.3710144927536232,0.3333333333333333,0.5333333333333333,default,1
crop_farming,603,0.15143808556057653,0.25627875766871167,0.28689883913764513,default,1
pastoral,180,0.18652094717668488,0.25,0.35555555555555557,default,1
agropastoral,45,0.14426807760141094,0.33796296296296297,0.2222222222222222,default,2
crop_farming,603,0.42501943986080304,0.22056902963029482,0.48756218905472637,default,2
pastoral,180,0.10331116822864601,0.2917220744680851,0.07777777777777778,default,2
agropastoral,45,0.28205128205128205,0.35185185185185186,0.26666666666666666,default,3
crop_farming,603,0.4488403248305853,0.4007801144736838,0.41625207296849087,default,3
pastoral,180,0.33455229949869186,0.36945047125793207,0.26666666666666666,default,3
agropastoral,45,0.30289855072463767,0.39351851851851855,0.3333333333333333,default,4
crop_farming,603,0.4942396668030003,0.27493202732849975,0.5804311774461028,default,4
pastoral,180,0.17040901686258972,0.27213541666666663,0.16111111111111112,default,4
agropastoral,45,0.4071428571428571,0.36574074074074076,0.5111111111111111,default,8
crop_farming,603,0.2839779960969583,0.27102795593976575,0.3482587064676617,default,8
pastoral,180,0.18652094717668488,0.25,0.35555555555555557,default,8
agropastoral,45,0.4277133511745465,0.41203703703703703,0.5111111111111111,default,12
crop_farming,603,0.39734153763635066,0.28827819994422754,0.42122719734660036,default,12
pastoral,180,0.18436213991769546,0.24609375,0.35,default,12
agropastoral,90,0.4426046961994675,0.4126780626780627,0.4666666666666667,extended,0
crop_farming,1206,0.5060057004086855,0.3276312206460741,0.5124378109452736,extended,0
pastoral,360,0.20764537264537267,0.2153673835125448,0.30277777777777776,extended,0
agropastoral,90,0.42316118935837244,0.3333333333333333,0.5777777777777777,extended,1
crop_farming,1206,0.12850171559241275,0.2531145456978456,0.27197346600331673,extended,1
pastoral,360,0.17649219467401284,0.25,0.34444444444444444,extended,1
agropastoral,90,0.20360829213288234,0.33290598290598294,0.24444444444444444,extended,2
crop_farming,1206,0.4410350326747981,0.2275780689269248,0.4494195688225539,extended,2
pastoral,360,0.15307567344859863,0.21055427547363031,0.11388888888888889,extended,2
agropastoral,90,0.24785954785954784,0.34045584045584043,0.24444444444444444,extended,3
crop_farming,1206,0.3385920044369911,0.3247683969984251,0.28441127694859036,extended,3
pastoral,360,0.32190858531296995,0.2962008997147246,0.2833333333333333,extended,3
agropastoral,90,0.22023513826792515,0.36609686609686615,0.2777777777777778,extended,4
crop_farming,1206,0.473305330357766,0.2644720995584103,0.582089552238806,extended,4
pastoral,360,0.1082482034875971,0.268721198156682,0.09166666666666666,extended,4
agropastoral,90,0.4480835008286611,0.35113960113960113,0.5666666666666667,extended,8
crop_farming,1206,0.20295866632883838,0.2601933627726482,0.30265339966832505,extended,8
pastoral,360,0.17649219467401284,0.25,0.34444444444444444,extended,8
agropastoral,90,0.46859066859066856,0.37535612535612534,0.5666666666666667,extended,12
crop_farming,1206,0.2780650434084089,0.26881439850127126,0.33996683250414594,extended,12
pastoral,360,0.17543133195307106,0.24798387096774194,0.3416666666666667,extended,12
