subject,k_pct,k_n,lead,n,baseline_f1,top_f1,top_degradation,bottom_f1,bottom_degradation
XGBoost,10,22,0.0,828.0,0.7392262079923013,0.6402661921718423,0.09896001582045899,0.7392262079923013,0.0
XGBoost,10,22,1.0,828.0,0.7384610860595768,0.5346731078904993,0.20378797816907757,0.7384610860595768,0.0
XGBoost,10,22,2.0,828.0,0.7296034362539637,0.5354358186016671,0.19416761765229662,0.7296034362539637,0.0
XGBoost,10,22,3.0,828.0,0.7353105530237765,0.5644766378067919,0.17083391521698454,0.7353105530237765,0.0
XGBoost,10,22,4.0,828.0,0.7067097852652918,0.4487406945958065,0.2579690906694853,0.7067097852652918,0.0
XGBoost,10,22,8.0,828.0,0.6681079838016669,0.4154836252780002,0.2526243585236667,0.6681079838016669,0.0
XGBoost,10,22,12.0,828.0,0.63453550542697,0.454679950537402,0.179855554889568,0.63453550542697,0.0
RandomForest,10,22,0.0,828.0,0.7374973607776505,0.7360821411910068,0.0014152195866437012,0.7374973607776505,0.0
RandomForest,10,22,1.0,828.0,0.7336972957812266,0.734062017691125,-0.00036472190989844666,0.7336972957812266,0.0
RandomForest,10,22,2.0,828.0,0.7383267951464787,0.7387148567210997,-0.00038806157462101254,0.7383267951464787,0.0
RandomForest,10,22,3.0,828.0,0.7225212252944881,0.7238507466245336,-0.0013295213300454911,0.7225212252944881,0.0
RandomForest,10,22,4.0,828.0,0.7018899236632302,0.694810315643946,0.0070796080192842,0.7018899236632302,0.0
RandomForest,10,22,8.0,828.0,0.6625760334911084,0.6953513805775176,-0.03277534708640917,0.6625760334911084,0.0
RandomForest,10,22,12.0,828.0,0.6682609478415338,0.6405390249650686,0.027721922876465133,0.6682609478415338,0.0
Ensemble,10,33,0.0,828.0,0.7398462860572128,0.7367911043269989,0.0030551817302139073,0.7398462860572128,0.0
Ensemble,10,33,1.0,828.0,0.7474262744740078,0.7244530729028232,0.022973201571184543,0.7485149502136955,-0.001088675739687739
Ensemble,10,33,2.0,828.0,0.7449650766574514,0.7331384540021728,0.011826622655278562,0.7449650766574514,0.0
Ensemble,10,33,3.0,828.0,0.7492618356781886,0.7234513899947694,0.02581044568341917,0.7492618356781886,0.0
Ensemble,10,33,4.0,828.0,0.7230767511952123,0.7076887138324373,0.015388037362775053,0.7230767511952123,0.0
Ensemble,10,33,8.0,828.0,0.6757014236247778,0.6517328511665902,0.02396857245818762,0.6757014236247778,0.0
