series,f1_weighted
best_ensemble,0.7218258864610027
random_forest,0.7093004207212962
xgboost,0.7074220796890781
lstm,0.6641129094750934
busker_arch,0.6862505791564306
persistence,0.7008980459118627
fews_outlook,0.739522096545747
