subject,lead,zone_code,time,top1_feature,rho
lstm,0,ET0201,2021-10-01,glofas_exceed_20yr_lead1,0.9236689518181246
lstm,0,ET0201,2022-02-01,wheat_price_etb,0.8672691634861496
lstm,0,ET0201,2022-06-01,wheat_price_etb_lag1,0.8881522114249388
lstm,0,ET0201,2022-10-01,wheat_price_etb_lag1,0.8925579743901986
lstm,0,ET0202,2020-02-01,wheat_price_etb,0.8884594393667095
lstm,0,ET0202,2020-06-01,wheat_price_etb_lag3,0.8772852601943514
lstm,0,ET0202,2020-10-01,idps_ethiopia_yoy_change,0.869791567344915
lstm,0,ET0202,2021-02-01,idps_ethiopia_yoy_change,0.8401634728907458
lstm,0,ET0202,2021-06-01,idps_ethiopia_yoy_change,0.8456470726739054
lstm,0,ET0202,2021-10-01,idps_ethiopia_yoy_change,0.8231078726069097
lstm,0,ET0202,2022-02-01,idps_ethiopia_yoy_change,0.824063197377316
lstm,0,ET0202,2022-06-01,idps_ethiopia_yoy_change,0.8251717320035763
lstm,0,ET0202,2022-10-01,idps_ethiopia_yoy_change,0.7024082460438035
lstm,0,ET0203,2020-02-01,wheat_price_etb,0.8459158339361466
lstm,0,ET0203,2020-06-01,wheat_price_etb_lag3,0.8769911826065465
lstm,0,ET0203,2020-10-01,idps_ethiopia_yoy_change,0.8295011957635804
lstm,0,ET0203,2021-02-01,idps_ethiopia_yoy_change,0.8365616526979189
lstm,0,ET0203,2021-06-01,idps_ethiopia_yoy_change,0.7732218014232858
lstm,0,ET0203,2021-10-01,idps_ethiopia_yoy_change,0.8306947786201834
lstm,0,ET0203,2022-02-01,wheat_price_etb,0.7965522755853427
lstm,0,ET0203,2022-06-01,wheat_price_etb,0.8844488947364594
lstm,0,ET0203,2022-10-01,wheat_price_etb,0.9005509962273477
lstm,0,ET0204,2020-02-01,wheat_price_etb,0.8733655220627723
lstm,0,ET0204,2020-06-01,idps_ethiopia_yoy_change,0.8850269730269732
lstm,0,ET0204,2020-10-01,idps_ethiopia_yoy_change,0.8141692070332969
lstm,0,ET0204,2021-02-01,idps_ethiopia_yoy_change,0.8109708473344839
lstm,0,ET0204,2021-06-01,idps_ethiopia_yoy_change,0.8378105171974004
lstm,0,ET0204,2021-10-01,idps_ethiopia_yoy_change,0.8055103469591448
lstm,0,ET0204,2022-02-01,wheat_price_etb,0.8198039171513265
lstm,0,ET0204,2022-06-01,idps_ethiopia_yoy_change,0.8076167468894743
lstm,0,ET0204,2022-10-01,idps_ethiopia_yoy_change,0.8697730424193554
lstm,0,ET0205,2020-02-01,wheat_price_etb_lag1,0.8601205384243491
lstm,0,ET0205,2020-06-01,wheat_price_etb_lag3,0.8877039885439307
lstm,0,ET0205,2020-10-01,idps_ethiopia_yoy_change,0.8614128182948194
lstm,0,ET0205,2021-02-01,idps_ethiopia_yoy_change,0.8518067297138164
lstm,0,ET0205,2021-06-01,idps_ethiopia_yoy_change,0.8528298526557583
lstm,0,ET0205,2021-10-01,idps_ethiopia_yoy_change,0.8383418502715001
lstm,0,ET0205,2022-02-01,wheat_price_etb,0.8441142263155218
lstm,0,ET0205,2022-06-01,wheat_price_etb,0.8927621775254599
lstm,0,ET0205,2022-10-01,wheat_price_etb,0.895156975772158
lstm,0,ET0301,2020-02-01,livestock_sheep_price_etb,0.8852972929745292
lstm,0,ET0301,2020-06-01,livestock_sheep_price_etb_lag1,0.9280266629836664
lstm,0,ET0301,2020-10-01,wheat_price_etb,0.9242452878192035
lstm,0,ET0301,2021-02-01,idps_ethiopia_yoy_change,0.8434531035334996
lstm,0,ET0301,2021-06-01,wheat_price_etb_lag6,0.838502496928814
lstm,0,ET0301,2021-10-01,wheat_price_index,0.8806846019088603
lstm,0,ET0301,2022-02-01,wheat_price_etb,0.9011663238084161
lstm,0,ET0301,2022-06-01,wheat_price_index,0.8655336594727009
lstm,0,ET0301,2022-10-01,wheat_price_etb,0.8650760709171398
lstm,0,ET0302,2020-02-01,livestock_goat_n_markets,0.9407009840093932
lstm,0,ET0302,2020-06-01,sorghum_price_index_lag1,0.9234791268381686
lstm,0,ET0302,2020-10-01,idps_ethiopia_yoy_change,0.8431332640347753
lstm,0,ET0302,2021-02-01,idps_ethiopia_yoy_change,0.8503565483502825
lstm,0,ET0302,2021-06-01,idps_ethiopia_yoy_change,0.8084521222077649
lstm,0,ET0302,2021-10-01,idps_ethiopia_yoy_change,0.7849061198380448
lstm,0,ET0302,2022-02-01,idps_ethiopia_yoy_change,0.7329103940568006
lstm,0,ET0302,2022-06-01,wheat_price_etb,0.8452482027200896
lstm,0,ET0302,2022-10-01,idps_ethiopia_yoy_change,0.8755079269312127
lstm,0,ET0303,2020-02-01,maize_price_index,0.9534988165409568
lstm,0,ET0303,2020-06-01,idps_ethiopia_yoy_change,0.8523596403596405
lstm,0,ET0303,2020-10-01,idps_ethiopia_yoy_change,0.8526778052322017
lstm,0,ET0303,2021-02-01,idps_ethiopia_yoy_change,0.8600972838387096
lstm,0,ET0303,2021-06-01,idps_ethiopia_yoy_change,0.8228245625342107
lstm,0,ET0303,2021-10-01,acled_event_count_political_violence_lag1,0.8390027920081037
lstm,0,ET0303,2022-02-01,idps_ethiopia_yoy_change,0.7372986607698769
lstm,0,ET0303,2022-06-01,idps_ethiopia_yoy_change,0.8414292575802518
lstm,0,ET0303,2022-10-01,idps_ethiopia_yoy_change,0.8660014746815478
lstm,0,ET0304,2020-02-01,wheat_price_etb_lag1,0.8958164151814438
lstm,0,ET0304,2020-06-01,wheat_price_etb_lag1,0.8548571989328991
lstm,0,ET0304,2020-10-01,wheat_price_etb,0.8703774106084947
lstm,0,ET0304,2021-02-01,idps_ethiopia_yoy_change,0.8460259942283509
lstm,0,ET0304,2021-06-01,wheat_price_index_lag3,0.8279114480733305
lstm,0,ET0304,2021-10-01,wheat_price_index,0.8696021632780642
lstm,0,ET0304,2022-02-01,wheat_price_etb,0.8685863094156387
lstm,0,ET0304,2022-06-01,wheat_price_etb,0.8974714506901991
lstm,0,ET0304,2022-10-01,wheat_price_etb,0.8689941047765122
lstm,0,ET0305,2020-02-01,wheat_price_etb_lag1,0.8440137756522106
lstm,0,ET0305,2020-06-01,wheat_price_etb_lag3,0.8533135954954139
lstm,0,ET0305,2020-10-01,wheat_price_etb_lag6,0.8413245685009069
lstm,0,ET0305,2021-02-01,idps_ethiopia_yoy_change,0.8870893007582139
lstm,0,ET0305,2021-06-01,idps_ethiopia_yoy_change,0.8040447373843644
lstm,0,ET0305,2021-10-01,wheat_price_etb,0.8623725170552122
lstm,0,ET0305,2022-02-01,wheat_price_etb_lag6,0.8529144927941369
lstm,0,ET0305,2022-06-01,wheat_price_etb,0.8847813372551684
lstm,0,ET0305,2022-10-01,wheat_price_etb_lag1,0.8109299969177632
lstm,0,ET0306,2020-02-01,livestock_sheep_price_etb,0.865560034751126
lstm,0,ET0306,2020-06-01,idps_ethiopia_yoy_change,0.8628728129157004
lstm,0,ET0306,2020-10-01,idps_ethiopia_yoy_change,0.8738051450544817
lstm,0,ET0306,2021-02-01,idps_ethiopia_yoy_change,0.8643724240199463
lstm,0,ET0306,2021-06-01,idps_ethiopia_yoy_change,0.8511848599611831
lstm,0,ET0306,2021-10-01,idps_ethiopia_yoy_change,0.8787946412345804
lstm,0,ET0306,2022-02-01,idps_ethiopia_yoy_change,0.8485218326803277
lstm,0,ET0306,2022-06-01,wheat_price_index_lag1,0.8699009224461907
