subject,cluster,lead,zone_code,time,top1_feature,rho
xgboost,pastoral,0,ET0205,2021-02-01,headline_cpi_yoy_change_lag12,0.999088314293128
xgboost,pastoral,0,ET0411,2021-02-01,headline_cpi_yoy_change_lag12,0.9995108455534283
xgboost,pastoral,0,ET0412,2021-02-01,ipc_lag1,0.9894086666245888
xgboost,pastoral,0,ET0414,2021-02-01,headline_cpi_yoy_change_lag12,0.9993635732469335
xgboost,pastoral,0,ET0415,2021-02-01,headline_cpi_yoy_change_lag12,0.9958430638250124
xgboost,pastoral,0,ET0421,2021-02-01,headline_cpi_yoy_change_lag12,0.9985798741873723
xgboost,pastoral,0,ET0501,2021-02-01,headline_cpi_yoy_change_lag12,0.9974858513391259
xgboost,pastoral,0,ET0503,2021-02-01,ipc_lag1,0.9956011164643425
xgboost,pastoral,0,ET0504,2021-02-01,ipc_lag1,0.9948279368552454
xgboost,pastoral,0,ET0505,2021-02-01,ipc_lag1,0.9956467007496861
xgboost,pastoral,0,ET0506,2021-02-01,ipc_lag1,0.9941476790585793
xgboost,pastoral,0,ET0507,2021-02-01,ipc_lag1,0.9976822144144523
xgboost,pastoral,0,ET0508,2021-02-01,ipc_lag1,0.9978364996879229
xgboost,pastoral,0,ET0509,2021-02-01,ipc_lag1,0.9990199378651126
xgboost,pastoral,0,ET0510,2021-02-01,ipc_lag1,0.9976892273814281
xgboost,pastoral,0,ET0511,2021-02-01,ipc_lag1,0.9980293562797611
xgboost,pastoral,0,ET0201,2021-06-01,headline_cpi_yoy_change_lag12,0.9982905892996149
xgboost,pastoral,0,ET0202,2021-06-01,ipc_lag1,0.9993916251148371
xgboost,pastoral,0,ET0203,2021-06-01,ipc_lag1,0.9969178010140749
xgboost,pastoral,0,ET0204,2021-06-01,ipc_lag1,0.9992338333578786
xgboost,pastoral,0,ET0205,2021-06-01,ipc_lag1,0.989718990413274
xgboost,pastoral,0,ET0411,2021-06-01,headline_cpi_yoy_change_lag12,0.9991426647871914
xgboost,pastoral,0,ET0412,2021-06-01,headline_cpi_yoy_change_lag12,0.9991759763803271
xgboost,pastoral,0,ET0414,2021-06-01,headline_cpi_yoy_change_lag12,0.9987657178122347
xgboost,pastoral,0,ET0415,2021-06-01,ha_share_lag1,0.9995581830805158
xgboost,pastoral,0,ET0421,2021-06-01,headline_cpi_yoy_change_lag12,0.9984589005070375
xgboost,pastoral,0,ET0501,2021-06-01,ipc_lag1,0.9925662550055051
xgboost,pastoral,0,ET0503,2021-06-01,ipc_lag1,0.9992794176432221
xgboost,pastoral,0,ET0504,2021-06-01,ipc_lag1,0.9987850034714186
xgboost,pastoral,0,ET0505,2021-06-01,ipc_lag1,0.9967670222240923
xgboost,pastoral,0,ET0506,2021-06-01,ipc_lag1,0.9956133891565503
xgboost,pastoral,0,ET0507,2021-06-01,ipc_lag1,0.9961919589320654
xgboost,pastoral,0,ET0508,2021-06-01,ipc_lag1,0.9978996163907062
xgboost,pastoral,0,ET0509,2021-06-01,ipc_lag1,0.9991777296220711
xgboost,pastoral,0,ET0510,2021-06-01,ipc_lag1,0.9987026011094513
xgboost,pastoral,0,ET0511,2021-06-01,ipc_lag1,0.9978978631489623
xgboost,pastoral,0,ET0201,2021-10-01,ipc_lag1,0.9993618200051895
xgboost,pastoral,0,ET0202,2021-10-01,ipc_lag1,0.9977540973259555
xgboost,pastoral,0,ET0203,2021-10-01,ipc_lag1,0.9990269508320884
xgboost,pastoral,0,ET0204,2021-10-01,ipc_lag1,0.9991952620395109
xgboost,pastoral,0,ET0205,2021-10-01,ipc_lag1,0.9982222128715996
xgboost,pastoral,0,ET0411,2021-10-01,headline_cpi_yoy_change_lag12,0.9992548722588065
xgboost,pastoral,0,ET0412,2021-10-01,ipc_lag1,0.9991601972046312
xgboost,pastoral,0,ET0414,2021-10-01,headline_cpi_yoy_change_lag12,0.998739419186075
xgboost,pastoral,0,ET0415,2021-10-01,headline_cpi_yoy_change_lag12,0.9978575385888506
xgboost,pastoral,0,ET0421,2021-10-01,headline_cpi_yoy_change_lag12,0.9981047456747526
xgboost,pastoral,0,ET0501,2021-10-01,headline_cpi_yoy_change_lag12,0.9967354638727005
xgboost,pastoral,0,ET0503,2021-10-01,headline_cpi_yoy_change_lag12,0.9974788383721499
xgboost,pastoral,0,ET0504,2021-10-01,headline_cpi_yoy_change_lag12,0.9990251975903445
xgboost,pastoral,0,ET0505,2021-10-01,headline_cpi_yoy_change_lag12,0.9975665004593492
xgboost,pastoral,0,ET0506,2021-10-01,headline_cpi_yoy_change_lag12,0.998499225067149
xgboost,pastoral,0,ET0507,2021-10-01,headline_cpi_yoy_change_lag12,0.9970054631012741
xgboost,pastoral,0,ET0508,2021-10-01,ipc_lag1,0.9994249367079729
xgboost,pastoral,0,ET0509,2021-10-01,ipc_lag1,0.9991987685229989
xgboost,pastoral,0,ET0510,2021-10-01,ipc_lag1,0.9992916903354301
xgboost,pastoral,0,ET0511,2021-10-01,ipc_lag1,0.9986973413842193
xgboost,pastoral,0,ET0201,2022-02-01,headline_cpi_yoy_change_lag12,0.9952241694893857
xgboost,pastoral,0,ET0202,2022-02-01,ipc_lag1,0.9992776644014782
xgboost,pastoral,0,ET0203,2022-02-01,ipc_lag1,0.9951067022925387
xgboost,pastoral,0,ET0204,2022-02-01,ipc_lag1,0.999998246758256
xgboost,pastoral,0,ET0205,2022-02-01,headline_cpi_yoy_change_lag12,0.998057408147665
xgboost,pastoral,0,ET0411,2022-02-01,ipc_lag1,0.9904904167806273
