subject,n_total,n_valid,mean_rho,ci_lo,ci_hi,reject_h0
xgboost,5796,5796,0.9923266300874793,0.9921898099388545,0.9924594060897024,True
randomforest,5796,5796,0.9745063490381308,0.9739344357368139,0.9751250740480084,True
lstm,5796,5796,0.8857448433534686,0.8842945238702364,0.887111940144963,True
