combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+LSTM,crop_farming,4,603,0.7197346600331676,0.7184945513952843,0.3266392985194002,0.6176858211997864
XGB+RF+LSTM,crop_farming,8,603,0.7164179104477612,0.7033862299680826,0.3688695893165804,0.4328491823537117
XGB+RF+LSTM,crop_farming,12,603,0.6832504145936982,0.6523384024207184,0.38403443814323945,0.40501218075400214
XGB+LSTM+TabICL,all,0,828,0.7198067632850241,0.730162384660578,0.31632796417709014,0.7179382650477641
XGB+LSTM+TabICL,all,1,828,0.7210144927536232,0.7295457831918309,0.2969429038161855,0.7395221869753534
XGB+LSTM+TabICL,all,2,828,0.7222222222222222,0.7298187400559951,0.3106479220779676,0.717916214175558
XGB+LSTM+TabICL,all,3,828,0.7427536231884058,0.7482618469746343,0.31016241680790757,0.7315240824087108
XGB+LSTM+TabICL,all,4,828,0.6980676328502415,0.7037145717795986,0.3400924807487279,0.6841031677239392
XGB+LSTM+TabICL,all,8,828,0.6727053140096618,0.6610778609537521,0.37760826032442635,0.5705530090378803
XGB+LSTM+TabICL,all,12,828,0.6896135265700483,0.6740350244426557,0.3832391726711263,0.5608598549541104
XGB+LSTM+TabICL,pastoral,0,180,0.6111111111111112,0.5989702517162472,0.3540786417113556,0.4104995144111381
XGB+LSTM+TabICL,pastoral,1,180,0.6166666666666667,0.6081818891491023,0.335275412720488,0.47934246233608124
XGB+LSTM+TabICL,pastoral,2,180,0.6388888888888888,0.6275207231106523,0.3372810281681172,0.47367827055856426
XGB+LSTM+TabICL,pastoral,3,180,0.6333333333333333,0.6257032571912015,0.34653627921757496,0.4588026256289308
XGB+LSTM+TabICL,pastoral,4,180,0.5944444444444444,0.5759285855141957,0.3848240687547415,0.39102575667897854
XGB+LSTM+TabICL,pastoral,8,180,0.6,0.5625272331154684,0.405870353072156,0.3155432115552813
XGB+LSTM+TabICL,pastoral,12,180,0.6111111111111112,0.5691790622608233,0.4163591474347752,0.27734201633844324
XGB+LSTM+TabICL,agropastoral,0,45,0.7111111111111111,0.716170068027211,0.3885156348695201,0.31818139644484655
XGB+LSTM+TabICL,agropastoral,1,45,0.6444444444444445,0.6454212454212455,0.39891828146518565,0.31417589971586934
XGB+LSTM+TabICL,agropastoral,2,45,0.7333333333333333,0.7358888888888889,0.3921189507644499,0.3329687904557631
XGB+LSTM+TabICL,agropastoral,3,45,0.7333333333333333,0.7307109557109557,0.35056006438596193,0.4850021969466889
XGB+LSTM+TabICL,agropastoral,4,45,0.7333333333333333,0.7284610814022578,0.4004576880674523,0.34140370356919125
XGB+LSTM+TabICL,agropastoral,8,45,0.7333333333333333,0.7231481481481482,0.38654777717354644,0.36845456879965544
XGB+LSTM+TabICL,agropastoral,12,45,0.6666666666666666,0.6628216503992902,0.40476386071707776,0.43068686678071955
XGB+LSTM+TabICL,crop_farming,0,603,0.7529021558872305,0.7654463313914505,0.299671965607725,0.671260563401777
XGB+LSTM+TabICL,crop_farming,1,603,0.75787728026534,0.7685287393290916,0.277890261035125,0.6946237597778766
XGB+LSTM+TabICL,crop_farming,2,603,0.746268656716418,0.7564475007369648,0.2966178136416183,0.6592145650371084
XGB+LSTM+TabICL,crop_farming,3,603,0.7761194029850746,0.781426538385967,0.29628979761262975,0.6776147159986501
XGB+LSTM+TabICL,crop_farming,4,603,0.7263681592039801,0.7294377806396712,0.3222349016932966,0.6179892501789035
XGB+LSTM+TabICL,crop_farming,8,603,0.6898839137645107,0.6757250013382304,0.3685046866050205,0.4432733234809816
XGB+LSTM+TabICL,crop_farming,12,603,0.714759535655058,0.6863821643887652,0.37174629303675705,0.43142916539336196
RF+LSTM+TabICL,all,0,828,0.7125603864734299,0.7233227401515564,0.3216069846752759,0.7145138328726888
RF+LSTM+TabICL,all,1,828,0.7246376811594203,0.7321592832327947,0.2973280822013195,0.7412395015019853
RF+LSTM+TabICL,all,2,828,0.7294685990338164,0.7375003583785115,0.3092401537419513,0.7204656785016432
RF+LSTM+TabICL,all,3,828,0.7342995169082126,0.7385211820876572,0.31075068545206896,0.7319660288423476
RF+LSTM+TabICL,all,4,828,0.7065217391304348,0.710457331266568,0.3366103088512849,0.6884863562416179
RF+LSTM+TabICL,all,8,828,0.6727053140096618,0.6572904749343615,0.3729957572992963,0.5783934128764041
RF+LSTM+TabICL,all,12,828,0.6871980676328503,0.6725962942508629,0.3766853079949796,0.5670917904331652
RF+LSTM+TabICL,pastoral,0,180,0.6277777777777778,0.6164644677199079,0.35184705198222,0.41390473257168614
RF+LSTM+TabICL,pastoral,1,180,0.6222222222222222,0.6140629200979735,0.3290335077464216,0.48724779907871973
RF+LSTM+TabICL,pastoral,2,180,0.6444444444444445,0.6338171934062312,0.3368035794020807,0.46868741553375926
RF+LSTM+TabICL,pastoral,3,180,0.6277777777777778,0.622835735584297,0.346181202418939,0.4548241331679167
RF+LSTM+TabICL,pastoral,4,180,0.6,0.584865123075194,0.38339990963493914,0.39440421552481375
RF+LSTM+TabICL,pastoral,8,180,0.5888888888888889,0.5528049638585044,0.4036882638139128,0.32363898092607657
RF+LSTM+TabICL,pastoral,12,180,0.6222222222222222,0.5790841791444745,0.4120674672047468,0.29448328778292154
RF+LSTM+TabICL,agropastoral,0,45,0.7111111111111111,0.7115160556976414,0.38189547635090904,0.3387947176731755
RF+LSTM+TabICL,agropastoral,1,45,0.6666666666666666,0.6643775147466698,0.39243953505638574,0.33458045890879495
