country,lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,ap,0,45,0.3599445067706917,0.45148129140632515,0.4499858263915788,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,1,45,0.3171019270725031,0.4356128846512117,0.4879695394266679,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,2,45,0.35215126095687127,0.46090966738968847,0.4267738441335862,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,3,45,0.40765621769173255,0.5263190487644469,0.2525321098341923,0.32124842364996403,0.49301686887114676,0.34412976450902377,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,4,45,0.4072974349522757,0.5344587193086323,0.2292337364993926,0.4205331852465492,0.5891079342661727,0.06355104810984613,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,8,45,0.4943463979262605,0.665915336412763,-0.19655426217079852,0.41529768478723256,0.596911996986658,0.038575955772759296,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,ap,12,45,0.5447092722550823,0.7035319510277893,-0.3355557317526281,0.4647060049979172,0.649856736030114,-0.13954010364063896,0.3903610790654073,0.525708782300859,0.2542644816023476
Ethiopia,other,0,614,0.31724368397354114,0.48718982877244377,0.6002970122952129,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,1,614,0.30634889807717736,0.48085728297746405,0.6106202470056037,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
Ethiopia,other,2,614,0.30898525243469827,0.4977989401131357,0.5826995009127927,0.2643447043211761,0.49004407313789716,0.5955999032101724,0.33036812112555775,0.6061607219350773,0.38124809092643164
